Order 0	number of articles 15
0	Aisle 17	Location 13
1	Aisle 14	Location 18
2	Aisle 16	Location 19
3	Aisle 16	Location 26
4	Aisle 6	Location 14
5	Aisle 19	Location 31
6	Aisle 14	Location 6
7	Aisle 0	Location 12
8	Aisle 1	Location 39
9	Aisle 7	Location 11
10	Aisle 15	Location 37
11	Aisle 10	Location 42
12	Aisle 0	Location 40
13	Aisle 18	Location 15
14	Aisle 15	Location 23
Order 1	number of articles 19
0	Aisle 0	Location 6
1	Aisle 11	Location 38
2	Aisle 8	Location 22
3	Aisle 14	Location 33
4	Aisle 1	Location 10
5	Aisle 19	Location 40
6	Aisle 1	Location 32
7	Aisle 6	Location 42
8	Aisle 15	Location 43
9	Aisle 9	Location 40
10	Aisle 12	Location 9
11	Aisle 13	Location 5
12	Aisle 12	Location 39
13	Aisle 18	Location 42
14	Aisle 0	Location 24
15	Aisle 14	Location 0
16	Aisle 0	Location 7
17	Aisle 1	Location 4
18	Aisle 0	Location 13
Order 2	number of articles 12
0	Aisle 1	Location 35
1	Aisle 6	Location 5
2	Aisle 7	Location 19
3	Aisle 16	Location 34
4	Aisle 18	Location 10
5	Aisle 0	Location 34
6	Aisle 12	Location 39
7	Aisle 12	Location 37
8	Aisle 0	Location 44
9	Aisle 0	Location 5
10	Aisle 0	Location 27
11	Aisle 1	Location 20
Order 3	number of articles 12
0	Aisle 1	Location 21
1	Aisle 0	Location 34
2	Aisle 0	Location 3
3	Aisle 18	Location 1
4	Aisle 1	Location 36
5	Aisle 1	Location 41
6	Aisle 8	Location 23
7	Aisle 17	Location 24
8	Aisle 19	Location 1
9	Aisle 1	Location 28
10	Aisle 14	Location 1
11	Aisle 1	Location 24
Order 4	number of articles 11
0	Aisle 1	Location 18
1	Aisle 16	Location 28
2	Aisle 13	Location 30
3	Aisle 0	Location 7
4	Aisle 12	Location 40
5	Aisle 7	Location 24
6	Aisle 14	Location 22
7	Aisle 1	Location 30
8	Aisle 8	Location 1
9	Aisle 19	Location 33
10	Aisle 6	Location 4
Order 5	number of articles 6
0	Aisle 1	Location 32
1	Aisle 0	Location 13
2	Aisle 0	Location 38
3	Aisle 9	Location 35
4	Aisle 17	Location 33
5	Aisle 1	Location 24
Order 6	number of articles 8
0	Aisle 1	Location 44
1	Aisle 18	Location 31
2	Aisle 1	Location 30
3	Aisle 1	Location 19
4	Aisle 0	Location 37
5	Aisle 15	Location 9
6	Aisle 1	Location 11
7	Aisle 12	Location 17
Order 7	number of articles 6
0	Aisle 0	Location 33
1	Aisle 7	Location 11
2	Aisle 19	Location 11
3	Aisle 12	Location 6
4	Aisle 0	Location 19
5	Aisle 12	Location 9
Order 8	number of articles 7
0	Aisle 9	Location 33
1	Aisle 0	Location 24
2	Aisle 7	Location 29
3	Aisle 16	Location 31
4	Aisle 13	Location 23
5	Aisle 1	Location 1
6	Aisle 0	Location 27
Order 9	number of articles 20
0	Aisle 1	Location 20
1	Aisle 10	Location 6
2	Aisle 10	Location 19
3	Aisle 19	Location 11
4	Aisle 8	Location 27
5	Aisle 0	Location 22
6	Aisle 1	Location 33
7	Aisle 1	Location 23
8	Aisle 0	Location 0
9	Aisle 16	Location 44
10	Aisle 7	Location 16
11	Aisle 1	Location 9
12	Aisle 6	Location 30
13	Aisle 1	Location 40
14	Aisle 0	Location 20
15	Aisle 17	Location 30
16	Aisle 9	Location 28
17	Aisle 13	Location 21
18	Aisle 0	Location 38
19	Aisle 6	Location 35
Order 10	number of articles 20
0	Aisle 15	Location 22
1	Aisle 10	Location 25
2	Aisle 1	Location 18
3	Aisle 10	Location 41
4	Aisle 11	Location 34
5	Aisle 12	Location 26
6	Aisle 0	Location 4
7	Aisle 0	Location 33
8	Aisle 0	Location 31
9	Aisle 0	Location 2
10	Aisle 0	Location 16
11	Aisle 0	Location 0
12	Aisle 1	Location 34
13	Aisle 1	Location 29
14	Aisle 12	Location 39
15	Aisle 6	Location 23
16	Aisle 12	Location 18
17	Aisle 19	Location 36
18	Aisle 17	Location 7
19	Aisle 7	Location 12
Order 11	number of articles 5
0	Aisle 13	Location 12
1	Aisle 0	Location 33
2	Aisle 1	Location 24
3	Aisle 0	Location 28
4	Aisle 14	Location 15
Order 12	number of articles 13
0	Aisle 0	Location 44
1	Aisle 12	Location 9
2	Aisle 8	Location 4
3	Aisle 1	Location 42
4	Aisle 0	Location 21
5	Aisle 6	Location 35
6	Aisle 1	Location 28
7	Aisle 7	Location 24
8	Aisle 12	Location 43
9	Aisle 11	Location 0
10	Aisle 1	Location 10
11	Aisle 14	Location 36
12	Aisle 8	Location 13
Order 13	number of articles 7
0	Aisle 0	Location 44
1	Aisle 12	Location 18
2	Aisle 1	Location 30
3	Aisle 1	Location 20
4	Aisle 1	Location 27
5	Aisle 0	Location 43
6	Aisle 0	Location 42
Order 14	number of articles 8
0	Aisle 15	Location 29
1	Aisle 0	Location 1
2	Aisle 0	Location 44
3	Aisle 0	Location 7
4	Aisle 1	Location 16
5	Aisle 1	Location 31
6	Aisle 15	Location 8
7	Aisle 0	Location 34
Order 15	number of articles 7
0	Aisle 16	Location 25
1	Aisle 6	Location 18
2	Aisle 14	Location 41
3	Aisle 13	Location 15
4	Aisle 0	Location 42
5	Aisle 0	Location 23
6	Aisle 10	Location 39
Order 16	number of articles 15
0	Aisle 15	Location 22
1	Aisle 18	Location 34
2	Aisle 11	Location 27
3	Aisle 1	Location 41
4	Aisle 0	Location 2
5	Aisle 18	Location 42
6	Aisle 0	Location 10
7	Aisle 0	Location 4
8	Aisle 0	Location 25
9	Aisle 1	Location 13
10	Aisle 18	Location 29
11	Aisle 0	Location 17
12	Aisle 14	Location 42
13	Aisle 0	Location 16
14	Aisle 1	Location 19
Order 17	number of articles 7
0	Aisle 1	Location 41
1	Aisle 0	Location 7
2	Aisle 7	Location 23
3	Aisle 10	Location 18
4	Aisle 0	Location 0
5	Aisle 19	Location 22
6	Aisle 0	Location 11
Order 18	number of articles 22
0	Aisle 1	Location 18
1	Aisle 13	Location 25
2	Aisle 18	Location 0
3	Aisle 8	Location 43
4	Aisle 18	Location 27
5	Aisle 1	Location 29
6	Aisle 18	Location 18
7	Aisle 0	Location 44
8	Aisle 0	Location 5
9	Aisle 0	Location 25
10	Aisle 1	Location 17
11	Aisle 6	Location 44
12	Aisle 1	Location 41
13	Aisle 12	Location 36
14	Aisle 0	Location 30
15	Aisle 19	Location 13
16	Aisle 0	Location 4
17	Aisle 9	Location 5
18	Aisle 0	Location 9
19	Aisle 15	Location 0
20	Aisle 18	Location 11
21	Aisle 11	Location 26
Order 19	number of articles 20
0	Aisle 14	Location 41
1	Aisle 7	Location 40
2	Aisle 1	Location 6
3	Aisle 9	Location 37
4	Aisle 0	Location 24
5	Aisle 0	Location 0
6	Aisle 1	Location 35
7	Aisle 1	Location 32
8	Aisle 1	Location 7
9	Aisle 1	Location 9
10	Aisle 14	Location 2
11	Aisle 0	Location 11
12	Aisle 13	Location 43
13	Aisle 0	Location 35
14	Aisle 8	Location 10
15	Aisle 10	Location 4
16	Aisle 6	Location 2
17	Aisle 10	Location 44
18	Aisle 0	Location 39
19	Aisle 7	Location 29
