Order 0	number of articles 19
0	Aisle 0	Location 3
1	Aisle 0	Location 36
2	Aisle 7	Location 18
3	Aisle 0	Location 10
4	Aisle 17	Location 41
5	Aisle 13	Location 26
6	Aisle 18	Location 9
7	Aisle 19	Location 43
8	Aisle 1	Location 34
9	Aisle 7	Location 20
10	Aisle 19	Location 4
11	Aisle 1	Location 9
12	Aisle 6	Location 16
13	Aisle 1	Location 2
14	Aisle 7	Location 11
15	Aisle 0	Location 16
16	Aisle 8	Location 29
17	Aisle 1	Location 33
18	Aisle 0	Location 37
Order 1	number of articles 11
0	Aisle 0	Location 6
1	Aisle 6	Location 42
2	Aisle 0	Location 3
3	Aisle 8	Location 8
4	Aisle 16	Location 16
5	Aisle 12	Location 37
6	Aisle 1	Location 7
7	Aisle 19	Location 20
8	Aisle 18	Location 33
9	Aisle 19	Location 28
10	Aisle 16	Location 10
Order 2	number of articles 15
0	Aisle 19	Location 42
1	Aisle 13	Location 13
2	Aisle 16	Location 6
3	Aisle 1	Location 12
4	Aisle 16	Location 2
5	Aisle 16	Location 34
6	Aisle 7	Location 1
7	Aisle 0	Location 2
8	Aisle 0	Location 6
9	Aisle 8	Location 12
10	Aisle 1	Location 38
11	Aisle 0	Location 9
12	Aisle 0	Location 31
13	Aisle 1	Location 17
14	Aisle 0	Location 0
Order 3	number of articles 24
0	Aisle 17	Location 8
1	Aisle 7	Location 23
2	Aisle 11	Location 29
3	Aisle 0	Location 4
4	Aisle 19	Location 11
5	Aisle 10	Location 16
6	Aisle 1	Location 41
7	Aisle 0	Location 38
8	Aisle 0	Location 17
9	Aisle 1	Location 3
10	Aisle 14	Location 7
11	Aisle 0	Location 18
12	Aisle 1	Location 11
13	Aisle 1	Location 8
14	Aisle 18	Location 0
15	Aisle 11	Location 12
16	Aisle 10	Location 22
17	Aisle 1	Location 2
18	Aisle 7	Location 9
19	Aisle 1	Location 16
20	Aisle 7	Location 2
21	Aisle 18	Location 11
22	Aisle 18	Location 6
23	Aisle 1	Location 17
Order 4	number of articles 14
0	Aisle 0	Location 9
1	Aisle 9	Location 4
2	Aisle 0	Location 26
3	Aisle 0	Location 33
4	Aisle 13	Location 13
5	Aisle 0	Location 38
6	Aisle 9	Location 21
7	Aisle 1	Location 27
8	Aisle 9	Location 33
9	Aisle 0	Location 42
10	Aisle 8	Location 21
11	Aisle 0	Location 12
12	Aisle 0	Location 18
13	Aisle 1	Location 35
Order 5	number of articles 22
0	Aisle 1	Location 44
1	Aisle 1	Location 0
2	Aisle 18	Location 0
3	Aisle 1	Location 33
4	Aisle 17	Location 32
5	Aisle 18	Location 10
6	Aisle 1	Location 27
7	Aisle 16	Location 26
8	Aisle 15	Location 8
9	Aisle 0	Location 31
10	Aisle 1	Location 9
11	Aisle 0	Location 41
12	Aisle 10	Location 7
13	Aisle 8	Location 27
14	Aisle 0	Location 11
15	Aisle 1	Location 11
16	Aisle 19	Location 28
17	Aisle 16	Location 27
18	Aisle 1	Location 2
19	Aisle 0	Location 37
20	Aisle 15	Location 37
21	Aisle 0	Location 0
Order 6	number of articles 22
0	Aisle 0	Location 9
1	Aisle 1	Location 44
2	Aisle 13	Location 20
3	Aisle 17	Location 24
4	Aisle 15	Location 0
5	Aisle 11	Location 18
6	Aisle 0	Location 12
7	Aisle 12	Location 43
8	Aisle 18	Location 20
9	Aisle 0	Location 19
10	Aisle 1	Location 5
11	Aisle 11	Location 16
12	Aisle 6	Location 9
13	Aisle 12	Location 33
14	Aisle 18	Location 32
15	Aisle 1	Location 22
16	Aisle 0	Location 18
17	Aisle 0	Location 0
18	Aisle 1	Location 7
19	Aisle 1	Location 30
20	Aisle 1	Location 39
21	Aisle 18	Location 30
Order 7	number of articles 20
0	Aisle 1	Location 19
1	Aisle 0	Location 15
2	Aisle 0	Location 13
3	Aisle 1	Location 5
4	Aisle 9	Location 41
5	Aisle 15	Location 43
6	Aisle 0	Location 32
7	Aisle 17	Location 21
8	Aisle 1	Location 30
9	Aisle 0	Location 28
10	Aisle 9	Location 37
11	Aisle 0	Location 24
12	Aisle 11	Location 36
13	Aisle 0	Location 39
14	Aisle 6	Location 32
15	Aisle 0	Location 18
16	Aisle 16	Location 27
17	Aisle 12	Location 9
18	Aisle 1	Location 17
19	Aisle 1	Location 16
Order 8	number of articles 21
0	Aisle 0	Location 7
1	Aisle 0	Location 15
2	Aisle 0	Location 16
3	Aisle 8	Location 9
4	Aisle 0	Location 32
5	Aisle 18	Location 38
6	Aisle 0	Location 25
7	Aisle 15	Location 4
8	Aisle 0	Location 30
9	Aisle 8	Location 20
10	Aisle 15	Location 31
11	Aisle 15	Location 16
12	Aisle 16	Location 37
13	Aisle 13	Location 23
14	Aisle 1	Location 38
15	Aisle 18	Location 20
16	Aisle 14	Location 4
17	Aisle 17	Location 30
18	Aisle 8	Location 38
19	Aisle 1	Location 1
20	Aisle 6	Location 25
Order 9	number of articles 16
0	Aisle 13	Location 11
1	Aisle 6	Location 4
2	Aisle 1	Location 36
3	Aisle 17	Location 23
4	Aisle 16	Location 8
5	Aisle 8	Location 5
6	Aisle 8	Location 15
7	Aisle 1	Location 37
8	Aisle 7	Location 10
9	Aisle 1	Location 14
10	Aisle 1	Location 44
11	Aisle 1	Location 12
12	Aisle 1	Location 13
13	Aisle 0	Location 14
14	Aisle 1	Location 20
15	Aisle 16	Location 30
Order 10	number of articles 13
0	Aisle 13	Location 14
1	Aisle 16	Location 37
2	Aisle 1	Location 11
3	Aisle 0	Location 7
4	Aisle 7	Location 24
5	Aisle 0	Location 0
6	Aisle 1	Location 3
7	Aisle 19	Location 9
8	Aisle 0	Location 32
9	Aisle 9	Location 33
10	Aisle 1	Location 41
11	Aisle 1	Location 4
12	Aisle 15	Location 25
Order 11	number of articles 7
0	Aisle 1	Location 28
1	Aisle 1	Location 1
2	Aisle 16	Location 40
3	Aisle 13	Location 12
4	Aisle 1	Location 30
5	Aisle 8	Location 10
6	Aisle 1	Location 3
Order 12	number of articles 20
0	Aisle 0	Location 32
1	Aisle 17	Location 32
2	Aisle 9	Location 31
3	Aisle 0	Location 0
4	Aisle 0	Location 38
5	Aisle 6	Location 34
6	Aisle 6	Location 22
7	Aisle 0	Location 29
8	Aisle 1	Location 33
9	Aisle 15	Location 44
10	Aisle 1	Location 22
11	Aisle 0	Location 17
12	Aisle 9	Location 35
13	Aisle 11	Location 15
14	Aisle 0	Location 13
15	Aisle 9	Location 16
16	Aisle 14	Location 3
17	Aisle 19	Location 16
18	Aisle 1	Location 34
19	Aisle 18	Location 14
Order 13	number of articles 21
0	Aisle 16	Location 24
1	Aisle 17	Location 31
2	Aisle 0	Location 21
3	Aisle 0	Location 25
4	Aisle 17	Location 22
5	Aisle 0	Location 4
6	Aisle 11	Location 32
7	Aisle 0	Location 30
8	Aisle 1	Location 0
9	Aisle 1	Location 44
10	Aisle 13	Location 33
11	Aisle 0	Location 15
12	Aisle 0	Location 20
13	Aisle 0	Location 19
14	Aisle 1	Location 19
15	Aisle 14	Location 10
