Order 0	number of articles 12
0	Aisle 8	Location 40
1	Aisle 13	Location 21
2	Aisle 3	Location 42
3	Aisle 3	Location 5
4	Aisle 17	Location 44
5	Aisle 3	Location 3
6	Aisle 3	Location 43
7	Aisle 19	Location 25
8	Aisle 6	Location 8
9	Aisle 1	Location 39
10	Aisle 11	Location 24
11	Aisle 6	Location 19
Order 1	number of articles 17
0	Aisle 18	Location 42
1	Aisle 15	Location 16
2	Aisle 9	Location 15
3	Aisle 3	Location 19
4	Aisle 2	Location 37
5	Aisle 7	Location 1
6	Aisle 10	Location 28
7	Aisle 11	Location 6
8	Aisle 6	Location 21
9	Aisle 3	Location 41
10	Aisle 12	Location 38
11	Aisle 2	Location 3
12	Aisle 11	Location 14
13	Aisle 14	Location 43
14	Aisle 18	Location 37
15	Aisle 3	Location 21
16	Aisle 11	Location 31
Order 2	number of articles 13
0	Aisle 15	Location 17
1	Aisle 7	Location 29
2	Aisle 8	Location 36
3	Aisle 17	Location 20
4	Aisle 1	Location 4
5	Aisle 9	Location 9
6	Aisle 0	Location 13
7	Aisle 11	Location 10
8	Aisle 15	Location 34
9	Aisle 3	Location 38
10	Aisle 13	Location 2
11	Aisle 12	Location 4
12	Aisle 4	Location 27
Order 3	number of articles 20
0	Aisle 2	Location 11
1	Aisle 11	Location 8
2	Aisle 7	Location 18
3	Aisle 7	Location 12
4	Aisle 5	Location 27
5	Aisle 17	Location 43
6	Aisle 13	Location 41
7	Aisle 3	Location 0
8	Aisle 12	Location 3
9	Aisle 7	Location 34
10	Aisle 2	Location 6
11	Aisle 3	Location 31
12	Aisle 16	Location 7
13	Aisle 3	Location 6
14	Aisle 0	Location 10
15	Aisle 8	Location 2
16	Aisle 14	Location 32
17	Aisle 15	Location 7
18	Aisle 9	Location 5
19	Aisle 12	Location 44
Order 4	number of articles 7
0	Aisle 2	Location 14
1	Aisle 4	Location 17
2	Aisle 5	Location 38
3	Aisle 3	Location 41
4	Aisle 1	Location 8
5	Aisle 18	Location 13
6	Aisle 8	Location 41
Order 5	number of articles 14
0	Aisle 2	Location 27
1	Aisle 7	Location 40
2	Aisle 9	Location 14
3	Aisle 9	Location 35
4	Aisle 9	Location 22
5	Aisle 0	Location 25
6	Aisle 2	Location 42
7	Aisle 17	Location 31
8	Aisle 10	Location 15
9	Aisle 15	Location 14
10	Aisle 9	Location 13
11	Aisle 18	Location 0
12	Aisle 14	Location 43
13	Aisle 2	Location 19
Order 6	number of articles 19
0	Aisle 0	Location 23
1	Aisle 0	Location 40
2	Aisle 2	Location 35
3	Aisle 19	Location 32
4	Aisle 8	Location 11
5	Aisle 13	Location 25
6	Aisle 4	Location 24
7	Aisle 7	Location 33
8	Aisle 14	Location 42
9	Aisle 19	Location 16
10	Aisle 14	Location 11
11	Aisle 15	Location 24
12	Aisle 16	Location 31
13	Aisle 8	Location 40
14	Aisle 13	Location 9
15	Aisle 5	Location 8
16	Aisle 9	Location 2
17	Aisle 11	Location 17
18	Aisle 9	Location 29
Order 7	number of articles 13
0	Aisle 12	Location 3
1	Aisle 18	Location 31
2	Aisle 4	Location 2
3	Aisle 8	Location 36
4	Aisle 14	Location 25
5	Aisle 16	Location 15
6	Aisle 13	Location 40
7	Aisle 14	Location 26
8	Aisle 10	Location 25
9	Aisle 3	Location 15
10	Aisle 0	Location 2
11	Aisle 6	Location 18
12	Aisle 13	Location 13
Order 8	number of articles 9
0	Aisle 7	Location 40
1	Aisle 16	Location 7
2	Aisle 12	Location 21
3	Aisle 12	Location 41
4	Aisle 18	Location 15
5	Aisle 13	Location 7
6	Aisle 6	Location 3
7	Aisle 5	Location 11
8	Aisle 14	Location 9
Order 9	number of articles 13
0	Aisle 9	Location 20
1	Aisle 17	Location 14
2	Aisle 6	Location 0
3	Aisle 7	Location 14
4	Aisle 19	Location 22
5	Aisle 2	Location 21
6	Aisle 3	Location 30
7	Aisle 19	Location 37
8	Aisle 0	Location 6
9	Aisle 6	Location 42
10	Aisle 14	Location 3
11	Aisle 17	Location 39
12	Aisle 8	Location 29
Order 10	number of articles 13
0	Aisle 5	Location 13
1	Aisle 15	Location 13
2	Aisle 5	Location 21
3	Aisle 8	Location 35
4	Aisle 1	Location 14
5	Aisle 18	Location 10
6	Aisle 8	Location 42
7	Aisle 2	Location 26
8	Aisle 4	Location 43
9	Aisle 9	Location 22
10	Aisle 14	Location 33
11	Aisle 8	Location 20
12	Aisle 12	Location 36
Order 11	number of articles 18
0	Aisle 10	Location 39
1	Aisle 0	Location 39
2	Aisle 13	Location 32
3	Aisle 18	Location 23
4	Aisle 13	Location 34
5	Aisle 15	Location 31
6	Aisle 16	Location 3
7	Aisle 0	Location 32
8	Aisle 9	Location 42
9	Aisle 12	Location 37
10	Aisle 19	Location 13
11	Aisle 4	Location 29
12	Aisle 12	Location 25
13	Aisle 7	Location 0
14	Aisle 13	Location 19
15	Aisle 8	Location 22
16	Aisle 9	Location 24
17	Aisle 19	Location 43
Order 12	number of articles 21
0	Aisle 19	Location 15
1	Aisle 10	Location 42
2	Aisle 18	Location 22
3	Aisle 14	Location 31
4	Aisle 11	Location 7
5	Aisle 8	Location 10
6	Aisle 6	Location 11
7	Aisle 2	Location 33
8	Aisle 10	Location 22
9	Aisle 5	Location 36
10	Aisle 12	Location 30
11	Aisle 2	Location 20
12	Aisle 5	Location 37
13	Aisle 0	Location 2
14	Aisle 2	Location 30
15	Aisle 9	Location 29
16	Aisle 19	Location 42
17	Aisle 18	Location 43
18	Aisle 15	Location 30
19	Aisle 2	Location 25
20	Aisle 7	Location 5
Order 13	number of articles 11
0	Aisle 11	Location 10
1	Aisle 7	Location 31
2	Aisle 3	Location 24
3	Aisle 12	Location 39
4	Aisle 15	Location 6
5	Aisle 15	Location 44
6	Aisle 2	Location 27
7	Aisle 11	Location 18
8	Aisle 15	Location 29
9	Aisle 0	Location 44
10	Aisle 1	Location 27
Order 14	number of articles 17
0	Aisle 1	Location 26
1	Aisle 3	Location 5
2	Aisle 15	Location 2
3	Aisle 0	Location 33
4	Aisle 0	Location 29
5	Aisle 16	Location 23
6	Aisle 6	Location 15
7	Aisle 6	Location 20
8	Aisle 10	Location 2
9	Aisle 3	Location 23
10	Aisle 17	Location 4
11	Aisle 3	Location 26
12	Aisle 4	Location 21
13	Aisle 14	Location 43
14	Aisle 5	Location 16
15	Aisle 4	Location 0
16	Aisle 15	Location 4
Order 15	number of articles 7
0	Aisle 15	Location 7
1	Aisle 1	Location 0
2	Aisle 1	Location 7
3	Aisle 0	Location 1
4	Aisle 2	Location 13
5	Aisle 8	Location 19
6	Aisle 8	Location 38
Order 16	number of articles 21
0	Aisle 13	Location 25
1	Aisle 13	Location 24
2	Aisle 10	Location 38
3	Aisle 4	Location 42
4	Aisle 9	Location 11
5	Aisle 11	Location 25
6	Aisle 6	Location 32
7	Aisle 7	Location 21
8	Aisle 5	Location 35
9	Aisle 18	Location 35
10	Aisle 6	Location 21
11	Aisle 10	Location 39
12	Aisle 10	Location 36
13	Aisle 8	Location 24
14	Aisle 8	Location 4
15	Aisle 2	Location 14
16	Aisle 18	Location 36
17	Aisle 12	Location 0
18	Aisle 6	Location 11
19	Aisle 17	Location 5
20	Aisle 1	Location 18
Order 17	number of articles 18
0	Aisle 4	Location 27
1	Aisle 8	Location 26
2	Aisle 6	Location 13
3	Aisle 3	Location 29
4	Aisle 17	Location 4
5	Aisle 15	Location 42
6	Aisle 17	Location 17
7	Aisle 10	Location 12
8	Aisle 8	Location 23
9	Aisle 10	Location 13
10	Aisle 14	Location 35
11	Aisle 13	Location 35
12	Aisle 6	Location 2
13	Aisle 13	Location 39
14	Aisle 14	Location 34
15	Aisle 2	Location 33
16	Aisle 0	Location 12
17	Aisle 14	Location 9
Order 18	number of articles 6
0	Aisle 8	Location 39
1	Aisle 12	Location 9
2	Aisle 6	Location 43
3	Aisle 14	Location 11
4	Aisle 17	Location 23
5	Aisle 19	Location 0
Order 19	number of articles 7
0	Aisle 5	Location 9
1	Aisle 1	Location 40
2	Aisle 5	Location 1
3	Aisle 4	Location 40
4	Aisle 2	Location 19
5	Aisle 19	Location 15
6	Aisle 9	Location 18
