Order 0	number of articles 20
0	Aisle 1	Location 0
1	Aisle 0	Location 0
2	Aisle 0	Location 3
3	Aisle 0	Location 11
4	Aisle 12	Location 13
5	Aisle 6	Location 13
6	Aisle 1	Location 21
7	Aisle 13	Location 42
8	Aisle 1	Location 14
9	Aisle 18	Location 18
10	Aisle 7	Location 19
11	Aisle 1	Location 24
12	Aisle 0	Location 29
13	Aisle 1	Location 5
14	Aisle 18	Location 23
15	Aisle 0	Location 32
16	Aisle 15	Location 32
17	Aisle 18	Location 42
18	Aisle 1	Location 43
19	Aisle 13	Location 17
Order 1	number of articles 16
0	Aisle 0	Location 17
1	Aisle 0	Location 4
2	Aisle 19	Location 36
3	Aisle 9	Location 13
4	Aisle 1	Location 21
5	Aisle 1	Location 20
6	Aisle 0	Location 25
7	Aisle 15	Location 15
8	Aisle 10	Location 5
9	Aisle 1	Location 6
10	Aisle 0	Location 21
11	Aisle 0	Location 16
12	Aisle 0	Location 0
13	Aisle 19	Location 42
14	Aisle 1	Location 13
15	Aisle 1	Location 39
Order 2	number of articles 19
0	Aisle 0	Location 42
1	Aisle 6	Location 8
2	Aisle 0	Location 23
3	Aisle 16	Location 13
4	Aisle 19	Location 9
5	Aisle 1	Location 23
6	Aisle 1	Location 24
7	Aisle 19	Location 25
8	Aisle 0	Location 9
9	Aisle 0	Location 22
10	Aisle 9	Location 25
11	Aisle 0	Location 14
12	Aisle 0	Location 18
13	Aisle 0	Location 17
14	Aisle 1	Location 12
15	Aisle 0	Location 10
16	Aisle 1	Location 21
17	Aisle 1	Location 19
18	Aisle 1	Location 40
Order 3	number of articles 23
0	Aisle 0	Location 34
1	Aisle 13	Location 27
2	Aisle 1	Location 37
3	Aisle 12	Location 15
4	Aisle 1	Location 14
5	Aisle 6	Location 0
6	Aisle 0	Location 3
7	Aisle 0	Location 1
8	Aisle 15	Location 9
9	Aisle 1	Location 39
10	Aisle 19	Location 6
11	Aisle 9	Location 17
12	Aisle 1	Location 29
13	Aisle 1	Location 27
14	Aisle 1	Location 10
15	Aisle 16	Location 17
16	Aisle 13	Location 43
17	Aisle 15	Location 36
18	Aisle 0	Location 27
19	Aisle 11	Location 9
20	Aisle 1	Location 0
21	Aisle 14	Location 9
22	Aisle 0	Location 2
Order 4	number of articles 19
0	Aisle 18	Location 31
1	Aisle 1	Location 26
2	Aisle 0	Location 1
3	Aisle 15	Location 12
4	Aisle 16	Location 32
5	Aisle 0	Location 41
6	Aisle 0	Location 8
7	Aisle 11	Location 36
8	Aisle 13	Location 28
9	Aisle 1	Location 18
10	Aisle 6	Location 37
11	Aisle 7	Location 9
12	Aisle 1	Location 1
13	Aisle 16	Location 14
14	Aisle 9	Location 38
15	Aisle 15	Location 27
16	Aisle 14	Location 36
17	Aisle 0	Location 37
18	Aisle 0	Location 0
Order 5	number of articles 15
0	Aisle 0	Location 14
1	Aisle 0	Location 17
2	Aisle 0	Location 24
3	Aisle 1	Location 42
4	Aisle 19	Location 41
5	Aisle 1	Location 3
6	Aisle 1	Location 36
7	Aisle 1	Location 44
8	Aisle 1	Location 5
9	Aisle 6	Location 8
10	Aisle 14	Location 33
11	Aisle 0	Location 8
12	Aisle 18	Location 37
13	Aisle 1	Location 21
14	Aisle 1	Location 0
Order 6	number of articles 9
0	Aisle 11	Location 6
1	Aisle 0	Location 6
2	Aisle 0	Location 3
3	Aisle 1	Location 41
4	Aisle 1	Location 38
5	Aisle 13	Location 17
6	Aisle 18	Location 5
7	Aisle 1	Location 31
8	Aisle 16	Location 21
Order 7	number of articles 11
0	Aisle 0	Location 6
1	Aisle 11	Location 14
2	Aisle 6	Location 27
3	Aisle 1	Location 21
4	Aisle 8	Location 39
5	Aisle 13	Location 31
6	Aisle 1	Location 40
7	Aisle 1	Location 13
8	Aisle 0	Location 8
9	Aisle 1	Location 37
10	Aisle 0	Location 19
Order 8	number of articles 14
0	Aisle 1	Location 6
1	Aisle 19	Location 8
2	Aisle 15	Location 22
3	Aisle 16	Location 3
4	Aisle 0	Location 17
5	Aisle 18	Location 39
6	Aisle 0	Location 44
7	Aisle 0	Location 2
8	Aisle 7	Location 17
9	Aisle 10	Location 3
10	Aisle 7	Location 40
11	Aisle 0	Location 38
12	Aisle 0	Location 3
13	Aisle 19	Location 18
Order 9	number of articles 19
0	Aisle 9	Location 26
1	Aisle 13	Location 12
2	Aisle 1	Location 4
3	Aisle 15	Location 33
4	Aisle 1	Location 11
5	Aisle 1	Location 37
6	Aisle 10	Location 15
7	Aisle 13	Location 15
8	Aisle 1	Location 25
9	Aisle 19	Location 35
10	Aisle 1	Location 22
11	Aisle 1	Location 1
12	Aisle 0	Location 1
13	Aisle 12	Location 22
14	Aisle 1	Location 26
15	Aisle 10	Location 33
16	Aisle 0	Location 6
17	Aisle 8	Location 22
18	Aisle 0	Location 27
Order 10	number of articles 19
0	Aisle 1	Location 1
1	Aisle 18	Location 13
2	Aisle 1	Location 38
3	Aisle 1	Location 13
4	Aisle 12	Location 42
5	Aisle 0	Location 33
6	Aisle 1	Location 9
7	Aisle 18	Location 18
8	Aisle 1	Location 17
9	Aisle 1	Location 2
10	Aisle 14	Location 42
11	Aisle 19	Location 36
12	Aisle 1	Location 0
13	Aisle 8	Location 30
14	Aisle 0	Location 26
15	Aisle 9	Location 2
16	Aisle 17	Location 38
17	Aisle 0	Location 8
18	Aisle 1	Location 4
Order 11	number of articles 19
0	Aisle 10	Location 18
1	Aisle 16	Location 39
2	Aisle 16	Location 11
3	Aisle 11	Location 1
4	Aisle 0	Location 8
5	Aisle 0	Location 38
6	Aisle 17	Location 2
7	Aisle 0	Location 34
8	Aisle 18	Location 24
9	Aisle 14	Location 30
10	Aisle 6	Location 31
11	Aisle 1	Location 4
12	Aisle 16	Location 38
13	Aisle 0	Location 26
14	Aisle 1	Location 40
15	Aisle 0	Location 28
16	Aisle 0	Location 16
17	Aisle 12	Location 19
18	Aisle 15	Location 7
Order 12	number of articles 19
0	Aisle 0	Location 14
1	Aisle 11	Location 4
2	Aisle 18	Location 33
3	Aisle 0	Location 12
4	Aisle 15	Location 0
5	Aisle 0	Location 8
6	Aisle 0	Location 28
7	Aisle 15	Location 24
8	Aisle 1	Location 17
9	Aisle 19	Location 13
10	Aisle 0	Location 43
11	Aisle 19	Location 36
12	Aisle 14	Location 6
13	Aisle 1	Location 27
14	Aisle 0	Location 22
15	Aisle 8	Location 34
16	Aisle 7	Location 41
17	Aisle 0	Location 6
18	Aisle 18	Location 26
Order 13	number of articles 18
0	Aisle 10	Location 15
1	Aisle 8	Location 35
2	Aisle 9	Location 28
3	Aisle 17	Location 10
4	Aisle 6	Location 15
5	Aisle 0	Location 16
6	Aisle 14	Location 9
7	Aisle 1	Location 33
8	Aisle 6	Location 20
9	Aisle 0	Location 8
10	Aisle 1	Location 5
11	Aisle 6	Location 40
12	Aisle 14	Location 34
13	Aisle 19	Location 29
14	Aisle 0	Location 31
15	Aisle 16	Location 23
16	Aisle 1	Location 37
17	Aisle 14	Location 2
Order 14	number of articles 14
0	Aisle 18	Location 20
1	Aisle 0	Location 7
2	Aisle 17	Location 19
3	Aisle 1	Location 6
4	Aisle 7	Location 17
5	Aisle 17	Location 32
6	Aisle 9	Location 3
7	Aisle 0	Location 39
8	Aisle 0	Location 41
9	Aisle 1	Location 5
10	Aisle 0	Location 2
11	Aisle 13	Location 4
12	Aisle 0	Location 22
13	Aisle 14	Location 28
Order 15	number of articles 5
0	Aisle 1	Location 20
1	Aisle 15	Location 29
2	Aisle 0	Location 9
3	Aisle 1	Location 26
4	Aisle 0	Location 17
Order 16	number of articles 6
0	Aisle 6	Location 27
1	Aisle 1	Location 9
2	Aisle 13	Location 24
3	Aisle 1	Location 15
4	Aisle 6	Location 37
5	Aisle 0	Location 11
Order 17	number of articles 17
0	Aisle 1	Location 35
1	Aisle 7	Location 43
2	Aisle 19	Location 31
3	Aisle 1	Location 29
4	Aisle 1	Location 10
5	Aisle 0	Location 23
6	Aisle 0	Location 24
7	Aisle 1	Location 24
8	Aisle 11	Location 12
9	Aisle 0	Location 4
10	Aisle 1	Location 42
11	Aisle 1	Location 18
12	Aisle 1	Location 19
13	Aisle 0	Location 43
14	Aisle 12	Location 5
15	Aisle 0	Location 14
16	Aisle 19	Location 32
Order 18	number of articles 7
0	Aisle 14	Location 40
1	Aisle 0	Location 39
2	Aisle 7	Location 6
3	Aisle 0	Location 44
4	Aisle 0	Location 14
5	Aisle 19	Location 16
6	Aisle 1	Location 0
Order 19	number of articles 9
0	Aisle 1	Location 42
1	Aisle 15	Location 17
2	Aisle 1	Location 3
3	Aisle 11	Location 8
4	Aisle 17	Location 34
5	Aisle 0	Location 36
6	Aisle 1	Location 39
7	Aisle 13	Location 10
8	Aisle 11	Location 15
Order 20	number of articles 21
0	Aisle 19	Location 28
1	Aisle 9	Location 30
2	Aisle 0	Location 38
3	Aisle 8	Location 26
4	Aisle 0	Location 27
5	Aisle 7	Location 9
6	Aisle 16	Location 7
7	Aisle 1	Location 23
8	Aisle 19	Location 5
9	Aisle 0	Location 4
10	Aisle 0	Location 8
11	Aisle 0	Location 16
12	Aisle 0	Location 3
13	Aisle 15	Location 33
14	Aisle 0	Location 5
15	Aisle 12	Location 30
16	Aisle 8	Location 8
17	Aisle 0	Location 20
18	Aisle 1	Location 31
19	Aisle 1	Location 40
20	Aisle 11	Location 1
Order 21	number of articles 13
0	Aisle 14	Location 38
1	Aisle 0	Location 2
2	Aisle 11	Location 2
3	Aisle 1	Location 44
4	Aisle 13	Location 14
5	Aisle 6	Location 29
6	Aisle 0	Location 10
7	Aisle 10	Location 1
8	Aisle 1	Location 33
9	Aisle 1	Location 10
10	Aisle 19	Location 24
11	Aisle 1	Location 18
12	Aisle 0	Location 14
Order 22	number of articles 22
0	Aisle 9	Location 41
1	Aisle 9	Location 20
2	Aisle 0	Location 43
3	Aisle 1	Location 27
4	Aisle 16	Location 3
5	Aisle 6	Location 41
6	Aisle 0	Location 42
7	Aisle 0	Location 20
8	Aisle 0	Location 44
9	Aisle 1	Location 22
10	Aisle 1	Location 9
11	Aisle 1	Location 31
12	Aisle 1	Location 32
13	Aisle 17	Location 43
14	Aisle 1	Location 23
15	Aisle 8	Location 39
16	Aisle 18	Location 27
17	Aisle 1	Location 28
18	Aisle 7	Location 0
19	Aisle 1	Location 12
