Order 0	number of articles 14
0	Aisle 15	Location 11
1	Aisle 0	Location 6
2	Aisle 1	Location 12
3	Aisle 1	Location 30
4	Aisle 0	Location 1
5	Aisle 1	Location 11
6	Aisle 0	Location 43
7	Aisle 13	Location 2
8	Aisle 7	Location 15
9	Aisle 6	Location 10
10	Aisle 1	Location 24
11	Aisle 1	Location 42
12	Aisle 0	Location 21
13	Aisle 1	Location 3
Order 1	number of articles 11
0	Aisle 1	Location 24
1	Aisle 1	Location 30
2	Aisle 13	Location 35
3	Aisle 0	Location 17
4	Aisle 15	Location 3
5	Aisle 1	Location 19
6	Aisle 1	Location 8
7	Aisle 10	Location 25
8	Aisle 13	Location 11
9	Aisle 13	Location 43
10	Aisle 0	Location 13
Order 2	number of articles 11
0	Aisle 0	Location 12
1	Aisle 1	Location 33
2	Aisle 1	Location 40
3	Aisle 0	Location 43
4	Aisle 0	Location 31
5	Aisle 1	Location 35
6	Aisle 6	Location 4
7	Aisle 1	Location 11
8	Aisle 0	Location 4
9	Aisle 14	Location 27
10	Aisle 14	Location 18
Order 3	number of articles 16
0	Aisle 8	Location 40
1	Aisle 1	Location 40
2	Aisle 16	Location 3
3	Aisle 17	Location 5
4	Aisle 14	Location 28
5	Aisle 1	Location 2
6	Aisle 0	Location 14
7	Aisle 15	Location 16
8	Aisle 0	Location 12
9	Aisle 0	Location 35
10	Aisle 15	Location 1
11	Aisle 14	Location 42
12	Aisle 1	Location 34
13	Aisle 1	Location 35
14	Aisle 11	Location 3
15	Aisle 17	Location 28
Order 4	number of articles 13
0	Aisle 0	Location 24
1	Aisle 1	Location 3
2	Aisle 0	Location 8
3	Aisle 0	Location 31
4	Aisle 13	Location 22
5	Aisle 1	Location 2
6	Aisle 15	Location 9
7	Aisle 0	Location 18
8	Aisle 1	Location 35
9	Aisle 14	Location 21
10	Aisle 14	Location 5
11	Aisle 11	Location 41
12	Aisle 1	Location 14
Order 5	number of articles 5
0	Aisle 7	Location 31
1	Aisle 1	Location 13
2	Aisle 0	Location 26
3	Aisle 13	Location 19
4	Aisle 11	Location 32
Order 6	number of articles 8
0	Aisle 14	Location 42
1	Aisle 0	Location 44
2	Aisle 19	Location 23
3	Aisle 16	Location 32
4	Aisle 1	Location 29
5	Aisle 0	Location 41
6	Aisle 8	Location 27
7	Aisle 1	Location 44
Order 7	number of articles 17
0	Aisle 0	Location 23
1	Aisle 18	Location 16
2	Aisle 0	Location 12
3	Aisle 0	Location 3
4	Aisle 11	Location 10
5	Aisle 0	Location 22
6	Aisle 12	Location 38
7	Aisle 1	Location 20
8	Aisle 17	Location 0
9	Aisle 11	Location 16
10	Aisle 16	Location 5
11	Aisle 18	Location 2
12	Aisle 0	Location 5
13	Aisle 11	Location 44
14	Aisle 14	Location 32
15	Aisle 1	Location 15
16	Aisle 0	Location 0
Order 8	number of articles 6
0	Aisle 16	Location 36
1	Aisle 1	Location 37
2	Aisle 7	Location 17
3	Aisle 9	Location 30
4	Aisle 0	Location 24
5	Aisle 11	Location 25
Order 9	number of articles 8
0	Aisle 15	Location 10
1	Aisle 0	Location 18
2	Aisle 7	Location 41
3	Aisle 0	Location 0
4	Aisle 0	Location 39
5	Aisle 0	Location 35
6	Aisle 10	Location 30
7	Aisle 10	Location 21
Order 10	number of articles 20
0	Aisle 0	Location 16
1	Aisle 1	Location 4
2	Aisle 6	Location 30
3	Aisle 11	Location 17
4	Aisle 14	Location 15
5	Aisle 1	Location 40
6	Aisle 14	Location 23
7	Aisle 16	Location 30
8	Aisle 6	Location 34
9	Aisle 0	Location 27
10	Aisle 8	Location 33
11	Aisle 10	Location 41
12	Aisle 6	Location 27
13	Aisle 0	Location 37
14	Aisle 12	Location 21
15	Aisle 13	Location 13
16	Aisle 0	Location 7
17	Aisle 0	Location 26
18	Aisle 0	Location 28
19	Aisle 1	Location 34
Order 11	number of articles 8
0	Aisle 11	Location 36
1	Aisle 6	Location 23
2	Aisle 1	Location 0
3	Aisle 1	Location 35
4	Aisle 1	Location 36
5	Aisle 0	Location 8
6	Aisle 19	Location 30
7	Aisle 7	Location 32
Order 12	number of articles 6
0	Aisle 10	Location 36
1	Aisle 1	Location 37
2	Aisle 0	Location 26
3	Aisle 8	Location 19
4	Aisle 1	Location 23
5	Aisle 18	Location 14
Order 13	number of articles 17
0	Aisle 7	Location 12
1	Aisle 16	Location 28
2	Aisle 1	Location 10
3	Aisle 0	Location 15
4	Aisle 1	Location 9
5	Aisle 0	Location 36
6	Aisle 8	Location 21
7	Aisle 7	Location 9
8	Aisle 9	Location 37
9	Aisle 13	Location 24
10	Aisle 9	Location 28
11	Aisle 18	Location 2
12	Aisle 7	Location 3
13	Aisle 1	Location 34
14	Aisle 0	Location 9
15	Aisle 1	Location 7
16	Aisle 11	Location 34
Order 14	number of articles 5
0	Aisle 0	Location 32
1	Aisle 0	Location 29
2	Aisle 1	Location 29
3	Aisle 1	Location 30
4	Aisle 0	Location 14
Order 15	number of articles 22
0	Aisle 0	Location 26
1	Aisle 0	Location 36
2	Aisle 1	Location 35
3	Aisle 6	Location 10
4	Aisle 9	Location 34
5	Aisle 16	Location 11
6	Aisle 1	Location 40
7	Aisle 19	Location 3
8	Aisle 0	Location 17
9	Aisle 1	Location 32
10	Aisle 0	Location 29
11	Aisle 6	Location 26
12	Aisle 1	Location 26
13	Aisle 0	Location 11
14	Aisle 0	Location 38
15	Aisle 1	Location 30
16	Aisle 1	Location 5
17	Aisle 0	Location 35
18	Aisle 0	Location 44
19	Aisle 1	Location 37
20	Aisle 0	Location 19
21	Aisle 7	Location 11
Order 16	number of articles 21
0	Aisle 0	Location 9
1	Aisle 13	Location 42
2	Aisle 1	Location 1
3	Aisle 7	Location 44
4	Aisle 0	Location 29
5	Aisle 18	Location 28
6	Aisle 1	Location 17
7	Aisle 0	Location 42
8	Aisle 17	Location 0
9	Aisle 12	Location 43
10	Aisle 9	Location 36
11	Aisle 16	Location 24
12	Aisle 6	Location 15
13	Aisle 0	Location 35
14	Aisle 18	Location 29
15	Aisle 6	Location 17
16	Aisle 12	Location 37
17	Aisle 0	Location 34
18	Aisle 13	Location 17
19	Aisle 11	Location 3
20	Aisle 0	Location 18
Order 17	number of articles 20
0	Aisle 12	Location 24
1	Aisle 15	Location 5
2	Aisle 1	Location 23
3	Aisle 1	Location 34
4	Aisle 1	Location 22
5	Aisle 0	Location 29
6	Aisle 15	Location 17
7	Aisle 0	Location 10
8	Aisle 0	Location 22
9	Aisle 0	Location 13
10	Aisle 16	Location 17
11	Aisle 12	Location 15
12	Aisle 1	Location 35
13	Aisle 0	Location 40
14	Aisle 0	Location 2
15	Aisle 1	Location 14
16	Aisle 7	Location 37
17	Aisle 12	Location 13
18	Aisle 1	Location 1
