Order 0	number of articles 20
0	Aisle 1	Location 8
1	Aisle 19	Location 30
2	Aisle 10	Location 6
3	Aisle 16	Location 31
4	Aisle 11	Location 33
5	Aisle 1	Location 12
6	Aisle 0	Location 17
7	Aisle 0	Location 26
8	Aisle 13	Location 26
9	Aisle 0	Location 16
10	Aisle 13	Location 0
11	Aisle 1	Location 9
12	Aisle 1	Location 27
13	Aisle 8	Location 37
14	Aisle 1	Location 31
15	Aisle 8	Location 35
16	Aisle 19	Location 10
17	Aisle 8	Location 4
18	Aisle 0	Location 29
19	Aisle 0	Location 38
Order 1	number of articles 16
0	Aisle 9	Location 0
1	Aisle 7	Location 30
2	Aisle 11	Location 33
3	Aisle 12	Location 14
4	Aisle 1	Location 19
5	Aisle 14	Location 41
6	Aisle 7	Location 33
7	Aisle 1	Location 26
8	Aisle 16	Location 26
9	Aisle 1	Location 31
10	Aisle 0	Location 39
11	Aisle 1	Location 17
12	Aisle 10	Location 29
13	Aisle 6	Location 3
14	Aisle 0	Location 35
15	Aisle 14	Location 28
Order 2	number of articles 9
0	Aisle 0	Location 35
1	Aisle 1	Location 1
2	Aisle 1	Location 12
3	Aisle 11	Location 27
4	Aisle 1	Location 4
5	Aisle 7	Location 36
6	Aisle 1	Location 31
7	Aisle 1	Location 35
8	Aisle 1	Location 28
Order 3	number of articles 10
0	Aisle 16	Location 9
1	Aisle 13	Location 14
2	Aisle 0	Location 22
3	Aisle 1	Location 1
4	Aisle 0	Location 3
5	Aisle 0	Location 4
6	Aisle 1	Location 38
7	Aisle 1	Location 33
8	Aisle 12	Location 42
9	Aisle 18	Location 12
Order 4	number of articles 11
0	Aisle 1	Location 4
1	Aisle 13	Location 34
2	Aisle 1	Location 9
3	Aisle 14	Location 7
4	Aisle 9	Location 19
5	Aisle 15	Location 22
6	Aisle 17	Location 38
7	Aisle 1	Location 30
8	Aisle 0	Location 3
9	Aisle 1	Location 6
10	Aisle 10	Location 44
Order 5	number of articles 16
0	Aisle 13	Location 7
1	Aisle 19	Location 26
2	Aisle 0	Location 39
3	Aisle 1	Location 37
4	Aisle 0	Location 41
5	Aisle 9	Location 16
6	Aisle 1	Location 20
7	Aisle 0	Location 26
8	Aisle 0	Location 1
9	Aisle 0	Location 18
10	Aisle 14	Location 28
11	Aisle 6	Location 0
12	Aisle 0	Location 30
13	Aisle 18	Location 32
14	Aisle 0	Location 20
15	Aisle 0	Location 14
Order 6	number of articles 9
0	Aisle 1	Location 18
1	Aisle 7	Location 28
2	Aisle 17	Location 44
3	Aisle 13	Location 9
4	Aisle 0	Location 15
5	Aisle 13	Location 41
6	Aisle 15	Location 11
7	Aisle 17	Location 11
8	Aisle 1	Location 43
Order 7	number of articles 19
0	Aisle 13	Location 32
1	Aisle 1	Location 4
2	Aisle 13	Location 40
3	Aisle 1	Location 34
4	Aisle 0	Location 34
5	Aisle 6	Location 19
6	Aisle 1	Location 14
7	Aisle 0	Location 3
8	Aisle 15	Location 40
9	Aisle 11	Location 29
10	Aisle 0	Location 7
11	Aisle 14	Location 20
12	Aisle 1	Location 0
13	Aisle 0	Location 2
14	Aisle 0	Location 15
15	Aisle 16	Location 34
16	Aisle 0	Location 12
17	Aisle 0	Location 8
18	Aisle 18	Location 33
Order 8	number of articles 22
0	Aisle 14	Location 15
1	Aisle 0	Location 20
2	Aisle 0	Location 22
3	Aisle 7	Location 2
4	Aisle 1	Location 5
5	Aisle 1	Location 9
6	Aisle 12	Location 27
7	Aisle 11	Location 40
8	Aisle 0	Location 2
9	Aisle 14	Location 40
10	Aisle 0	Location 28
11	Aisle 1	Location 40
12	Aisle 1	Location 34
13	Aisle 1	Location 20
14	Aisle 1	Location 36
15	Aisle 16	Location 19
16	Aisle 8	Location 23
17	Aisle 1	Location 42
18	Aisle 11	Location 37
19	Aisle 1	Location 23
20	Aisle 12	Location 24
21	Aisle 12	Location 6
Order 9	number of articles 8
0	Aisle 18	Location 7
1	Aisle 0	Location 33
2	Aisle 1	Location 27
3	Aisle 6	Location 32
4	Aisle 0	Location 44
5	Aisle 0	Location 24
6	Aisle 1	Location 3
7	Aisle 1	Location 41
Order 10	number of articles 13
0	Aisle 0	Location 2
1	Aisle 11	Location 28
2	Aisle 17	Location 14
3	Aisle 7	Location 25
4	Aisle 0	Location 30
5	Aisle 1	Location 10
6	Aisle 1	Location 1
7	Aisle 0	Location 34
8	Aisle 6	Location 0
9	Aisle 19	Location 7
10	Aisle 1	Location 3
11	Aisle 18	Location 37
12	Aisle 10	Location 16
Order 11	number of articles 14
0	Aisle 1	Location 13
1	Aisle 0	Location 21
2	Aisle 0	Location 12
3	Aisle 1	Location 15
4	Aisle 1	Location 19
5	Aisle 0	Location 20
6	Aisle 0	Location 25
7	Aisle 1	Location 2
8	Aisle 1	Location 34
9	Aisle 14	Location 17
