Order 0	number of articles 15
0	Aisle 0	Location 39
1	Aisle 13	Location 39
2	Aisle 0	Location 11
3	Aisle 1	Location 5
4	Aisle 12	Location 10
5	Aisle 18	Location 20
6	Aisle 16	Location 28
7	Aisle 10	Location 13
8	Aisle 0	Location 7
9	Aisle 6	Location 0
10	Aisle 8	Location 33
11	Aisle 0	Location 22
12	Aisle 18	Location 31
13	Aisle 15	Location 25
14	Aisle 0	Location 18
Order 1	number of articles 6
0	Aisle 10	Location 5
1	Aisle 0	Location 13
2	Aisle 0	Location 41
3	Aisle 1	Location 20
4	Aisle 14	Location 20
5	Aisle 12	Location 11
Order 2	number of articles 7
0	Aisle 10	Location 43
1	Aisle 10	Location 17
2	Aisle 19	Location 21
3	Aisle 11	Location 4
4	Aisle 0	Location 22
5	Aisle 1	Location 1
6	Aisle 6	Location 16
Order 3	number of articles 12
0	Aisle 13	Location 3
1	Aisle 10	Location 36
2	Aisle 0	Location 33
3	Aisle 8	Location 0
4	Aisle 17	Location 39
5	Aisle 11	Location 38
6	Aisle 1	Location 27
7	Aisle 10	Location 34
8	Aisle 17	Location 22
9	Aisle 1	Location 1
10	Aisle 18	Location 15
11	Aisle 1	Location 0
Order 4	number of articles 21
0	Aisle 1	Location 35
1	Aisle 17	Location 42
2	Aisle 7	Location 2
3	Aisle 0	Location 32
4	Aisle 13	Location 16
5	Aisle 18	Location 15
6	Aisle 14	Location 15
7	Aisle 0	Location 39
8	Aisle 18	Location 1
9	Aisle 1	Location 4
10	Aisle 19	Location 34
11	Aisle 0	Location 14
12	Aisle 1	Location 20
13	Aisle 16	Location 15
14	Aisle 16	Location 31
15	Aisle 1	Location 9
16	Aisle 11	Location 0
17	Aisle 1	Location 2
18	Aisle 15	Location 29
19	Aisle 16	Location 25
20	Aisle 18	Location 21
Order 5	number of articles 17
0	Aisle 1	Location 28
1	Aisle 12	Location 8
2	Aisle 7	Location 16
3	Aisle 7	Location 5
4	Aisle 1	Location 42
5	Aisle 9	Location 28
6	Aisle 16	Location 12
7	Aisle 16	Location 24
8	Aisle 17	Location 26
9	Aisle 13	Location 29
10	Aisle 0	Location 44
11	Aisle 0	Location 19
12	Aisle 10	Location 25
13	Aisle 6	Location 16
14	Aisle 8	Location 40
15	Aisle 0	Location 20
16	Aisle 11	Location 25
Order 6	number of articles 18
0	Aisle 19	Location 33
1	Aisle 1	Location 21
2	Aisle 0	Location 4
3	Aisle 6	Location 12
4	Aisle 0	Location 31
5	Aisle 1	Location 20
6	Aisle 8	Location 38
7	Aisle 12	Location 36
8	Aisle 7	Location 24
9	Aisle 19	Location 0
10	Aisle 7	Location 16
11	Aisle 10	Location 13
12	Aisle 1	Location 27
13	Aisle 16	Location 25
14	Aisle 7	Location 39
15	Aisle 6	Location 32
16	Aisle 0	Location 20
17	Aisle 16	Location 38
Order 7	number of articles 22
0	Aisle 1	Location 40
1	Aisle 0	Location 17
2	Aisle 11	Location 14
3	Aisle 6	Location 42
4	Aisle 0	Location 8
5	Aisle 1	Location 26
6	Aisle 0	Location 24
7	Aisle 9	Location 12
8	Aisle 1	Location 33
9	Aisle 0	Location 34
10	Aisle 0	Location 26
11	Aisle 17	Location 6
12	Aisle 0	Location 27
13	Aisle 0	Location 12
14	Aisle 14	Location 40
15	Aisle 13	Location 34
16	Aisle 1	Location 16
17	Aisle 12	Location 40
18	Aisle 0	Location 16
19	Aisle 11	Location 40
20	Aisle 0	Location 18
21	Aisle 0	Location 37
Order 8	number of articles 15
0	Aisle 15	Location 24
1	Aisle 18	Location 42
2	Aisle 16	Location 36
3	Aisle 9	Location 26
4	Aisle 16	Location 23
5	Aisle 10	Location 21
6	Aisle 17	Location 13
7	Aisle 16	Location 27
8	Aisle 14	Location 8
9	Aisle 10	Location 28
10	Aisle 14	Location 3
11	Aisle 17	Location 0
12	Aisle 1	Location 35
13	Aisle 15	Location 16
14	Aisle 1	Location 16
Order 9	number of articles 17
0	Aisle 10	Location 26
1	Aisle 1	Location 18
2	Aisle 1	Location 25
3	Aisle 1	Location 32
4	Aisle 1	Location 40
5	Aisle 0	Location 1
6	Aisle 1	Location 13
7	Aisle 0	Location 28
8	Aisle 11	Location 7
9	Aisle 0	Location 5
10	Aisle 1	Location 33
11	Aisle 11	Location 23
12	Aisle 0	Location 2
13	Aisle 0	Location 16
14	Aisle 13	Location 27
15	Aisle 11	Location 1
16	Aisle 0	Location 25
Order 10	number of articles 12
0	Aisle 0	Location 17
1	Aisle 14	Location 1
2	Aisle 12	Location 33
3	Aisle 6	Location 41
4	Aisle 14	Location 24
5	Aisle 10	Location 17
6	Aisle 17	Location 10
7	Aisle 1	Location 16
8	Aisle 0	Location 25
9	Aisle 0	Location 2
10	Aisle 12	Location 8
11	Aisle 1	Location 2
Order 11	number of articles 9
0	Aisle 15	Location 24
1	Aisle 18	Location 7
2	Aisle 13	Location 3
3	Aisle 0	Location 37
4	Aisle 17	Location 7
5	Aisle 11	Location 24
6	Aisle 0	Location 22
7	Aisle 16	Location 17
8	Aisle 1	Location 3
Order 12	number of articles 17
0	Aisle 6	Location 9
1	Aisle 12	Location 34
2	Aisle 16	Location 23
3	Aisle 1	Location 5
4	Aisle 13	Location 6
5	Aisle 6	Location 22
6	Aisle 0	Location 39
7	Aisle 1	Location 9
8	Aisle 0	Location 27
9	Aisle 18	Location 36
10	Aisle 14	Location 38
11	Aisle 0	Location 10
12	Aisle 14	Location 43
13	Aisle 1	Location 10
14	Aisle 12	Location 20
15	Aisle 1	Location 39
16	Aisle 1	Location 3
Order 13	number of articles 9
0	Aisle 0	Location 16
1	Aisle 9	Location 29
2	Aisle 12	Location 7
3	Aisle 19	Location 43
4	Aisle 1	Location 39
5	Aisle 0	Location 27
6	Aisle 0	Location 12
7	Aisle 1	Location 28
8	Aisle 0	Location 22
Order 14	number of articles 19
0	Aisle 1	Location 36
1	Aisle 17	Location 8
2	Aisle 11	Location 24
3	Aisle 11	Location 42
4	Aisle 0	Location 15
5	Aisle 10	Location 32
6	Aisle 19	Location 41
7	Aisle 10	Location 18
8	Aisle 1	Location 26
9	Aisle 14	Location 36
10	Aisle 6	Location 24
11	Aisle 7	Location 15
12	Aisle 0	Location 32
13	Aisle 1	Location 20
14	Aisle 12	Location 1
15	Aisle 12	Location 3
16	Aisle 0	Location 11
17	Aisle 16	Location 44
18	Aisle 10	Location 15
Order 15	number of articles 12
0	Aisle 12	Location 5
1	Aisle 11	Location 18
2	Aisle 0	Location 37
3	Aisle 8	Location 23
4	Aisle 18	Location 4
5	Aisle 12	Location 8
6	Aisle 0	Location 20
7	Aisle 12	Location 43
8	Aisle 0	Location 36
9	Aisle 0	Location 33
10	Aisle 12	Location 38
11	Aisle 1	Location 17
Order 16	number of articles 15
0	Aisle 1	Location 10
1	Aisle 6	Location 19
2	Aisle 1	Location 30
3	Aisle 18	Location 27
4	Aisle 16	Location 8
5	Aisle 12	Location 1
6	Aisle 1	Location 41
7	Aisle 14	Location 27
8	Aisle 11	Location 6
9	Aisle 0	Location 26
10	Aisle 19	Location 24
11	Aisle 1	Location 8
12	Aisle 10	Location 36
13	Aisle 1	Location 40
14	Aisle 13	Location 5
Order 17	number of articles 16
0	Aisle 1	Location 16
1	Aisle 10	Location 26
2	Aisle 0	Location 16
3	Aisle 0	Location 18
4	Aisle 15	Location 28
5	Aisle 17	Location 15
6	Aisle 13	Location 3
7	Aisle 1	Location 15
8	Aisle 1	Location 23
9	Aisle 1	Location 5
10	Aisle 1	Location 26
11	Aisle 18	Location 43
12	Aisle 16	Location 17
13	Aisle 1	Location 8
14	Aisle 15	Location 5
15	Aisle 1	Location 7
Order 18	number of articles 20
0	Aisle 0	Location 5
1	Aisle 1	Location 35
2	Aisle 19	Location 22
3	Aisle 0	Location 36
4	Aisle 8	Location 41
5	Aisle 10	Location 31
6	Aisle 17	Location 14
7	Aisle 14	Location 22
8	Aisle 0	Location 1
9	Aisle 0	Location 41
10	Aisle 9	Location 14
11	Aisle 12	Location 11
12	Aisle 0	Location 31
13	Aisle 19	Location 39
14	Aisle 6	Location 25
15	Aisle 1	Location 6
16	Aisle 1	Location 42
17	Aisle 7	Location 35
18	Aisle 0	Location 13
19	Aisle 8	Location 39
Order 19	number of articles 20
0	Aisle 1	Location 0
1	Aisle 1	Location 40
2	Aisle 1	Location 36
3	Aisle 14	Location 34
4	Aisle 0	Location 9
5	Aisle 0	Location 23
6	Aisle 1	Location 8
7	Aisle 1	Location 1
8	Aisle 12	Location 1
9	Aisle 0	Location 39
10	Aisle 0	Location 26
11	Aisle 1	Location 28
12	Aisle 1	Location 17
13	Aisle 0	Location 0
14	Aisle 8	Location 16
15	Aisle 11	Location 16
16	Aisle 15	Location 36
17	Aisle 1	Location 12
18	Aisle 0	Location 30
19	Aisle 18	Location 17
