Order 0	number of articles 10
0	Aisle 0	Location 32
1	Aisle 1	Location 44
2	Aisle 6	Location 33
3	Aisle 1	Location 39
4	Aisle 15	Location 40
5	Aisle 13	Location 30
6	Aisle 8	Location 25
7	Aisle 6	Location 18
8	Aisle 1	Location 0
9	Aisle 0	Location 38
Order 1	number of articles 6
0	Aisle 15	Location 25
1	Aisle 15	Location 18
2	Aisle 0	Location 9
3	Aisle 1	Location 20
4	Aisle 11	Location 23
5	Aisle 1	Location 2
Order 2	number of articles 19
0	Aisle 10	Location 26
1	Aisle 1	Location 27
2	Aisle 1	Location 36
3	Aisle 16	Location 21
4	Aisle 1	Location 44
5	Aisle 6	Location 26
6	Aisle 12	Location 12
7	Aisle 6	Location 0
8	Aisle 0	Location 31
9	Aisle 1	Location 11
10	Aisle 11	Location 28
11	Aisle 1	Location 28
12	Aisle 7	Location 15
13	Aisle 0	Location 39
14	Aisle 1	Location 26
15	Aisle 10	Location 30
16	Aisle 1	Location 13
17	Aisle 9	Location 25
18	Aisle 18	Location 2
Order 3	number of articles 23
0	Aisle 15	Location 1
1	Aisle 19	Location 9
2	Aisle 14	Location 43
3	Aisle 0	Location 2
4	Aisle 1	Location 11
5	Aisle 0	Location 23
6	Aisle 17	Location 1
7	Aisle 0	Location 13
8	Aisle 19	Location 33
9	Aisle 11	Location 18
10	Aisle 0	Location 10
11	Aisle 0	Location 14
12	Aisle 1	Location 31
13	Aisle 10	Location 2
14	Aisle 0	Location 26
15	Aisle 15	Location 30
16	Aisle 0	Location 32
17	Aisle 1	Location 6
18	Aisle 17	Location 4
19	Aisle 1	Location 38
20	Aisle 7	Location 15
21	Aisle 0	Location 16
22	Aisle 13	Location 39
Order 4	number of articles 15
0	Aisle 1	Location 28
1	Aisle 1	Location 12
2	Aisle 1	Location 18
3	Aisle 0	Location 26
4	Aisle 0	Location 8
5	Aisle 0	Location 41
6	Aisle 10	Location 28
7	Aisle 0	Location 18
8	Aisle 17	Location 3
9	Aisle 15	Location 41
10	Aisle 0	Location 13
11	Aisle 0	Location 39
12	Aisle 6	Location 35
13	Aisle 0	Location 30
14	Aisle 12	Location 28
Order 5	number of articles 18
0	Aisle 0	Location 36
1	Aisle 1	Location 7
2	Aisle 10	Location 29
3	Aisle 0	Location 21
4	Aisle 9	Location 0
5	Aisle 1	Location 2
6	Aisle 18	Location 41
7	Aisle 17	Location 10
8	Aisle 1	Location 10
9	Aisle 0	Location 41
10	Aisle 6	Location 32
11	Aisle 11	Location 20
12	Aisle 1	Location 22
13	Aisle 1	Location 3
14	Aisle 11	Location 24
15	Aisle 8	Location 30
16	Aisle 19	Location 0
17	Aisle 0	Location 37
Order 6	number of articles 8
0	Aisle 19	Location 44
1	Aisle 0	Location 13
2	Aisle 17	Location 26
3	Aisle 0	Location 14
4	Aisle 1	Location 30
5	Aisle 6	Location 20
6	Aisle 6	Location 32
7	Aisle 0	Location 25
Order 7	number of articles 7
0	Aisle 10	Location 11
1	Aisle 0	Location 25
2	Aisle 7	Location 35
3	Aisle 0	Location 37
4	Aisle 19	Location 8
5	Aisle 1	Location 19
6	Aisle 6	Location 8
Order 8	number of articles 20
0	Aisle 1	Location 10
1	Aisle 0	Location 30
2	Aisle 1	Location 33
3	Aisle 0	Location 27
4	Aisle 1	Location 0
5	Aisle 10	Location 39
6	Aisle 17	Location 42
7	Aisle 9	Location 40
8	Aisle 19	Location 31
9	Aisle 19	Location 16
10	Aisle 9	Location 20
11	Aisle 13	Location 30
12	Aisle 16	Location 37
13	Aisle 0	Location 21
14	Aisle 9	Location 29
15	Aisle 0	Location 9
16	Aisle 0	Location 23
17	Aisle 1	Location 37
18	Aisle 11	Location 17
19	Aisle 0	Location 28
Order 9	number of articles 12
0	Aisle 1	Location 39
1	Aisle 7	Location 33
2	Aisle 0	Location 23
3	Aisle 1	Location 0
4	Aisle 1	Location 17
5	Aisle 13	Location 30
6	Aisle 9	Location 30
7	Aisle 0	Location 4
8	Aisle 15	Location 42
9	Aisle 13	Location 11
10	Aisle 17	Location 42
11	Aisle 8	Location 24
Order 10	number of articles 23
