Order 0	number of articles 8
0	Aisle 6	Location 27
1	Aisle 7	Location 31
2	Aisle 2	Location 40
3	Aisle 19	Location 17
4	Aisle 0	Location 6
5	Aisle 2	Location 12
6	Aisle 17	Location 37
7	Aisle 6	Location 24
Order 1	number of articles 21
0	Aisle 3	Location 23
1	Aisle 18	Location 40
2	Aisle 5	Location 21
3	Aisle 15	Location 19
4	Aisle 0	Location 23
5	Aisle 19	Location 15
6	Aisle 17	Location 22
7	Aisle 16	Location 0
8	Aisle 8	Location 19
9	Aisle 1	Location 43
10	Aisle 9	Location 21
11	Aisle 2	Location 4
12	Aisle 18	Location 25
13	Aisle 5	Location 6
14	Aisle 1	Location 26
15	Aisle 0	Location 34
16	Aisle 18	Location 21
17	Aisle 7	Location 42
18	Aisle 12	Location 36
19	Aisle 16	Location 10
20	Aisle 16	Location 42
Order 2	number of articles 20
0	Aisle 17	Location 28
1	Aisle 1	Location 36
2	Aisle 18	Location 22
3	Aisle 13	Location 14
4	Aisle 3	Location 43
5	Aisle 0	Location 35
6	Aisle 9	Location 21
7	Aisle 6	Location 14
8	Aisle 12	Location 24
9	Aisle 18	Location 17
10	Aisle 8	Location 18
11	Aisle 9	Location 14
12	Aisle 12	Location 4
13	Aisle 17	Location 13
14	Aisle 6	Location 41
15	Aisle 6	Location 10
16	Aisle 19	Location 13
17	Aisle 11	Location 21
18	Aisle 8	Location 10
19	Aisle 3	Location 19
Order 3	number of articles 15
0	Aisle 12	Location 5
1	Aisle 7	Location 3
2	Aisle 2	Location 40
3	Aisle 3	Location 22
4	Aisle 19	Location 34
5	Aisle 11	Location 20
6	Aisle 14	Location 11
7	Aisle 19	Location 28
8	Aisle 15	Location 43
9	Aisle 19	Location 38
10	Aisle 5	Location 31
11	Aisle 12	Location 34
12	Aisle 10	Location 20
13	Aisle 17	Location 33
14	Aisle 9	Location 11
Order 4	number of articles 10
0	Aisle 7	Location 6
1	Aisle 10	Location 2
2	Aisle 8	Location 38
3	Aisle 6	Location 19
4	Aisle 11	Location 18
5	Aisle 2	Location 35
6	Aisle 15	Location 5
7	Aisle 4	Location 37
8	Aisle 15	Location 25
9	Aisle 16	Location 20
Order 5	number of articles 9
0	Aisle 18	Location 26
1	Aisle 9	Location 40
2	Aisle 11	Location 29
3	Aisle 1	Location 14
4	Aisle 14	Location 4
5	Aisle 15	Location 8
6	Aisle 2	Location 37
7	Aisle 7	Location 42
8	Aisle 9	Location 30
Order 6	number of articles 20
0	Aisle 0	Location 9
1	Aisle 12	Location 42
2	Aisle 13	Location 29
3	Aisle 1	Location 27
4	Aisle 11	Location 19
5	Aisle 3	Location 3
6	Aisle 4	Location 33
7	Aisle 13	Location 22
8	Aisle 1	Location 33
9	Aisle 17	Location 24
10	Aisle 1	Location 1
11	Aisle 9	Location 18
12	Aisle 4	Location 7
13	Aisle 14	Location 38
14	Aisle 11	Location 14
15	Aisle 10	Location 29
16	Aisle 17	Location 2
17	Aisle 0	Location 7
18	Aisle 8	Location 5
19	Aisle 7	Location 24
Order 7	number of articles 12
0	Aisle 14	Location 5
1	Aisle 19	Location 6
2	Aisle 6	Location 37
3	Aisle 19	Location 23
4	Aisle 18	Location 44
5	Aisle 15	Location 35
6	Aisle 15	Location 9
7	Aisle 2	Location 35
8	Aisle 13	Location 30
9	Aisle 3	Location 17
10	Aisle 12	Location 14
11	Aisle 16	Location 35
Order 8	number of articles 19
0	Aisle 13	Location 30
1	Aisle 17	Location 43
2	Aisle 17	Location 26
3	Aisle 8	Location 13
4	Aisle 6	Location 22
5	Aisle 12	Location 9
6	Aisle 8	Location 15
7	Aisle 19	Location 22
8	Aisle 10	Location 5
9	Aisle 6	Location 18
10	Aisle 15	Location 40
11	Aisle 12	Location 38
12	Aisle 8	Location 40
13	Aisle 0	Location 1
14	Aisle 16	Location 11
15	Aisle 12	Location 24
16	Aisle 7	Location 35
17	Aisle 1	Location 1
18	Aisle 14	Location 24
Order 9	number of articles 7
0	Aisle 7	Location 27
1	Aisle 10	Location 14
2	Aisle 7	Location 31
3	Aisle 3	Location 27
4	Aisle 1	Location 19
5	Aisle 13	Location 40
6	Aisle 1	Location 6
Order 10	number of articles 7
0	Aisle 2	Location 29
1	Aisle 2	Location 18
2	Aisle 0	Location 16
3	Aisle 4	Location 7
4	Aisle 18	Location 42
5	Aisle 12	Location 12
6	Aisle 6	Location 35
Order 11	number of articles 7
0	Aisle 6	Location 5
1	Aisle 11	Location 43
2	Aisle 16	Location 6
3	Aisle 10	Location 31
4	Aisle 18	Location 26
5	Aisle 6	Location 31
6	Aisle 14	Location 3
Order 12	number of articles 20
0	Aisle 17	Location 3
1	Aisle 10	Location 4
2	Aisle 2	Location 1
3	Aisle 4	Location 26
4	Aisle 4	Location 2
5	Aisle 17	Location 11
6	Aisle 3	Location 35
7	Aisle 11	Location 42
8	Aisle 0	Location 4
9	Aisle 14	Location 30
10	Aisle 5	Location 41
11	Aisle 19	Location 33
12	Aisle 11	Location 29
13	Aisle 17	Location 0
14	Aisle 8	Location 13
15	Aisle 17	Location 12
16	Aisle 16	Location 37
17	Aisle 6	Location 17
18	Aisle 1	Location 17
19	Aisle 17	Location 44
Order 13	number of articles 15
0	Aisle 10	Location 30
1	Aisle 1	Location 28
2	Aisle 1	Location 20
3	Aisle 3	Location 11
4	Aisle 6	Location 40
5	Aisle 15	Location 12
6	Aisle 0	Location 7
7	Aisle 6	Location 5
8	Aisle 15	Location 37
9	Aisle 17	Location 18
10	Aisle 13	Location 26
11	Aisle 9	Location 32
12	Aisle 9	Location 5
13	Aisle 15	Location 24
14	Aisle 0	Location 22
Order 14	number of articles 11
0	Aisle 14	Location 21
1	Aisle 14	Location 2
2	Aisle 3	Location 1
3	Aisle 3	Location 3
4	Aisle 15	Location 32
5	Aisle 4	Location 13
6	Aisle 5	Location 7
7	Aisle 3	Location 20
8	Aisle 14	Location 41
9	Aisle 7	Location 15
10	Aisle 0	Location 43
Order 15	number of articles 7
0	Aisle 13	Location 13
1	Aisle 19	Location 12
2	Aisle 16	Location 34
3	Aisle 16	Location 41
4	Aisle 19	Location 7
5	Aisle 5	Location 1
6	Aisle 6	Location 29
Order 16	number of articles 13
0	Aisle 8	Location 12
1	Aisle 2	Location 20
2	Aisle 11	Location 12
3	Aisle 14	Location 31
4	Aisle 2	Location 12
5	Aisle 15	Location 32
6	Aisle 2	Location 39
7	Aisle 15	Location 44
8	Aisle 3	Location 37
9	Aisle 15	Location 23
10	Aisle 10	Location 19
11	Aisle 4	Location 44
12	Aisle 0	Location 10
Order 17	number of articles 5
0	Aisle 13	Location 32
1	Aisle 10	Location 14
2	Aisle 10	Location 17
3	Aisle 2	Location 44
4	Aisle 2	Location 9
Order 18	number of articles 21
0	Aisle 2	Location 27
1	Aisle 0	Location 43
2	Aisle 2	Location 33
3	Aisle 16	Location 2
4	Aisle 7	Location 38
5	Aisle 10	Location 17
6	Aisle 14	Location 37
7	Aisle 18	Location 5
8	Aisle 6	Location 8
9	Aisle 10	Location 37
10	Aisle 3	Location 17
11	Aisle 11	Location 39
12	Aisle 5	Location 30
13	Aisle 5	Location 22
14	Aisle 1	Location 36
15	Aisle 18	Location 28
16	Aisle 5	Location 3
17	Aisle 15	Location 2
18	Aisle 17	Location 23
19	Aisle 6	Location 22
20	Aisle 12	Location 10
Order 19	number of articles 5
0	Aisle 8	Location 40
1	Aisle 19	Location 29
2	Aisle 0	Location 1
3	Aisle 5	Location 16
4	Aisle 11	Location 4
Order 20	number of articles 5
0	Aisle 16	Location 43
1	Aisle 15	Location 41
2	Aisle 4	Location 34
3	Aisle 6	Location 17
4	Aisle 6	Location 1
Order 21	number of articles 21
0	Aisle 11	Location 3
1	Aisle 15	Location 42
2	Aisle 15	Location 12
3	Aisle 2	Location 35
4	Aisle 14	Location 12
5	Aisle 13	Location 2
6	Aisle 2	Location 40
7	Aisle 5	Location 32
8	Aisle 14	Location 28
9	Aisle 4	Location 20
10	Aisle 18	Location 15
11	Aisle 17	Location 14
12	Aisle 16	Location 35
13	Aisle 1	Location 29
14	Aisle 0	Location 11
15	Aisle 1	Location 15
16	Aisle 13	Location 5
17	Aisle 12	Location 18
18	Aisle 3	Location 31
19	Aisle 2	Location 41
20	Aisle 13	Location 16
Order 22	number of articles 18
0	Aisle 6	Location 9
1	Aisle 0	Location 7
2	Aisle 1	Location 34
3	Aisle 2	Location 38
4	Aisle 16	Location 29
5	Aisle 17	Location 33
6	Aisle 4	Location 6
7	Aisle 4	Location 1
8	Aisle 0	Location 41
9	Aisle 1	Location 37
10	Aisle 2	Location 7
11	Aisle 2	Location 26
12	Aisle 15	Location 8
13	Aisle 6	Location 7
14	Aisle 12	Location 23
15	Aisle 2	Location 30
16	Aisle 10	Location 40
17	Aisle 18	Location 2
Order 23	number of articles 6
0	Aisle 1	Location 18
1	Aisle 10	Location 27
2	Aisle 4	Location 44
3	Aisle 12	Location 27
4	Aisle 6	Location 10
5	Aisle 11	Location 13
Order 24	number of articles 7
0	Aisle 0	Location 5
1	Aisle 14	Location 27
2	Aisle 19	Location 5
3	Aisle 10	Location 24
4	Aisle 0	Location 44
5	Aisle 18	Location 34
6	Aisle 11	Location 6
Order 25	number of articles 10
0	Aisle 6	Location 39
1	Aisle 2	Location 29
2	Aisle 18	Location 6
3	Aisle 0	Location 2
4	Aisle 17	Location 37
5	Aisle 11	Location 14
6	Aisle 10	Location 32
7	Aisle 6	Location 24
8	Aisle 9	Location 22
9	Aisle 4	Location 0
Order 26	number of articles 5
0	Aisle 4	Location 41
1	Aisle 18	Location 4
2	Aisle 7	Location 43
3	Aisle 14	Location 17
4	Aisle 0	Location 27
Order 27	number of articles 17
0	Aisle 19	Location 24
1	Aisle 16	Location 21
2	Aisle 6	Location 20
3	Aisle 1	Location 2
4	Aisle 11	Location 1
5	Aisle 3	Location 38
6	Aisle 0	Location 4
7	Aisle 1	Location 14
8	Aisle 12	Location 28
9	Aisle 19	Location 10
10	Aisle 6	Location 10
11	Aisle 11	Location 0
12	Aisle 11	Location 5
13	Aisle 7	Location 39
14	Aisle 9	Location 34
15	Aisle 9	Location 18
16	Aisle 2	Location 9
Order 28	number of articles 6
0	Aisle 11	Location 20
1	Aisle 12	Location 19
2	Aisle 2	Location 38
3	Aisle 11	Location 36
4	Aisle 0	Location 33
5	Aisle 16	Location 14
Order 29	number of articles 20
0	Aisle 6	Location 18
1	Aisle 15	Location 43
2	Aisle 9	Location 11
3	Aisle 5	Location 29
4	Aisle 6	Location 2
5	Aisle 14	Location 26
6	Aisle 13	Location 42
7	Aisle 3	Location 20
8	Aisle 15	Location 34
9	Aisle 10	Location 10
10	Aisle 5	Location 41
11	Aisle 19	Location 41
12	Aisle 12	Location 19
13	Aisle 13	Location 32
14	Aisle 15	Location 0
15	Aisle 8	Location 34
16	Aisle 13	Location 13
17	Aisle 6	Location 40
