Order 0	number of articles 6
0	Aisle 0	Location 0
1	Aisle 1	Location 13
2	Aisle 0	Location 37
3	Aisle 1	Location 18
4	Aisle 9	Location 39
5	Aisle 12	Location 11
Order 1	number of articles 22
0	Aisle 0	Location 18
1	Aisle 6	Location 23
2	Aisle 1	Location 35
3	Aisle 9	Location 29
4	Aisle 19	Location 21
5	Aisle 0	Location 35
6	Aisle 7	Location 16
7	Aisle 7	Location 14
8	Aisle 14	Location 13
9	Aisle 11	Location 21
10	Aisle 15	Location 11
11	Aisle 1	Location 40
12	Aisle 10	Location 29
13	Aisle 1	Location 4
14	Aisle 1	Location 10
15	Aisle 9	Location 31
16	Aisle 18	Location 30
17	Aisle 1	Location 33
18	Aisle 0	Location 27
19	Aisle 8	Location 10
20	Aisle 15	Location 19
21	Aisle 16	Location 26
Order 2	number of articles 14
0	Aisle 0	Location 27
1	Aisle 9	Location 18
2	Aisle 17	Location 7
3	Aisle 13	Location 20
4	Aisle 9	Location 26
5	Aisle 1	Location 40
6	Aisle 0	Location 39
7	Aisle 0	Location 40
8	Aisle 19	Location 41
9	Aisle 8	Location 26
10	Aisle 19	Location 2
11	Aisle 18	Location 41
12	Aisle 0	Location 44
13	Aisle 15	Location 0
Order 3	number of articles 20
0	Aisle 0	Location 20
1	Aisle 0	Location 21
2	Aisle 16	Location 18
3	Aisle 1	Location 5
4	Aisle 8	Location 40
5	Aisle 8	Location 22
6	Aisle 1	Location 32
7	Aisle 6	Location 29
8	Aisle 18	Location 29
9	Aisle 0	Location 7
10	Aisle 9	Location 41
11	Aisle 1	Location 25
12	Aisle 1	Location 26
13	Aisle 0	Location 3
14	Aisle 1	Location 1
15	Aisle 7	Location 27
16	Aisle 17	Location 27
17	Aisle 1	Location 27
18	Aisle 0	Location 43
19	Aisle 1	Location 38
Order 4	number of articles 20
0	Aisle 0	Location 4
1	Aisle 1	Location 3
2	Aisle 16	Location 28
3	Aisle 0	Location 10
4	Aisle 19	Location 19
5	Aisle 16	Location 5
6	Aisle 17	Location 2
7	Aisle 10	Location 29
8	Aisle 1	Location 36
9	Aisle 10	Location 19
10	Aisle 0	Location 39
11	Aisle 1	Location 44
12	Aisle 0	Location 13
13	Aisle 0	Location 33
14	Aisle 0	Location 25
15	Aisle 1	Location 9
16	Aisle 1	Location 17
17	Aisle 0	Location 31
18	Aisle 1	Location 42
19	Aisle 15	Location 18
Order 5	number of articles 12
0	Aisle 1	Location 8
1	Aisle 1	Location 44
2	Aisle 7	Location 8
3	Aisle 9	Location 30
4	Aisle 13	Location 39
5	Aisle 0	Location 4
6	Aisle 11	Location 16
7	Aisle 6	Location 41
8	Aisle 13	Location 44
9	Aisle 0	Location 15
10	Aisle 9	Location 2
11	Aisle 13	Location 42
Order 6	number of articles 15
0	Aisle 17	Location 3
1	Aisle 0	Location 6
2	Aisle 18	Location 36
3	Aisle 16	Location 9
4	Aisle 8	Location 14
5	Aisle 15	Location 35
6	Aisle 8	Location 34
7	Aisle 19	Location 16
8	Aisle 6	Location 29
9	Aisle 1	Location 0
10	Aisle 1	Location 6
11	Aisle 16	Location 20
12	Aisle 6	Location 7
13	Aisle 0	Location 17
14	Aisle 18	Location 44
Order 7	number of articles 6
0	Aisle 0	Location 0
1	Aisle 8	Location 40
2	Aisle 6	Location 10
3	Aisle 1	Location 38
4	Aisle 12	Location 43
5	Aisle 11	Location 42
Order 8	number of articles 13
0	Aisle 15	Location 0
1	Aisle 0	Location 27
2	Aisle 7	Location 24
3	Aisle 12	Location 17
4	Aisle 14	Location 6
5	Aisle 14	Location 19
6	Aisle 0	Location 44
7	Aisle 15	Location 1
8	Aisle 12	Location 20
9	Aisle 1	Location 23
10	Aisle 16	Location 23
11	Aisle 1	Location 10
12	Aisle 14	Location 32
Order 9	number of articles 9
0	Aisle 16	Location 40
1	Aisle 6	Location 1
2	Aisle 7	Location 21
3	Aisle 11	Location 19
4	Aisle 1	Location 1
5	Aisle 10	Location 9
6	Aisle 0	Location 2
7	Aisle 1	Location 20
8	Aisle 1	Location 15
Order 10	number of articles 22
0	Aisle 7	Location 8
1	Aisle 11	Location 2
2	Aisle 1	Location 19
3	Aisle 0	Location 2
4	Aisle 7	Location 27
5	Aisle 0	Location 40
6	Aisle 0	Location 26
7	Aisle 12	Location 31
8	Aisle 14	Location 7
9	Aisle 7	Location 2
10	Aisle 0	Location 7
11	Aisle 18	Location 39
12	Aisle 0	Location 31
13	Aisle 1	Location 2
14	Aisle 10	Location 9
15	Aisle 0	Location 1
16	Aisle 16	Location 35
17	Aisle 7	Location 39
18	Aisle 1	Location 36
19	Aisle 18	Location 40
20	Aisle 14	Location 33
21	Aisle 10	Location 25
Order 11	number of articles 8
0	Aisle 10	Location 32
1	Aisle 1	Location 22
2	Aisle 0	Location 4
3	Aisle 0	Location 41
4	Aisle 0	Location 16
5	Aisle 11	Location 32
6	Aisle 10	Location 6
7	Aisle 15	Location 44
Order 12	number of articles 5
0	Aisle 18	Location 15
1	Aisle 13	Location 36
2	Aisle 13	Location 22
3	Aisle 11	Location 17
4	Aisle 1	Location 39
Order 13	number of articles 14
0	Aisle 1	Location 11
1	Aisle 0	Location 10
2	Aisle 0	Location 11
3	Aisle 0	Location 31
4	Aisle 0	Location 29
5	Aisle 1	Location 13
6	Aisle 12	Location 23
7	Aisle 0	Location 3
8	Aisle 13	Location 24
9	Aisle 0	Location 16
10	Aisle 0	Location 42
11	Aisle 1	Location 40
12	Aisle 15	Location 13
13	Aisle 8	Location 24
Order 14	number of articles 8
0	Aisle 6	Location 11
1	Aisle 0	Location 24
2	Aisle 0	Location 5
3	Aisle 17	Location 11
4	Aisle 0	Location 0
5	Aisle 10	Location 32
6	Aisle 7	Location 22
7	Aisle 1	Location 38
Order 15	number of articles 13
0	Aisle 13	Location 19
1	Aisle 1	Location 41
2	Aisle 8	Location 26
3	Aisle 0	Location 9
4	Aisle 0	Location 21
5	Aisle 17	Location 2
6	Aisle 14	Location 27
7	Aisle 12	Location 33
8	Aisle 0	Location 37
9	Aisle 1	Location 9
10	Aisle 1	Location 44
11	Aisle 0	Location 2
12	Aisle 0	Location 22
Order 16	number of articles 9
0	Aisle 13	Location 9
1	Aisle 0	Location 13
2	Aisle 1	Location 14
3	Aisle 11	Location 11
4	Aisle 19	Location 15
5	Aisle 8	Location 27
6	Aisle 0	Location 31
7	Aisle 17	Location 17
8	Aisle 1	Location 39
Order 17	number of articles 15
0	Aisle 6	Location 0
1	Aisle 0	Location 16
2	Aisle 9	Location 5
3	Aisle 15	Location 2
4	Aisle 0	Location 4
5	Aisle 10	Location 44
6	Aisle 0	Location 27
7	Aisle 15	Location 5
8	Aisle 13	Location 28
9	Aisle 18	Location 20
10	Aisle 1	Location 36
11	Aisle 1	Location 4
12	Aisle 1	Location 38
13	Aisle 0	Location 34
14	Aisle 0	Location 3
Order 18	number of articles 20
0	Aisle 11	Location 0
1	Aisle 11	Location 14
2	Aisle 17	Location 23
3	Aisle 19	Location 33
4	Aisle 0	Location 1
5	Aisle 15	Location 32
6	Aisle 17	Location 27
7	Aisle 10	Location 33
8	Aisle 0	Location 33
9	Aisle 14	Location 18
10	Aisle 11	Location 22
11	Aisle 7	Location 21
12	Aisle 12	Location 18
13	Aisle 19	Location 12
14	Aisle 0	Location 21
15	Aisle 18	Location 24
16	Aisle 12	Location 10
17	Aisle 0	Location 7
18	Aisle 6	Location 39
19	Aisle 0	Location 27
Order 19	number of articles 22
0	Aisle 17	Location 27
1	Aisle 0	Location 13
2	Aisle 0	Location 38
3	Aisle 8	Location 30
4	Aisle 1	Location 0
5	Aisle 0	Location 42
6	Aisle 18	Location 17
7	Aisle 1	Location 36
8	Aisle 0	Location 19
9	Aisle 1	Location 10
10	Aisle 0	Location 17
11	Aisle 19	Location 28
12	Aisle 19	Location 11
13	Aisle 0	Location 27
14	Aisle 13	Location 14
15	Aisle 17	Location 3
16	Aisle 1	Location 34
17	Aisle 0	Location 15
18	Aisle 18	Location 5
19	Aisle 0	Location 39
20	Aisle 6	Location 22
21	Aisle 0	Location 3
Order 20	number of articles 21
0	Aisle 8	Location 26
1	Aisle 18	Location 20
2	Aisle 13	Location 39
3	Aisle 6	Location 6
4	Aisle 19	Location 1
5	Aisle 1	Location 13
6	Aisle 19	Location 20
7	Aisle 7	Location 8
8	Aisle 0	Location 18
9	Aisle 15	Location 19
10	Aisle 10	Location 29
11	Aisle 0	Location 4
12	Aisle 0	Location 21
13	Aisle 0	Location 11
14	Aisle 11	Location 12
15	Aisle 12	Location 19
16	Aisle 10	Location 34
17	Aisle 15	Location 33
18	Aisle 12	Location 1
19	Aisle 18	Location 11
20	Aisle 1	Location 17
Order 21	number of articles 22
0	Aisle 15	Location 30
1	Aisle 1	Location 30
2	Aisle 1	Location 1
3	Aisle 17	Location 4
4	Aisle 1	Location 29
5	Aisle 13	Location 25
6	Aisle 1	Location 11
7	Aisle 10	Location 12
8	Aisle 16	Location 2
9	Aisle 12	Location 9
10	Aisle 19	Location 30
11	Aisle 11	Location 22
12	Aisle 1	Location 20
13	Aisle 1	Location 16
14	Aisle 1	Location 0
15	Aisle 0	Location 36
16	Aisle 1	Location 28
17	Aisle 1	Location 13
18	Aisle 0	Location 41
19	Aisle 1	Location 40
20	Aisle 0	Location 15
21	Aisle 14	Location 7
Order 22	number of articles 14
