Order 0	number of articles 8
0	Aisle 12	Location 36
1	Aisle 3	Location 20
2	Aisle 9	Location 7
3	Aisle 1	Location 6
4	Aisle 9	Location 0
5	Aisle 17	Location 17
6	Aisle 9	Location 40
7	Aisle 14	Location 42
Order 1	number of articles 8
0	Aisle 2	Location 34
1	Aisle 11	Location 10
2	Aisle 13	Location 18
3	Aisle 5	Location 27
4	Aisle 1	Location 2
5	Aisle 8	Location 20
6	Aisle 1	Location 41
7	Aisle 18	Location 37
Order 2	number of articles 9
0	Aisle 7	Location 17
1	Aisle 18	Location 38
2	Aisle 9	Location 17
3	Aisle 13	Location 20
4	Aisle 0	Location 27
5	Aisle 8	Location 37
6	Aisle 17	Location 2
7	Aisle 15	Location 22
8	Aisle 2	Location 18
Order 3	number of articles 17
0	Aisle 11	Location 43
1	Aisle 8	Location 12
2	Aisle 2	Location 30
3	Aisle 18	Location 15
4	Aisle 19	Location 35
5	Aisle 2	Location 44
6	Aisle 13	Location 41
7	Aisle 5	Location 12
8	Aisle 8	Location 35
9	Aisle 10	Location 17
10	Aisle 9	Location 21
11	Aisle 16	Location 22
12	Aisle 3	Location 4
13	Aisle 18	Location 34
14	Aisle 9	Location 28
15	Aisle 17	Location 2
16	Aisle 16	Location 29
Order 4	number of articles 20
0	Aisle 15	Location 5
1	Aisle 0	Location 32
2	Aisle 7	Location 21
3	Aisle 4	Location 27
4	Aisle 17	Location 35
5	Aisle 12	Location 2
6	Aisle 1	Location 5
7	Aisle 6	Location 13
8	Aisle 3	Location 10
9	Aisle 17	Location 7
10	Aisle 13	Location 23
11	Aisle 18	Location 15
12	Aisle 13	Location 38
13	Aisle 5	Location 23
14	Aisle 14	Location 7
15	Aisle 0	Location 18
16	Aisle 14	Location 39
17	Aisle 15	Location 14
18	Aisle 11	Location 44
19	Aisle 19	Location 27
Order 5	number of articles 12
0	Aisle 12	Location 7
1	Aisle 0	Location 29
2	Aisle 14	Location 28
3	Aisle 7	Location 5
4	Aisle 4	Location 44
5	Aisle 17	Location 39
6	Aisle 19	Location 7
7	Aisle 1	Location 10
8	Aisle 10	Location 35
9	Aisle 13	Location 28
10	Aisle 16	Location 38
11	Aisle 8	Location 10
Order 6	number of articles 6
0	Aisle 11	Location 0
1	Aisle 0	Location 40
2	Aisle 8	Location 20
3	Aisle 19	Location 42
4	Aisle 6	Location 2
5	Aisle 12	Location 12
Order 7	number of articles 14
0	Aisle 17	Location 27
1	Aisle 10	Location 34
2	Aisle 2	Location 38
3	Aisle 14	Location 18
4	Aisle 6	Location 16
5	Aisle 15	Location 44
6	Aisle 18	Location 16
7	Aisle 5	Location 26
8	Aisle 3	Location 9
9	Aisle 12	Location 43
10	Aisle 18	Location 44
11	Aisle 11	Location 8
12	Aisle 18	Location 28
13	Aisle 9	Location 2
Order 8	number of articles 23
0	Aisle 18	Location 38
1	Aisle 0	Location 20
2	Aisle 13	Location 0
3	Aisle 13	Location 10
4	Aisle 17	Location 36
5	Aisle 4	Location 43
6	Aisle 12	Location 14
7	Aisle 16	Location 12
8	Aisle 8	Location 31
9	Aisle 6	Location 18
10	Aisle 5	Location 8
11	Aisle 0	Location 24
12	Aisle 0	Location 37
13	Aisle 16	Location 31
14	Aisle 18	Location 27
15	Aisle 7	Location 24
16	Aisle 11	Location 34
17	Aisle 3	Location 26
18	Aisle 5	Location 39
19	Aisle 17	Location 18
20	Aisle 17	Location 14
21	Aisle 13	Location 28
22	Aisle 11	Location 4
Order 9	number of articles 20
0	Aisle 10	Location 13
1	Aisle 4	Location 30
2	Aisle 11	Location 5
3	Aisle 9	Location 26
4	Aisle 14	Location 30
5	Aisle 11	Location 21
6	Aisle 7	Location 19
7	Aisle 1	Location 36
8	Aisle 12	Location 22
9	Aisle 4	Location 24
10	Aisle 2	Location 4
11	Aisle 4	Location 17
12	Aisle 0	Location 14
13	Aisle 3	Location 25
14	Aisle 15	Location 24
15	Aisle 19	Location 41
16	Aisle 18	Location 39
17	Aisle 15	Location 7
18	Aisle 5	Location 6
19	Aisle 4	Location 3
Order 10	number of articles 14
0	Aisle 9	Location 40
1	Aisle 3	Location 34
2	Aisle 9	Location 41
3	Aisle 15	Location 25
4	Aisle 1	Location 37
5	Aisle 18	Location 37
6	Aisle 12	Location 15
7	Aisle 17	Location 34
8	Aisle 1	Location 11
9	Aisle 2	Location 41
10	Aisle 10	Location 19
11	Aisle 3	Location 38
12	Aisle 17	Location 14
13	Aisle 2	Location 0
Order 11	number of articles 13
0	Aisle 8	Location 37
1	Aisle 9	Location 8
2	Aisle 4	Location 40
3	Aisle 12	Location 7
4	Aisle 10	Location 22
5	Aisle 19	Location 39
6	Aisle 8	Location 13
7	Aisle 17	Location 26
8	Aisle 8	Location 28
9	Aisle 15	Location 22
10	Aisle 2	Location 33
11	Aisle 17	Location 30
12	Aisle 11	Location 0
Order 12	number of articles 22
0	Aisle 13	Location 4
1	Aisle 16	Location 10
2	Aisle 5	Location 36
3	Aisle 10	Location 4
4	Aisle 16	Location 13
5	Aisle 5	Location 44
6	Aisle 0	Location 5
7	Aisle 18	Location 32
8	Aisle 13	Location 30
9	Aisle 11	Location 21
10	Aisle 5	Location 39
11	Aisle 1	Location 12
12	Aisle 13	Location 6
13	Aisle 6	Location 8
14	Aisle 17	Location 21
15	Aisle 9	Location 42
16	Aisle 15	Location 23
17	Aisle 17	Location 9
18	Aisle 10	Location 12
19	Aisle 14	Location 35
20	Aisle 16	Location 30
21	Aisle 19	Location 20
Order 13	number of articles 14
0	Aisle 17	Location 38
1	Aisle 16	Location 9
2	Aisle 2	Location 17
3	Aisle 2	Location 24
4	Aisle 15	Location 9
5	Aisle 1	Location 16
6	Aisle 4	Location 7
7	Aisle 3	Location 22
8	Aisle 12	Location 32
9	Aisle 3	Location 9
10	Aisle 4	Location 22
11	Aisle 2	Location 0
12	Aisle 2	Location 44
13	Aisle 4	Location 8
Order 14	number of articles 12
0	Aisle 4	Location 21
1	Aisle 1	Location 25
2	Aisle 19	Location 4
3	Aisle 0	Location 32
4	Aisle 14	Location 14
5	Aisle 11	Location 28
6	Aisle 18	Location 34
7	Aisle 13	Location 17
8	Aisle 5	Location 24
9	Aisle 7	Location 11
10	Aisle 16	Location 43
11	Aisle 7	Location 17
Order 15	number of articles 16
0	Aisle 19	Location 37
1	Aisle 1	Location 43
2	Aisle 18	Location 16
3	Aisle 2	Location 21
4	Aisle 12	Location 29
5	Aisle 9	Location 16
6	Aisle 0	Location 43
7	Aisle 0	Location 0
8	Aisle 15	Location 17
9	Aisle 8	Location 23
10	Aisle 17	Location 15
11	Aisle 2	Location 14
12	Aisle 4	Location 43
13	Aisle 5	Location 27
14	Aisle 12	Location 40
15	Aisle 15	Location 8
Order 16	number of articles 6
0	Aisle 7	Location 41
1	Aisle 7	Location 42
2	Aisle 16	Location 18
3	Aisle 13	Location 6
4	Aisle 17	Location 3
5	Aisle 8	Location 35
Order 17	number of articles 7
0	Aisle 8	Location 40
1	Aisle 18	Location 25
2	Aisle 7	Location 38
3	Aisle 7	Location 32
4	Aisle 10	Location 17
5	Aisle 19	Location 26
6	Aisle 13	Location 31
Order 18	number of articles 5
0	Aisle 2	Location 7
1	Aisle 9	Location 31
2	Aisle 8	Location 20
3	Aisle 5	Location 21
4	Aisle 15	Location 42
Order 19	number of articles 23
0	Aisle 0	Location 29
1	Aisle 13	Location 31
2	Aisle 7	Location 15
3	Aisle 7	Location 3
4	Aisle 5	Location 14
5	Aisle 1	Location 4
6	Aisle 19	Location 37
7	Aisle 19	Location 3
8	Aisle 10	Location 20
9	Aisle 16	Location 14
10	Aisle 1	Location 39
11	Aisle 3	Location 16
12	Aisle 15	Location 19
13	Aisle 13	Location 39
14	Aisle 11	Location 15
15	Aisle 5	Location 38
16	Aisle 4	Location 17
17	Aisle 1	Location 37
18	Aisle 1	Location 8
19	Aisle 3	Location 40
20	Aisle 9	Location 21
21	Aisle 11	Location 21
22	Aisle 6	Location 16
Order 20	number of articles 16
0	Aisle 17	Location 40
1	Aisle 12	Location 25
2	Aisle 8	Location 19
3	Aisle 14	Location 24
4	Aisle 16	Location 0
5	Aisle 9	Location 40
6	Aisle 15	Location 9
7	Aisle 16	Location 32
8	Aisle 19	Location 27
9	Aisle 18	Location 9
10	Aisle 17	Location 7
11	Aisle 13	Location 16
12	Aisle 12	Location 16
13	Aisle 2	Location 22
14	Aisle 4	Location 30
15	Aisle 7	Location 5
Order 21	number of articles 9
0	Aisle 16	Location 23
1	Aisle 13	Location 25
2	Aisle 16	Location 7
3	Aisle 18	Location 10
4	Aisle 3	Location 31
5	Aisle 6	Location 37
6	Aisle 7	Location 44
7	Aisle 3	Location 35
8	Aisle 11	Location 41
Order 22	number of articles 19
0	Aisle 18	Location 37
1	Aisle 7	Location 43
2	Aisle 1	Location 12
3	Aisle 19	Location 9
4	Aisle 3	Location 0
5	Aisle 17	Location 0
6	Aisle 11	Location 33
7	Aisle 12	Location 15
8	Aisle 1	Location 39
9	Aisle 19	Location 31
10	Aisle 10	Location 27
11	Aisle 3	Location 36
12	Aisle 8	Location 22
13	Aisle 17	Location 5
14	Aisle 13	Location 1
15	Aisle 10	Location 40
16	Aisle 12	Location 12
17	Aisle 15	Location 4
18	Aisle 11	Location 10
Order 23	number of articles 18
0	Aisle 12	Location 13
1	Aisle 3	Location 18
2	Aisle 1	Location 14
3	Aisle 6	Location 7
4	Aisle 2	Location 12
5	Aisle 3	Location 42
6	Aisle 12	Location 41
7	Aisle 1	Location 22
8	Aisle 2	Location 13
9	Aisle 3	Location 4
10	Aisle 1	Location 32
11	Aisle 17	Location 28
12	Aisle 1	Location 18
13	Aisle 5	Location 12
14	Aisle 5	Location 43
15	Aisle 13	Location 28
16	Aisle 17	Location 6
17	Aisle 10	Location 40
Order 24	number of articles 13
0	Aisle 9	Location 43
1	Aisle 18	Location 6
2	Aisle 0	Location 11
3	Aisle 15	Location 29
4	Aisle 2	Location 39
5	Aisle 6	Location 38
6	Aisle 4	Location 5
7	Aisle 16	Location 23
8	Aisle 1	Location 17
9	Aisle 14	Location 12
10	Aisle 4	Location 20
11	Aisle 8	Location 4
12	Aisle 13	Location 32
Order 25	number of articles 5
0	Aisle 17	Location 31
1	Aisle 12	Location 3
2	Aisle 18	Location 21
3	Aisle 5	Location 34
4	Aisle 8	Location 39
Order 26	number of articles 8
0	Aisle 17	Location 4
1	Aisle 17	Location 28
2	Aisle 6	Location 36
3	Aisle 10	Location 35
4	Aisle 4	Location 36
5	Aisle 11	Location 41
6	Aisle 6	Location 7
7	Aisle 13	Location 6
Order 27	number of articles 15
0	Aisle 12	Location 16
1	Aisle 15	Location 13
2	Aisle 13	Location 35
3	Aisle 13	Location 17
4	Aisle 7	Location 34
5	Aisle 10	Location 41
6	Aisle 2	Location 27
7	Aisle 17	Location 21
8	Aisle 8	Location 27
9	Aisle 14	Location 39
10	Aisle 19	Location 0
11	Aisle 18	Location 21
12	Aisle 13	Location 2
13	Aisle 0	Location 7
14	Aisle 6	Location 27
Order 28	number of articles 20
0	Aisle 17	Location 33
1	Aisle 6	Location 29
2	Aisle 9	Location 31
3	Aisle 8	Location 9
4	Aisle 5	Location 30
