Order 0	number of articles 21
0	Aisle 8	Location 8
1	Aisle 9	Location 40
2	Aisle 9	Location 2
3	Aisle 2	Location 7
4	Aisle 6	Location 2
5	Aisle 0	Location 7
6	Aisle 3	Location 43
7	Aisle 9	Location 6
8	Aisle 0	Location 27
9	Aisle 14	Location 34
10	Aisle 14	Location 18
11	Aisle 4	Location 43
12	Aisle 14	Location 16
13	Aisle 16	Location 7
14	Aisle 7	Location 29
15	Aisle 4	Location 23
16	Aisle 2	Location 39
17	Aisle 6	Location 3
18	Aisle 14	Location 22
19	Aisle 6	Location 18
20	Aisle 15	Location 31
Order 1	number of articles 10
0	Aisle 7	Location 32
1	Aisle 9	Location 37
2	Aisle 7	Location 30
3	Aisle 13	Location 29
4	Aisle 1	Location 38
5	Aisle 15	Location 16
6	Aisle 7	Location 22
7	Aisle 15	Location 5
8	Aisle 11	Location 6
9	Aisle 6	Location 34
Order 2	number of articles 14
0	Aisle 15	Location 40
1	Aisle 5	Location 8
2	Aisle 0	Location 6
3	Aisle 18	Location 35
4	Aisle 15	Location 20
5	Aisle 13	Location 43
6	Aisle 14	Location 34
7	Aisle 12	Location 15
8	Aisle 17	Location 34
9	Aisle 6	Location 11
10	Aisle 16	Location 11
11	Aisle 12	Location 42
12	Aisle 2	Location 28
13	Aisle 4	Location 41
Order 3	number of articles 7
0	Aisle 0	Location 33
1	Aisle 8	Location 28
2	Aisle 9	Location 10
3	Aisle 16	Location 43
4	Aisle 12	Location 34
5	Aisle 8	Location 39
6	Aisle 7	Location 29
Order 4	number of articles 5
0	Aisle 5	Location 22
1	Aisle 2	Location 15
2	Aisle 2	Location 29
3	Aisle 17	Location 43
4	Aisle 11	Location 24
Order 5	number of articles 9
0	Aisle 0	Location 3
1	Aisle 3	Location 42
2	Aisle 12	Location 42
3	Aisle 5	Location 32
4	Aisle 16	Location 27
5	Aisle 3	Location 14
6	Aisle 19	Location 30
7	Aisle 0	Location 4
8	Aisle 13	Location 5
Order 6	number of articles 14
0	Aisle 15	Location 26
1	Aisle 11	Location 35
2	Aisle 5	Location 11
3	Aisle 7	Location 39
4	Aisle 7	Location 28
5	Aisle 9	Location 18
6	Aisle 3	Location 30
7	Aisle 1	Location 36
8	Aisle 5	Location 31
9	Aisle 16	Location 8
10	Aisle 15	Location 41
11	Aisle 13	Location 35
12	Aisle 10	Location 22
13	Aisle 10	Location 19
Order 7	number of articles 12
0	Aisle 16	Location 40
1	Aisle 6	Location 4
2	Aisle 8	Location 29
3	Aisle 7	Location 18
4	Aisle 16	Location 19
5	Aisle 14	Location 26
6	Aisle 3	Location 42
7	Aisle 6	Location 42
8	Aisle 1	Location 42
9	Aisle 4	Location 23
10	Aisle 10	Location 18
11	Aisle 18	Location 35
Order 8	number of articles 12
0	Aisle 5	Location 29
1	Aisle 11	Location 14
2	Aisle 5	Location 43
3	Aisle 4	Location 2
4	Aisle 10	Location 18
5	Aisle 19	Location 38
6	Aisle 17	Location 11
7	Aisle 4	Location 36
8	Aisle 14	Location 23
9	Aisle 1	Location 16
10	Aisle 13	Location 4
11	Aisle 18	Location 32
Order 9	number of articles 9
0	Aisle 18	Location 29
1	Aisle 14	Location 27
2	Aisle 0	Location 37
3	Aisle 3	Location 20
4	Aisle 10	Location 24
5	Aisle 2	Location 27
6	Aisle 18	Location 42
7	Aisle 4	Location 30
8	Aisle 15	Location 30
Order 10	number of articles 16
0	Aisle 9	Location 42
1	Aisle 15	Location 23
2	Aisle 1	Location 6
3	Aisle 16	Location 9
4	Aisle 3	Location 1
5	Aisle 2	Location 26
6	Aisle 14	Location 20
7	Aisle 4	Location 14
8	Aisle 4	Location 0
9	Aisle 12	Location 15
10	Aisle 17	Location 33
11	Aisle 12	Location 27
12	Aisle 15	Location 6
13	Aisle 15	Location 5
14	Aisle 3	Location 37
15	Aisle 3	Location 6
Order 11	number of articles 6
0	Aisle 8	Location 0
1	Aisle 10	Location 13
2	Aisle 19	Location 44
3	Aisle 3	Location 6
4	Aisle 3	Location 28
5	Aisle 16	Location 44
Order 12	number of articles 13
0	Aisle 9	Location 23
1	Aisle 6	Location 18
2	Aisle 15	Location 1
3	Aisle 15	Location 0
4	Aisle 16	Location 16
5	Aisle 3	Location 11
6	Aisle 0	Location 6
7	Aisle 11	Location 17
8	Aisle 17	Location 7
9	Aisle 19	Location 17
10	Aisle 13	Location 43
11	Aisle 9	Location 26
12	Aisle 1	Location 26
Order 13	number of articles 11
0	Aisle 0	Location 20
1	Aisle 1	Location 25
2	Aisle 13	Location 26
3	Aisle 5	Location 10
4	Aisle 4	Location 4
5	Aisle 15	Location 34
6	Aisle 17	Location 23
7	Aisle 18	Location 2
8	Aisle 2	Location 22
9	Aisle 2	Location 19
10	Aisle 2	Location 2
Order 14	number of articles 18
0	Aisle 6	Location 37
1	Aisle 6	Location 27
2	Aisle 18	Location 7
3	Aisle 7	Location 7
4	Aisle 14	Location 14
5	Aisle 0	Location 29
6	Aisle 15	Location 20
7	Aisle 16	Location 25
8	Aisle 14	Location 20
9	Aisle 18	Location 24
10	Aisle 1	Location 3
11	Aisle 10	Location 4
12	Aisle 8	Location 6
13	Aisle 15	Location 44
14	Aisle 8	Location 2
15	Aisle 3	Location 6
16	Aisle 9	Location 9
17	Aisle 1	Location 25
Order 15	number of articles 16
0	Aisle 11	Location 4
1	Aisle 8	Location 31
2	Aisle 9	Location 26
3	Aisle 17	Location 23
4	Aisle 12	Location 28
5	Aisle 10	Location 16
6	Aisle 16	Location 43
7	Aisle 2	Location 42
8	Aisle 7	Location 19
9	Aisle 12	Location 42
10	Aisle 16	Location 34
11	Aisle 14	Location 29
12	Aisle 0	Location 5
13	Aisle 4	Location 16
14	Aisle 12	Location 35
15	Aisle 12	Location 3
Order 16	number of articles 17
0	Aisle 0	Location 1
1	Aisle 13	Location 31
2	Aisle 19	Location 31
3	Aisle 5	Location 39
4	Aisle 5	Location 27
5	Aisle 19	Location 0
6	Aisle 16	Location 23
7	Aisle 13	Location 30
8	Aisle 6	Location 11
9	Aisle 15	Location 39
10	Aisle 10	Location 22
11	Aisle 4	Location 44
12	Aisle 16	Location 25
13	Aisle 9	Location 40
14	Aisle 16	Location 33
15	Aisle 8	Location 33
16	Aisle 7	Location 21
Order 17	number of articles 10
0	Aisle 1	Location 3
1	Aisle 1	Location 1
2	Aisle 4	Location 6
3	Aisle 19	Location 15
4	Aisle 0	Location 34
5	Aisle 4	Location 10
6	Aisle 3	Location 12
7	Aisle 7	Location 27
8	Aisle 1	Location 29
9	Aisle 7	Location 37
Order 18	number of articles 24
0	Aisle 3	Location 40
1	Aisle 14	Location 2
2	Aisle 3	Location 43
3	Aisle 0	Location 34
4	Aisle 8	Location 40
5	Aisle 12	Location 33
6	Aisle 17	Location 15
7	Aisle 8	Location 23
8	Aisle 14	Location 14
9	Aisle 1	Location 7
10	Aisle 0	Location 15
11	Aisle 1	Location 26
12	Aisle 18	Location 6
13	Aisle 7	Location 12
14	Aisle 5	Location 27
15	Aisle 11	Location 36
16	Aisle 17	Location 42
17	Aisle 0	Location 29
18	Aisle 8	Location 42
19	Aisle 9	Location 14
20	Aisle 17	Location 36
21	Aisle 16	Location 11
22	Aisle 2	Location 26
23	Aisle 3	Location 19
Order 19	number of articles 7
0	Aisle 8	Location 7
1	Aisle 1	Location 28
2	Aisle 19	Location 41
3	Aisle 11	Location 17
4	Aisle 5	Location 43
5	Aisle 16	Location 42
6	Aisle 11	Location 3
Order 20	number of articles 6
0	Aisle 7	Location 11
1	Aisle 16	Location 34
2	Aisle 9	Location 7
3	Aisle 19	Location 6
4	Aisle 18	Location 2
5	Aisle 2	Location 30
Order 21	number of articles 23
0	Aisle 15	Location 10
1	Aisle 10	Location 33
2	Aisle 16	Location 19
3	Aisle 9	Location 42
4	Aisle 19	Location 0
5	Aisle 11	Location 29
6	Aisle 16	Location 13
7	Aisle 1	Location 30
8	Aisle 4	Location 36
9	Aisle 15	Location 18
10	Aisle 10	Location 40
11	Aisle 6	Location 6
12	Aisle 10	Location 24
13	Aisle 8	Location 24
14	Aisle 15	Location 11
15	Aisle 11	Location 11
16	Aisle 8	Location 19
17	Aisle 0	Location 20
18	Aisle 10	Location 10
19	Aisle 4	Location 16
20	Aisle 0	Location 24
21	Aisle 5	Location 33
22	Aisle 11	Location 3
Order 22	number of articles 10
0	Aisle 10	Location 33
1	Aisle 3	Location 38
2	Aisle 5	Location 29
3	Aisle 2	Location 40
4	Aisle 7	Location 17
5	Aisle 6	Location 31
6	Aisle 18	Location 25
7	Aisle 2	Location 20
8	Aisle 8	Location 32
9	Aisle 0	Location 17
Order 23	number of articles 14
0	Aisle 5	Location 23
1	Aisle 15	Location 30
2	Aisle 11	Location 33
3	Aisle 1	Location 15
4	Aisle 15	Location 5
5	Aisle 10	Location 33
6	Aisle 1	Location 21
7	Aisle 2	Location 24
8	Aisle 18	Location 12
9	Aisle 0	Location 30
10	Aisle 3	Location 27
11	Aisle 19	Location 36
12	Aisle 19	Location 33
13	Aisle 4	Location 17
Order 24	number of articles 13
0	Aisle 13	Location 1
1	Aisle 11	Location 16
2	Aisle 13	Location 39
3	Aisle 17	Location 7
4	Aisle 1	Location 18
5	Aisle 3	Location 18
6	Aisle 14	Location 14
7	Aisle 4	Location 14
8	Aisle 3	Location 6
9	Aisle 0	Location 32
10	Aisle 9	Location 21
11	Aisle 1	Location 10
12	Aisle 2	Location 22
Order 25	number of articles 18
0	Aisle 2	Location 8
1	Aisle 13	Location 32
2	Aisle 11	Location 7
3	Aisle 9	Location 13
4	Aisle 13	Location 10
5	Aisle 12	Location 39
6	Aisle 6	Location 5
7	Aisle 14	Location 34
8	Aisle 17	Location 7
9	Aisle 18	Location 34
10	Aisle 1	Location 31
11	Aisle 10	Location 36
12	Aisle 1	Location 7
13	Aisle 2	Location 38
14	Aisle 12	Location 0
15	Aisle 8	Location 24
16	Aisle 15	Location 21
17	Aisle 18	Location 18
Order 26	number of articles 8
0	Aisle 3	Location 13
1	Aisle 13	Location 20
2	Aisle 2	Location 29
3	Aisle 16	Location 19
4	Aisle 15	Location 25
5	Aisle 4	Location 2
6	Aisle 10	Location 17
7	Aisle 9	Location 26
Order 27	number of articles 18
0	Aisle 8	Location 40
1	Aisle 19	Location 18
2	Aisle 0	Location 42
3	Aisle 5	Location 41
4	Aisle 8	Location 11
5	Aisle 6	Location 3
6	Aisle 19	Location 30
7	Aisle 14	Location 6
8	Aisle 17	Location 1
9	Aisle 0	Location 13
10	Aisle 9	Location 4
11	Aisle 1	Location 23
12	Aisle 19	Location 27
13	Aisle 5	Location 16
14	Aisle 14	Location 31
15	Aisle 2	Location 42
16	Aisle 3	Location 30
17	Aisle 2	Location 23
Order 28	number of articles 17
0	Aisle 8	Location 12
1	Aisle 11	Location 41
2	Aisle 2	Location 17
3	Aisle 2	Location 32
4	Aisle 14	Location 31
5	Aisle 16	Location 30
6	Aisle 11	Location 32
7	Aisle 14	Location 41
8	Aisle 15	Location 11
