Order 0	number of articles 6
0	Aisle 12	Location 1
1	Aisle 1	Location 16
2	Aisle 0	Location 32
3	Aisle 0	Location 31
4	Aisle 16	Location 24
5	Aisle 7	Location 43
Order 1	number of articles 18
0	Aisle 1	Location 40
1	Aisle 14	Location 36
2	Aisle 10	Location 23
3	Aisle 14	Location 38
4	Aisle 8	Location 20
5	Aisle 7	Location 33
6	Aisle 0	Location 38
7	Aisle 15	Location 39
8	Aisle 12	Location 40
9	Aisle 11	Location 44
10	Aisle 1	Location 6
11	Aisle 1	Location 0
12	Aisle 0	Location 6
13	Aisle 0	Location 3
14	Aisle 7	Location 42
15	Aisle 12	Location 18
16	Aisle 0	Location 41
17	Aisle 7	Location 16
Order 2	number of articles 20
0	Aisle 18	Location 34
1	Aisle 13	Location 40
2	Aisle 17	Location 3
3	Aisle 17	Location 2
4	Aisle 10	Location 6
5	Aisle 1	Location 13
6	Aisle 0	Location 43
7	Aisle 0	Location 9
8	Aisle 1	Location 32
9	Aisle 18	Location 23
10	Aisle 15	Location 4
11	Aisle 9	Location 24
12	Aisle 16	Location 11
13	Aisle 19	Location 6
14	Aisle 1	Location 3
15	Aisle 1	Location 28
16	Aisle 1	Location 10
17	Aisle 1	Location 22
18	Aisle 12	Location 31
19	Aisle 8	Location 36
Order 3	number of articles 15
0	Aisle 0	Location 14
1	Aisle 19	Location 4
2	Aisle 1	Location 25
3	Aisle 0	Location 32
4	Aisle 0	Location 18
5	Aisle 0	Location 40
6	Aisle 1	Location 13
7	Aisle 10	Location 14
8	Aisle 17	Location 9
9	Aisle 16	Location 5
10	Aisle 0	Location 39
11	Aisle 0	Location 31
12	Aisle 14	Location 3
13	Aisle 13	Location 25
14	Aisle 19	Location 37
Order 4	number of articles 9
0	Aisle 15	Location 39
1	Aisle 16	Location 43
2	Aisle 0	Location 12
3	Aisle 0	Location 18
4	Aisle 9	Location 42
5	Aisle 16	Location 2
6	Aisle 1	Location 40
7	Aisle 1	Location 22
8	Aisle 16	Location 37
Order 5	number of articles 20
0	Aisle 17	Location 12
1	Aisle 1	Location 23
2	Aisle 19	Location 6
3	Aisle 11	Location 25
4	Aisle 0	Location 3
5	Aisle 0	Location 10
6	Aisle 9	Location 3
7	Aisle 11	Location 40
8	Aisle 19	Location 16
9	Aisle 10	Location 9
10	Aisle 15	Location 18
11	Aisle 19	Location 39
12	Aisle 1	Location 22
13	Aisle 17	Location 44
14	Aisle 0	Location 7
15	Aisle 19	Location 3
16	Aisle 1	Location 43
17	Aisle 1	Location 28
18	Aisle 16	Location 41
19	Aisle 0	Location 12
Order 6	number of articles 21
0	Aisle 1	Location 19
1	Aisle 19	Location 11
2	Aisle 16	Location 24
3	Aisle 17	Location 36
4	Aisle 1	Location 9
5	Aisle 0	Location 31
6	Aisle 10	Location 32
7	Aisle 0	Location 9
8	Aisle 6	Location 37
9	Aisle 18	Location 14
10	Aisle 0	Location 12
11	Aisle 15	Location 27
12	Aisle 1	Location 2
13	Aisle 17	Location 4
14	Aisle 17	Location 13
15	Aisle 0	Location 7
16	Aisle 7	Location 20
17	Aisle 17	Location 20
18	Aisle 9	Location 22
19	Aisle 19	Location 28
20	Aisle 6	Location 27
Order 7	number of articles 18
0	Aisle 10	Location 3
1	Aisle 15	Location 28
2	Aisle 1	Location 37
3	Aisle 1	Location 36
4	Aisle 1	Location 30
5	Aisle 0	Location 21
6	Aisle 7	Location 8
7	Aisle 0	Location 37
8	Aisle 12	Location 34
9	Aisle 13	Location 5
10	Aisle 0	Location 0
11	Aisle 18	Location 2
12	Aisle 1	Location 4
13	Aisle 10	Location 35
14	Aisle 1	Location 38
15	Aisle 0	Location 8
16	Aisle 0	Location 18
17	Aisle 9	Location 14
Order 8	number of articles 21
0	Aisle 6	Location 41
1	Aisle 8	Location 32
2	Aisle 1	Location 12
3	Aisle 16	Location 41
4	Aisle 1	Location 0
5	Aisle 0	Location 9
6	Aisle 0	Location 42
7	Aisle 17	Location 13
8	Aisle 19	Location 13
9	Aisle 1	Location 10
10	Aisle 1	Location 43
