Order 0	number of articles 6
0	Aisle 0	Location 43
1	Aisle 10	Location 15
2	Aisle 0	Location 15
3	Aisle 1	Location 40
4	Aisle 9	Location 0
5	Aisle 0	Location 37
Order 1	number of articles 18
0	Aisle 7	Location 10
1	Aisle 13	Location 33
2	Aisle 0	Location 23
3	Aisle 13	Location 44
4	Aisle 19	Location 21
5	Aisle 0	Location 30
6	Aisle 15	Location 2
7	Aisle 0	Location 20
8	Aisle 0	Location 34
9	Aisle 9	Location 34
10	Aisle 0	Location 24
11	Aisle 10	Location 24
12	Aisle 19	Location 41
13	Aisle 0	Location 16
14	Aisle 1	Location 44
15	Aisle 11	Location 25
16	Aisle 1	Location 30
17	Aisle 1	Location 25
Order 2	number of articles 8
0	Aisle 13	Location 42
1	Aisle 11	Location 28
2	Aisle 1	Location 4
3	Aisle 1	Location 14
4	Aisle 10	Location 43
5	Aisle 19	Location 27
6	Aisle 1	Location 15
7	Aisle 11	Location 24
Order 3	number of articles 9
0	Aisle 18	Location 21
1	Aisle 0	Location 24
2	Aisle 8	Location 28
3	Aisle 1	Location 32
4	Aisle 17	Location 19
5	Aisle 19	Location 42
6	Aisle 8	Location 32
7	Aisle 7	Location 0
8	Aisle 0	Location 31
Order 4	number of articles 14
0	Aisle 1	Location 11
1	Aisle 1	Location 15
2	Aisle 14	Location 7
3	Aisle 1	Location 38
4	Aisle 14	Location 6
5	Aisle 1	Location 6
6	Aisle 10	Location 17
7	Aisle 1	Location 4
8	Aisle 0	Location 39
9	Aisle 7	Location 18
10	Aisle 7	Location 10
11	Aisle 1	Location 19
12	Aisle 7	Location 26
13	Aisle 19	Location 29
Order 5	number of articles 15
0	Aisle 1	Location 41
1	Aisle 1	Location 2
2	Aisle 16	Location 7
3	Aisle 17	Location 37
4	Aisle 18	Location 1
5	Aisle 0	Location 38
6	Aisle 0	Location 20
7	Aisle 11	Location 6
8	Aisle 1	Location 21
9	Aisle 12	Location 14
10	Aisle 1	Location 4
11	Aisle 16	Location 43
12	Aisle 19	Location 15
13	Aisle 0	Location 22
14	Aisle 0	Location 30
Order 6	number of articles 20
0	Aisle 0	Location 35
1	Aisle 10	Location 37
2	Aisle 1	Location 5
3	Aisle 0	Location 8
4	Aisle 12	Location 37
5	Aisle 1	Location 24
6	Aisle 1	Location 22
7	Aisle 0	Location 23
8	Aisle 13	Location 26
9	Aisle 1	Location 19
10	Aisle 11	Location 13
11	Aisle 0	Location 40
12	Aisle 19	Location 37
13	Aisle 15	Location 1
14	Aisle 9	Location 21
15	Aisle 1	Location 14
16	Aisle 0	Location 15
17	Aisle 0	Location 42
18	Aisle 0	Location 33
19	Aisle 0	Location 12
Order 7	number of articles 6
0	Aisle 1	Location 43
1	Aisle 13	Location 18
2	Aisle 0	Location 21
3	Aisle 1	Location 39
4	Aisle 0	Location 24
5	Aisle 1	Location 24
Order 8	number of articles 15
0	Aisle 1	Location 11
1	Aisle 16	Location 42
2	Aisle 1	Location 31
3	Aisle 10	Location 4
4	Aisle 14	Location 9
5	Aisle 19	Location 25
6	Aisle 1	Location 2
7	Aisle 1	Location 33
8	Aisle 15	Location 6
9	Aisle 1	Location 26
10	Aisle 1	Location 7
11	Aisle 10	Location 13
12	Aisle 18	Location 27
13	Aisle 1	Location 39
14	Aisle 0	Location 17
Order 9	number of articles 11
0	Aisle 0	Location 43
1	Aisle 15	Location 21
2	Aisle 11	Location 19
3	Aisle 1	Location 29
4	Aisle 1	Location 21
5	Aisle 11	Location 18
6	Aisle 0	Location 26
7	Aisle 1	Location 39
8	Aisle 1	Location 6
9	Aisle 18	Location 39
10	Aisle 0	Location 42
Order 10	number of articles 13
0	Aisle 1	Location 18
1	Aisle 7	Location 18
2	Aisle 17	Location 27
3	Aisle 8	Location 28
4	Aisle 1	Location 39
5	Aisle 16	Location 22
6	Aisle 1	Location 5
7	Aisle 0	Location 33
8	Aisle 1	Location 24
9	Aisle 1	Location 21
10	Aisle 17	Location 21
11	Aisle 9	Location 41
12	Aisle 19	Location 23
Order 11	number of articles 9
0	Aisle 6	Location 40
1	Aisle 17	Location 43
2	Aisle 12	Location 10
3	Aisle 0	Location 3
4	Aisle 1	Location 5
