Order 0	number of articles 20
0	Aisle 17	Location 7
1	Aisle 1	Location 26
2	Aisle 1	Location 21
3	Aisle 6	Location 23
4	Aisle 14	Location 8
5	Aisle 11	Location 21
6	Aisle 14	Location 23
7	Aisle 0	Location 2
8	Aisle 14	Location 44
9	Aisle 9	Location 5
10	Aisle 19	Location 35
11	Aisle 1	Location 38
12	Aisle 1	Location 33
13	Aisle 1	Location 3
14	Aisle 1	Location 23
15	Aisle 0	Location 36
16	Aisle 6	Location 8
17	Aisle 6	Location 42
18	Aisle 0	Location 1
19	Aisle 1	Location 15
Order 1	number of articles 21
0	Aisle 16	Location 35
1	Aisle 13	Location 25
2	Aisle 1	Location 35
3	Aisle 1	Location 27
4	Aisle 0	Location 25
5	Aisle 1	Location 18
6	Aisle 0	Location 10
7	Aisle 1	Location 8
8	Aisle 0	Location 31
9	Aisle 13	Location 0
10	Aisle 1	Location 39
11	Aisle 7	Location 4
12	Aisle 12	Location 19
13	Aisle 0	Location 28
14	Aisle 19	Location 26
15	Aisle 13	Location 18
16	Aisle 1	Location 22
17	Aisle 0	Location 38
18	Aisle 18	Location 19
19	Aisle 9	Location 33
20	Aisle 11	Location 2
Order 2	number of articles 10
0	Aisle 17	Location 42
1	Aisle 8	Location 34
2	Aisle 0	Location 5
3	Aisle 7	Location 19
4	Aisle 12	Location 6
5	Aisle 0	Location 1
6	Aisle 8	Location 9
7	Aisle 1	Location 38
8	Aisle 8	Location 14
9	Aisle 8	Location 4
Order 3	number of articles 13
0	Aisle 1	Location 18
1	Aisle 8	Location 16
2	Aisle 13	Location 2
3	Aisle 0	Location 4
4	Aisle 11	Location 0
5	Aisle 0	Location 39
6	Aisle 9	Location 4
7	Aisle 0	Location 13
8	Aisle 18	Location 32
9	Aisle 18	Location 43
10	Aisle 0	Location 5
11	Aisle 0	Location 30
12	Aisle 13	Location 37
Order 4	number of articles 19
0	Aisle 1	Location 9
1	Aisle 0	Location 17
2	Aisle 0	Location 16
3	Aisle 1	Location 22
4	Aisle 1	Location 5
5	Aisle 17	Location 19
6	Aisle 15	Location 39
7	Aisle 1	Location 25
8	Aisle 1	Location 33
9	Aisle 1	Location 13
10	Aisle 8	Location 43
11	Aisle 0	Location 13
12	Aisle 8	Location 41
13	Aisle 0	Location 23
14	Aisle 1	Location 40
15	Aisle 1	Location 2
16	Aisle 1	Location 32
17	Aisle 1	Location 21
18	Aisle 0	Location 25
Order 5	number of articles 10
0	Aisle 0	Location 35
1	Aisle 12	Location 27
2	Aisle 13	Location 17
3	Aisle 12	Location 43
4	Aisle 0	Location 40
5	Aisle 1	Location 32
6	Aisle 0	Location 30
7	Aisle 8	Location 23
8	Aisle 0	Location 26
9	Aisle 1	Location 1
Order 6	number of articles 9
0	Aisle 1	Location 29
1	Aisle 11	Location 37
2	Aisle 13	Location 35
3	Aisle 0	Location 24
4	Aisle 0	Location 44
5	Aisle 1	Location 15
6	Aisle 17	Location 44
7	Aisle 1	Location 28
8	Aisle 0	Location 41
Order 7	number of articles 17
0	Aisle 0	Location 34
1	Aisle 0	Location 4
2	Aisle 11	Location 20
3	Aisle 1	Location 36
4	Aisle 19	Location 12
5	Aisle 0	Location 43
6	Aisle 0	Location 26
7	Aisle 11	Location 30
8	Aisle 13	Location 35
9	Aisle 0	Location 20
10	Aisle 0	Location 21
11	Aisle 13	Location 44
12	Aisle 14	Location 22
13	Aisle 10	Location 30
14	Aisle 1	Location 11
15	Aisle 14	Location 28
16	Aisle 11	Location 23
Order 8	number of articles 20
0	Aisle 10	Location 5
1	Aisle 16	Location 15
2	Aisle 18	Location 13
3	Aisle 1	Location 4
4	Aisle 11	Location 1
5	Aisle 7	Location 10
6	Aisle 0	Location 30
7	Aisle 0	Location 24
8	Aisle 0	Location 23
9	Aisle 10	Location 4
10	Aisle 0	Location 19
11	Aisle 14	Location 20
12	Aisle 11	Location 33
13	Aisle 1	Location 34
14	Aisle 1	Location 31
15	Aisle 1	Location 39
16	Aisle 10	Location 34
17	Aisle 9	Location 13
18	Aisle 17	Location 43
19	Aisle 7	Location 21
Order 9	number of articles 19
0	Aisle 1	Location 0
1	Aisle 0	Location 15
2	Aisle 16	Location 7
3	Aisle 6	Location 6
4	Aisle 10	Location 40
5	Aisle 0	Location 24
6	Aisle 18	Location 26
7	Aisle 1	Location 15
8	Aisle 12	Location 34
9	Aisle 1	Location 39
10	Aisle 8	Location 30
11	Aisle 6	Location 33
12	Aisle 14	Location 2
13	Aisle 0	Location 31
14	Aisle 13	Location 16
15	Aisle 1	Location 29
16	Aisle 1	Location 35
17	Aisle 0	Location 12
18	Aisle 1	Location 30
Order 10	number of articles 20
0	Aisle 0	Location 29
1	Aisle 8	Location 30
2	Aisle 10	Location 26
3	Aisle 1	Location 23
4	Aisle 1	Location 20
5	Aisle 1	Location 5
6	Aisle 6	Location 32
7	Aisle 16	Location 42
8	Aisle 0	Location 16
9	Aisle 1	Location 42
10	Aisle 10	Location 31
11	Aisle 15	Location 43
