Order 0	number of articles 7
0	Aisle 11	Location 4
1	Aisle 7	Location 38
2	Aisle 6	Location 16
3	Aisle 0	Location 2
4	Aisle 1	Location 35
5	Aisle 1	Location 9
6	Aisle 0	Location 10
Order 1	number of articles 5
0	Aisle 1	Location 33
1	Aisle 1	Location 3
2	Aisle 1	Location 36
3	Aisle 1	Location 28
4	Aisle 1	Location 10
Order 2	number of articles 7
0	Aisle 19	Location 2
1	Aisle 8	Location 2
2	Aisle 0	Location 26
3	Aisle 13	Location 31
4	Aisle 0	Location 9
5	Aisle 0	Location 13
6	Aisle 0	Location 41
Order 3	number of articles 13
0	Aisle 19	Location 19
1	Aisle 12	Location 26
2	Aisle 1	Location 39
3	Aisle 17	Location 38
4	Aisle 0	Location 33
5	Aisle 8	Location 1
6	Aisle 1	Location 13
7	Aisle 9	Location 44
8	Aisle 1	Location 22
9	Aisle 12	Location 19
10	Aisle 19	Location 34
11	Aisle 13	Location 44
12	Aisle 1	Location 11
Order 4	number of articles 23
0	Aisle 1	Location 35
1	Aisle 18	Location 14
2	Aisle 1	Location 23
3	Aisle 0	Location 21
4	Aisle 10	Location 8
5	Aisle 17	Location 30
6	Aisle 0	Location 32
7	Aisle 1	Location 19
8	Aisle 7	Location 36
9	Aisle 8	Location 28
10	Aisle 16	Location 40
11	Aisle 0	Location 20
12	Aisle 0	Location 37
13	Aisle 7	Location 24
14	Aisle 12	Location 2
15	Aisle 1	Location 42
16	Aisle 0	Location 11
17	Aisle 0	Location 28
18	Aisle 1	Location 37
19	Aisle 19	Location 29
20	Aisle 0	Location 14
21	Aisle 0	Location 19
22	Aisle 15	Location 30
Order 5	number of articles 6
0	Aisle 6	Location 42
1	Aisle 18	Location 27
2	Aisle 0	Location 24
3	Aisle 17	Location 44
4	Aisle 8	Location 9
5	Aisle 0	Location 16
Order 6	number of articles 22
0	Aisle 15	Location 23
1	Aisle 1	Location 26
2	Aisle 0	Location 41
3	Aisle 0	Location 37
4	Aisle 0	Location 25
5	Aisle 0	Location 14
6	Aisle 7	Location 18
7	Aisle 8	Location 27
8	Aisle 12	Location 13
9	Aisle 1	Location 34
10	Aisle 17	Location 42
11	Aisle 0	Location 34
12	Aisle 10	Location 10
13	Aisle 0	Location 26
14	Aisle 17	Location 21
15	Aisle 1	Location 1
16	Aisle 11	Location 23
17	Aisle 18	Location 3
18	Aisle 19	Location 30
19	Aisle 0	Location 32
20	Aisle 1	Location 30
21	Aisle 11	Location 34
Order 7	number of articles 9
0	Aisle 0	Location 3
1	Aisle 11	Location 13
2	Aisle 11	Location 41
3	Aisle 7	Location 20
4	Aisle 1	Location 24
5	Aisle 1	Location 23
6	Aisle 16	Location 12
7	Aisle 11	Location 3
8	Aisle 1	Location 17
Order 8	number of articles 16
0	Aisle 0	Location 42
1	Aisle 9	Location 25
2	Aisle 16	Location 9
3	Aisle 14	Location 7
4	Aisle 1	Location 4
5	Aisle 1	Location 20
6	Aisle 1	Location 33
7	Aisle 1	Location 7
8	Aisle 9	Location 12
9	Aisle 12	Location 1
10	Aisle 14	Location 33
11	Aisle 1	Location 25
12	Aisle 17	Location 1
13	Aisle 0	Location 33
14	Aisle 14	Location 21
15	Aisle 0	Location 7
Order 9	number of articles 17
0	Aisle 1	Location 0
1	Aisle 9	Location 14
2	Aisle 0	Location 30
3	Aisle 1	Location 38
4	Aisle 19	Location 2
5	Aisle 11	Location 19
6	Aisle 10	Location 3
7	Aisle 10	Location 44
8	Aisle 1	Location 8
9	Aisle 17	Location 2
10	Aisle 17	Location 38
11	Aisle 0	Location 13
12	Aisle 0	Location 6
13	Aisle 18	Location 10
14	Aisle 0	Location 16
15	Aisle 1	Location 11
16	Aisle 1	Location 21
Order 10	number of articles 17
0	Aisle 11	Location 30
1	Aisle 15	Location 18
2	Aisle 1	Location 42
3	Aisle 10	Location 41
4	Aisle 6	Location 36
5	Aisle 0	Location 6
6	Aisle 15	Location 3
7	Aisle 0	Location 1
8	Aisle 10	Location 26
9	Aisle 0	Location 37
10	Aisle 17	Location 29
11	Aisle 1	Location 40
12	Aisle 8	Location 30
13	Aisle 7	Location 12
14	Aisle 14	Location 26
15	Aisle 8	Location 20
16	Aisle 0	Location 20
Order 11	number of articles 20
0	Aisle 1	Location 3
1	Aisle 9	Location 3
2	Aisle 10	Location 25
3	Aisle 13	Location 15
4	Aisle 10	Location 10
