Order 0	number of articles 8
0	Aisle 7	Location 32
1	Aisle 14	Location 42
2	Aisle 0	Location 9
3	Aisle 3	Location 9
4	Aisle 11	Location 16
5	Aisle 6	Location 15
6	Aisle 17	Location 6
7	Aisle 10	Location 0
Order 1	number of articles 20
0	Aisle 16	Location 36
1	Aisle 2	Location 6
2	Aisle 8	Location 5
3	Aisle 2	Location 24
4	Aisle 1	Location 7
5	Aisle 4	Location 40
6	Aisle 4	Location 1
7	Aisle 11	Location 33
8	Aisle 2	Location 38
9	Aisle 18	Location 27
10	Aisle 7	Location 12
11	Aisle 8	Location 1
12	Aisle 16	Location 9
13	Aisle 0	Location 19
14	Aisle 0	Location 3
15	Aisle 0	Location 25
16	Aisle 15	Location 13
17	Aisle 1	Location 1
18	Aisle 11	Location 18
19	Aisle 2	Location 20
Order 2	number of articles 11
0	Aisle 14	Location 23
1	Aisle 14	Location 14
2	Aisle 13	Location 14
3	Aisle 7	Location 16
4	Aisle 16	Location 42
5	Aisle 7	Location 39
6	Aisle 5	Location 35
7	Aisle 4	Location 19
8	Aisle 15	Location 8
9	Aisle 19	Location 20
10	Aisle 6	Location 6
Order 3	number of articles 19
0	Aisle 11	Location 36
1	Aisle 8	Location 25
2	Aisle 2	Location 14
3	Aisle 11	Location 28
4	Aisle 3	Location 7
5	Aisle 14	Location 36
6	Aisle 2	Location 31
7	Aisle 4	Location 4
8	Aisle 15	Location 14
9	Aisle 6	Location 42
10	Aisle 18	Location 14
11	Aisle 10	Location 11
12	Aisle 17	Location 29
13	Aisle 7	Location 40
14	Aisle 17	Location 42
15	Aisle 13	Location 29
16	Aisle 18	Location 36
17	Aisle 17	Location 17
18	Aisle 14	Location 7
Order 4	number of articles 19
0	Aisle 3	Location 42
1	Aisle 10	Location 5
2	Aisle 13	Location 20
3	Aisle 13	Location 30
4	Aisle 7	Location 44
5	Aisle 5	Location 42
6	Aisle 5	Location 6
7	Aisle 8	Location 40
8	Aisle 5	Location 25
9	Aisle 11	Location 36
10	Aisle 5	Location 18
11	Aisle 7	Location 15
12	Aisle 7	Location 43
13	Aisle 19	Location 13
14	Aisle 1	Location 12
15	Aisle 15	Location 34
16	Aisle 9	Location 36
17	Aisle 17	Location 19
18	Aisle 0	Location 41
Order 5	number of articles 19
0	Aisle 0	Location 40
1	Aisle 15	Location 4
2	Aisle 14	Location 8
3	Aisle 11	Location 16
4	Aisle 9	Location 1
5	Aisle 11	Location 42
6	Aisle 12	Location 5
7	Aisle 17	Location 7
8	Aisle 2	Location 23
9	Aisle 14	Location 28
10	Aisle 15	Location 44
11	Aisle 3	Location 2
12	Aisle 11	Location 28
13	Aisle 17	Location 15
14	Aisle 17	Location 4
15	Aisle 1	Location 5
16	Aisle 13	Location 39
17	Aisle 11	Location 27
18	Aisle 15	Location 38
Order 6	number of articles 11
0	Aisle 0	Location 10
1	Aisle 14	Location 17
2	Aisle 3	Location 0
3	Aisle 10	Location 8
4	Aisle 19	Location 11
5	Aisle 11	Location 42
6	Aisle 15	Location 38
7	Aisle 7	Location 13
8	Aisle 2	Location 13
9	Aisle 13	Location 0
10	Aisle 9	Location 13
Order 7	number of articles 23
0	Aisle 2	Location 15
1	Aisle 2	Location 20
2	Aisle 7	Location 16
3	Aisle 8	Location 32
4	Aisle 4	Location 43
5	Aisle 3	Location 5
6	Aisle 18	Location 1
7	Aisle 17	Location 18
8	Aisle 1	Location 31
9	Aisle 12	Location 5
10	Aisle 3	Location 42
11	Aisle 15	Location 39
12	Aisle 14	Location 18
13	Aisle 9	Location 29
14	Aisle 13	Location 23
15	Aisle 10	Location 3
16	Aisle 1	Location 8
17	Aisle 13	Location 15
18	Aisle 12	Location 30
19	Aisle 1	Location 21
20	Aisle 0	Location 7
21	Aisle 3	Location 0
22	Aisle 12	Location 26
Order 8	number of articles 23
0	Aisle 7	Location 13
1	Aisle 4	Location 43
2	Aisle 7	Location 10
3	Aisle 18	Location 22
4	Aisle 10	Location 23
5	Aisle 9	Location 40
6	Aisle 18	Location 30
7	Aisle 17	Location 24
8	Aisle 2	Location 33
9	Aisle 15	Location 43
10	Aisle 18	Location 36
11	Aisle 4	Location 26
12	Aisle 19	Location 8
13	Aisle 0	Location 27
14	Aisle 2	Location 29
15	Aisle 10	Location 35
16	Aisle 15	Location 13
17	Aisle 11	Location 15
18	Aisle 5	Location 9
19	Aisle 5	Location 15
20	Aisle 8	Location 19
21	Aisle 9	Location 15
22	Aisle 18	Location 0
Order 9	number of articles 20
0	Aisle 18	Location 5
1	Aisle 5	Location 44
2	Aisle 4	Location 1
3	Aisle 12	Location 3
4	Aisle 3	Location 18
5	Aisle 17	Location 43
6	Aisle 2	Location 28
7	Aisle 12	Location 26
8	Aisle 5	Location 37
9	Aisle 11	Location 13
10	Aisle 17	Location 22
11	Aisle 3	Location 21
12	Aisle 10	Location 41
13	Aisle 6	Location 41
14	Aisle 7	Location 32
15	Aisle 4	Location 44
16	Aisle 6	Location 32
17	Aisle 6	Location 4
18	Aisle 11	Location 26
19	Aisle 7	Location 44
Order 10	number of articles 14
0	Aisle 10	Location 6
1	Aisle 7	Location 8
2	Aisle 5	Location 38
3	Aisle 6	Location 23
4	Aisle 19	Location 30
5	Aisle 14	Location 28
6	Aisle 6	Location 42
7	Aisle 9	Location 23
8	Aisle 5	Location 17
9	Aisle 8	Location 4
10	Aisle 3	Location 9
11	Aisle 5	Location 29
12	Aisle 6	Location 6
13	Aisle 2	Location 4
Order 11	number of articles 13
0	Aisle 11	Location 44
1	Aisle 4	Location 26
2	Aisle 10	Location 39
3	Aisle 13	Location 27
4	Aisle 17	Location 23
5	Aisle 13	Location 20
