Order 0	number of articles 18
0	Aisle 18	Location 29
1	Aisle 10	Location 25
2	Aisle 18	Location 38
3	Aisle 8	Location 4
4	Aisle 0	Location 31
5	Aisle 3	Location 10
6	Aisle 6	Location 11
7	Aisle 6	Location 33
8	Aisle 13	Location 38
9	Aisle 8	Location 11
10	Aisle 1	Location 11
11	Aisle 14	Location 24
12	Aisle 0	Location 17
13	Aisle 2	Location 27
14	Aisle 5	Location 16
15	Aisle 11	Location 38
16	Aisle 19	Location 17
17	Aisle 18	Location 18
Order 1	number of articles 22
0	Aisle 14	Location 28
1	Aisle 5	Location 11
2	Aisle 10	Location 17
3	Aisle 3	Location 34
4	Aisle 13	Location 19
5	Aisle 13	Location 32
6	Aisle 6	Location 27
7	Aisle 8	Location 32
8	Aisle 17	Location 1
9	Aisle 4	Location 40
10	Aisle 15	Location 20
11	Aisle 6	Location 31
12	Aisle 5	Location 28
13	Aisle 14	Location 2
14	Aisle 0	Location 43
15	Aisle 8	Location 24
16	Aisle 2	Location 1
17	Aisle 4	Location 44
18	Aisle 8	Location 35
19	Aisle 1	Location 32
20	Aisle 6	Location 12
21	Aisle 16	Location 9
Order 2	number of articles 20
0	Aisle 10	Location 14
1	Aisle 2	Location 1
2	Aisle 8	Location 6
3	Aisle 15	Location 39
4	Aisle 3	Location 30
5	Aisle 16	Location 11
6	Aisle 14	Location 29
7	Aisle 6	Location 12
8	Aisle 0	Location 12
9	Aisle 1	Location 39
10	Aisle 13	Location 34
11	Aisle 0	Location 32
12	Aisle 9	Location 39
13	Aisle 17	Location 24
14	Aisle 9	Location 25
15	Aisle 3	Location 43
16	Aisle 7	Location 36
17	Aisle 6	Location 24
18	Aisle 10	Location 34
19	Aisle 3	Location 37
Order 3	number of articles 12
0	Aisle 1	Location 31
1	Aisle 4	Location 21
2	Aisle 5	Location 22
3	Aisle 12	Location 38
4	Aisle 7	Location 44
5	Aisle 8	Location 33
6	Aisle 8	Location 15
7	Aisle 19	Location 37
8	Aisle 2	Location 40
9	Aisle 5	Location 27
10	Aisle 14	Location 7
11	Aisle 19	Location 10
Order 4	number of articles 16
0	Aisle 6	Location 9
1	Aisle 11	Location 36
2	Aisle 9	Location 27
3	Aisle 5	Location 21
4	Aisle 5	Location 6
5	Aisle 13	Location 40
6	Aisle 7	Location 8
7	Aisle 1	Location 2
8	Aisle 4	Location 27
9	Aisle 16	Location 14
10	Aisle 19	Location 18
11	Aisle 1	Location 5
12	Aisle 18	Location 40
13	Aisle 12	Location 19
14	Aisle 0	Location 22
15	Aisle 6	Location 31
Order 5	number of articles 6
0	Aisle 15	Location 18
1	Aisle 1	Location 6
2	Aisle 13	Location 11
3	Aisle 10	Location 40
4	Aisle 14	Location 22
5	Aisle 11	Location 21
Order 6	number of articles 22
0	Aisle 5	Location 37
1	Aisle 9	Location 33
2	Aisle 8	Location 10
3	Aisle 11	Location 14
