no_aisles_: 10
no_cells__: 45
opgrade___: 1
cell_lengt: 1
cell_width: 1.5
aisle_widt: 2
dis_ais_wa: 1
no_aisle_a: 1
no_aisle_b: 3
no_aisle_c: 6
arrangemen: 1
routing___: s
type______: f
no_orders_: 50
a_p_or_mea: 15
a_p_or_var: 10
qntity_exp: 1
prop_cla_a: 52
prop_cla_b: 36
prop_cla_c: 12
no_instanc: 40
m_no_o_p_b: 500000
m_no_a_p_b: 45
m_ca_p_b__: 200000
no_of_work: 1
speed_move: 1
speed_pick: 1
art_capacy: 14975
empty_posi: 12477
chaotical_: 3379
24623,31826,15892,30202,
22455,21351,1552,9112,
30312,22508,20726,19148,
13659,6314,17464,17873,
26156,16348,17399,32725,
16544,31297,3526,13484,
29578,21616,28849,22726,
15599,620,18046,15710,
19816,17784,4658,17653,
31432,25644,26583,15359,
1535,26825,381,10716,
30782,6602,9599,11785,
23388,24763,16903,15768,
20857,4942,25044,21725,
20449,21164,24123,29035,
306,29961,29292,26687,
4802,11643,5111,27706,
28987,26124,13455,22741,
14472,14,20749,5392,
23285,28334,29112,8875,
17297,24524,32707,11673,
30679,26378,5143,12210,
31886,24355,9043,31912,
494,30079,11025,19004,
6916,5124,17516,2225,
1112,7470,16319,8065,
15820,11874,11694,25168,
31687,23679,31083,21022,
13203,7863,30770,32448,
18180,23453,4630,7313,
4955,19582,26624,8805,
26473,10997,6901,958,
9464,23738,6295,23363,
4454,4539,4335,6509,
6547,2158,31081,2948,
3326,27749,16672,20170,
5162,803,6748,1014,
26183,6958,32089,22243,
526,29029,18507,11914,
28141,148,8350,6446,
