Order 0	number of articles 9
0	Aisle 1	Location 39
1	Aisle 0	Location 12
2	Aisle 13	Location 19
3	Aisle 7	Location 23
4	Aisle 6	Location 36
5	Aisle 1	Location 40
6	Aisle 1	Location 21
7	Aisle 1	Location 29
8	Aisle 19	Location 17
Order 1	number of articles 10
0	Aisle 0	Location 25
1	Aisle 0	Location 44
2	Aisle 1	Location 29
3	Aisle 0	Location 21
4	Aisle 1	Location 37
5	Aisle 0	Location 20
6	Aisle 1	Location 7
7	Aisle 7	Location 3
8	Aisle 0	Location 37
9	Aisle 1	Location 2
Order 2	number of articles 15
0	Aisle 13	Location 10
1	Aisle 9	Location 29
2	Aisle 1	Location 18
3	Aisle 0	Location 16
4	Aisle 1	Location 36
5	Aisle 18	Location 31
6	Aisle 0	Location 9
7	Aisle 10	Location 40
8	Aisle 9	Location 26
9	Aisle 0	Location 21
10	Aisle 6	Location 15
11	Aisle 1	Location 32
12	Aisle 1	Location 12
13	Aisle 6	Location 16
14	Aisle 8	Location 6
Order 3	number of articles 17
0	Aisle 1	Location 2
1	Aisle 1	Location 33
2	Aisle 18	Location 40
3	Aisle 0	Location 34
4	Aisle 0	Location 40
5	Aisle 0	Location 12
6	Aisle 0	Location 38
7	Aisle 0	Location 7
8	Aisle 0	Location 29
9	Aisle 10	Location 14
10	Aisle 17	Location 23
11	Aisle 0	Location 20
12	Aisle 7	Location 27
13	Aisle 1	Location 13
14	Aisle 1	Location 12
15	Aisle 1	Location 5
16	Aisle 0	Location 6
Order 4	number of articles 6
0	Aisle 13	Location 40
1	Aisle 1	Location 15
2	Aisle 11	Location 17
3	Aisle 0	Location 30
4	Aisle 8	Location 28
5	Aisle 12	Location 5
Order 5	number of articles 18
0	Aisle 10	Location 19
1	Aisle 1	Location 6
2	Aisle 9	Location 4
3	Aisle 1	Location 9
4	Aisle 0	Location 16
5	Aisle 0	Location 25
6	Aisle 8	Location 3
7	Aisle 0	Location 13
8	Aisle 0	Location 29
9	Aisle 1	Location 19
10	Aisle 17	Location 17
11	Aisle 1	Location 1
12	Aisle 1	Location 23
13	Aisle 10	Location 3
