Order 0	number of articles 15
0	Aisle 1	Location 34
1	Aisle 0	Location 9
2	Aisle 0	Location 30
3	Aisle 0	Location 26
4	Aisle 16	Location 41
5	Aisle 17	Location 21
6	Aisle 1	Location 38
7	Aisle 13	Location 5
8	Aisle 8	Location 14
9	Aisle 1	Location 39
10	Aisle 1	Location 36
11	Aisle 10	Location 13
12	Aisle 13	Location 38
13	Aisle 0	Location 29
14	Aisle 0	Location 5
Order 1	number of articles 18
0	Aisle 14	Location 1
1	Aisle 1	Location 3
2	Aisle 1	Location 20
3	Aisle 15	Location 26
4	Aisle 6	Location 18
5	Aisle 6	Location 16
6	Aisle 9	Location 18
7	Aisle 8	Location 13
8	Aisle 1	Location 38
9	Aisle 1	Location 25
10	Aisle 7	Location 34
11	Aisle 18	Location 35
12	Aisle 6	Location 23
13	Aisle 0	Location 31
14	Aisle 1	Location 22
15	Aisle 1	Location 30
16	Aisle 13	Location 35
17	Aisle 15	Location 41
Order 2	number of articles 18
0	Aisle 15	Location 34
1	Aisle 11	Location 14
2	Aisle 12	Location 41
3	Aisle 0	Location 18
4	Aisle 13	Location 39
5	Aisle 1	Location 8
6	Aisle 10	Location 43
7	Aisle 19	Location 27
8	Aisle 17	Location 42
9	Aisle 11	Location 25
10	Aisle 11	Location 26
11	Aisle 14	Location 41
12	Aisle 0	Location 20
13	Aisle 0	Location 0
14	Aisle 7	Location 13
15	Aisle 1	Location 27
16	Aisle 1	Location 38
17	Aisle 1	Location 34
Order 3	number of articles 10
0	Aisle 0	Location 10
1	Aisle 16	Location 8
2	Aisle 1	Location 12
3	Aisle 17	Location 38
4	Aisle 11	Location 35
5	Aisle 8	Location 40
6	Aisle 1	Location 27
7	Aisle 0	Location 39
8	Aisle 13	Location 1
9	Aisle 18	Location 32
Order 4	number of articles 20
0	Aisle 11	Location 14
1	Aisle 0	Location 1
2	Aisle 10	Location 14
3	Aisle 10	Location 5
4	Aisle 1	Location 6
5	Aisle 0	Location 30
6	Aisle 6	Location 11
7	Aisle 9	Location 29
8	Aisle 11	Location 36
9	Aisle 9	Location 21
10	Aisle 7	Location 30
11	Aisle 11	Location 4
12	Aisle 1	Location 22
13	Aisle 6	Location 17
14	Aisle 14	Location 17
15	Aisle 9	Location 1
16	Aisle 11	Location 38
17	Aisle 0	Location 5
18	Aisle 17	Location 22
19	Aisle 1	Location 16
Order 5	number of articles 9
0	Aisle 1	Location 5
1	Aisle 9	Location 17
2	Aisle 1	Location 42
3	Aisle 10	Location 43
4	Aisle 10	Location 29
5	Aisle 17	Location 40
6	Aisle 0	Location 23
7	Aisle 1	Location 18
8	Aisle 1	Location 26
Order 6	number of articles 14
0	Aisle 0	Location 23
1	Aisle 1	Location 40
2	Aisle 13	Location 27
3	Aisle 14	Location 23
4	Aisle 6	Location 42
5	Aisle 0	Location 19
6	Aisle 0	Location 11
7	Aisle 0	Location 3
8	Aisle 8	Location 22
9	Aisle 1	Location 1
10	Aisle 7	Location 26
11	Aisle 9	Location 34
12	Aisle 15	Location 6
13	Aisle 0	Location 21
Order 7	number of articles 23
0	Aisle 14	Location 11
1	Aisle 8	Location 25
2	Aisle 10	Location 27
3	Aisle 10	Location 34
4	Aisle 12	Location 10
5	Aisle 0	Location 31
6	Aisle 1	Location 23
7	Aisle 11	Location 19
8	Aisle 0	Location 16
9	Aisle 0	Location 0
10	Aisle 0	Location 8
11	Aisle 0	Location 11
12	Aisle 9	Location 15
13	Aisle 1	Location 39
14	Aisle 10	Location 44
15	Aisle 13	Location 17
16	Aisle 9	Location 23
17	Aisle 0	Location 4
18	Aisle 1	Location 44
19	Aisle 11	Location 3
20	Aisle 0	Location 36
21	Aisle 0	Location 24
22	Aisle 1	Location 34
Order 8	number of articles 6
0	Aisle 15	Location 16
1	Aisle 19	Location 2
