Order 0	number of articles 15
0	Aisle 2	Location 4
1	Aisle 16	Location 43
2	Aisle 6	Location 6
3	Aisle 12	Location 6
4	Aisle 5	Location 33
5	Aisle 2	Location 27
6	Aisle 10	Location 37
7	Aisle 17	Location 43
8	Aisle 2	Location 39
9	Aisle 13	Location 29
10	Aisle 12	Location 5
11	Aisle 5	Location 24
12	Aisle 6	Location 20
13	Aisle 11	Location 29
14	Aisle 14	Location 1
Order 1	number of articles 23
0	Aisle 19	Location 18
1	Aisle 0	Location 10
2	Aisle 7	Location 12
3	Aisle 3	Location 34
4	Aisle 4	Location 11
5	Aisle 4	Location 41
6	Aisle 8	Location 5
7	Aisle 19	Location 1
8	Aisle 10	Location 35
9	Aisle 7	Location 6
10	Aisle 17	Location 39
11	Aisle 0	Location 40
12	Aisle 15	Location 33
13	Aisle 19	Location 39
14	Aisle 11	Location 9
15	Aisle 15	Location 15
16	Aisle 13	Location 5
17	Aisle 18	Location 12
18	Aisle 5	Location 22
19	Aisle 5	Location 15
20	Aisle 0	Location 23
21	Aisle 0	Location 17
22	Aisle 13	Location 11
Order 2	number of articles 20
0	Aisle 18	Location 0
1	Aisle 16	Location 6
2	Aisle 5	Location 21
3	Aisle 9	Location 34
4	Aisle 12	Location 38
5	Aisle 17	Location 20
6	Aisle 10	Location 18
7	Aisle 5	Location 30
8	Aisle 15	Location 34
9	Aisle 16	Location 40
10	Aisle 19	Location 11
11	Aisle 14	Location 13
12	Aisle 14	Location 38
13	Aisle 4	Location 32
14	Aisle 15	Location 9
15	Aisle 9	Location 38
16	Aisle 0	Location 21
17	Aisle 11	Location 39
18	Aisle 0	Location 3
19	Aisle 17	Location 36
Order 3	number of articles 5
0	Aisle 0	Location 36
1	Aisle 12	Location 11
2	Aisle 5	Location 6
3	Aisle 4	Location 21
4	Aisle 3	Location 15
Order 4	number of articles 6
0	Aisle 5	Location 25
1	Aisle 10	Location 23
2	Aisle 8	Location 26
3	Aisle 14	Location 0
4	Aisle 15	Location 15
5	Aisle 2	Location 31
Order 5	number of articles 20
0	Aisle 14	Location 35
1	Aisle 5	Location 22
2	Aisle 18	Location 15
3	Aisle 4	Location 24
4	Aisle 19	Location 6
5	Aisle 14	Location 19
6	Aisle 2	Location 7
7	Aisle 1	Location 28
8	Aisle 4	Location 3
9	Aisle 9	Location 38
10	Aisle 17	Location 38
11	Aisle 14	Location 18
12	Aisle 0	Location 34
13	Aisle 11	Location 33
14	Aisle 15	Location 43
15	Aisle 14	Location 15
16	Aisle 19	Location 22
17	Aisle 7	Location 9
18	Aisle 16	Location 2
19	Aisle 5	Location 4
Order 6	number of articles 19
0	Aisle 8	Location 36
1	Aisle 11	Location 3
2	Aisle 11	Location 33
3	Aisle 18	Location 8
4	Aisle 19	Location 1
5	Aisle 1	Location 23
6	Aisle 0	Location 16
7	Aisle 11	Location 9
8	Aisle 18	Location 31
9	Aisle 18	Location 33
10	Aisle 2	Location 30
11	Aisle 18	Location 18
12	Aisle 11	Location 11
13	Aisle 17	Location 4
14	Aisle 10	Location 7
15	Aisle 10	Location 5
16	Aisle 6	Location 2
17	Aisle 7	Location 17
18	Aisle 14	Location 3
Order 7	number of articles 16
0	Aisle 2	Location 34
1	Aisle 13	Location 37
2	Aisle 17	Location 6
3	Aisle 4	Location 18
4	Aisle 19	Location 29
5	Aisle 13	Location 20
