Order 0	number of articles 10
0	Aisle 0	Location 17
1	Aisle 7	Location 25
2	Aisle 1	Location 15
3	Aisle 0	Location 26
4	Aisle 0	Location 8
5	Aisle 18	Location 9
6	Aisle 7	Location 36
7	Aisle 1	Location 42
8	Aisle 0	Location 10
9	Aisle 12	Location 22
Order 1	number of articles 7
0	Aisle 1	Location 25
1	Aisle 1	Location 13
2	Aisle 1	Location 23
3	Aisle 1	Location 28
4	Aisle 0	Location 17
5	Aisle 0	Location 2
6	Aisle 1	Location 21
Order 2	number of articles 14
0	Aisle 1	Location 9
1	Aisle 1	Location 41
2	Aisle 1	Location 13
3	Aisle 1	Location 17
4	Aisle 0	Location 26
5	Aisle 0	Location 0
6	Aisle 0	Location 39
7	Aisle 0	Location 1
8	Aisle 18	Location 21
9	Aisle 10	Location 26
10	Aisle 19	Location 20
11	Aisle 15	Location 16
12	Aisle 6	Location 7
13	Aisle 10	Location 37
Order 3	number of articles 15
0	Aisle 7	Location 32
1	Aisle 0	Location 31
2	Aisle 1	Location 2
3	Aisle 18	Location 29
4	Aisle 16	Location 35
5	Aisle 16	Location 29
6	Aisle 1	Location 1
7	Aisle 1	Location 19
8	Aisle 0	Location 44
9	Aisle 1	Location 27
10	Aisle 1	Location 8
11	Aisle 14	Location 11
12	Aisle 10	Location 42
13	Aisle 6	Location 13
14	Aisle 8	Location 6
Order 4	number of articles 4
0	Aisle 1	Location 27
1	Aisle 0	Location 39
2	Aisle 1	Location 38
3	Aisle 18	Location 15
Order 5	number of articles 6
0	Aisle 9	Location 31
1	Aisle 19	Location 28
2	Aisle 0	Location 43
3	Aisle 1	Location 11
4	Aisle 1	Location 40
5	Aisle 13	Location 35
Order 6	number of articles 19
0	Aisle 18	Location 5
1	Aisle 9	Location 6
2	Aisle 0	Location 18
3	Aisle 1	Location 23
4	Aisle 18	Location 37
5	Aisle 9	Location 16
6	Aisle 0	Location 4
7	Aisle 12	Location 4
8	Aisle 0	Location 31
9	Aisle 12	Location 5
10	Aisle 0	Location 17
11	Aisle 19	Location 1
12	Aisle 0	Location 37
13	Aisle 15	Location 0
14	Aisle 0	Location 3
15	Aisle 1	Location 2
16	Aisle 15	Location 38
17	Aisle 14	Location 13
18	Aisle 6	Location 12
Order 7	number of articles 22
0	Aisle 7	Location 35
1	Aisle 18	Location 23
2	Aisle 11	Location 29
3	Aisle 0	Location 4
4	Aisle 8	Location 17
5	Aisle 1	Location 33
6	Aisle 1	Location 38
7	Aisle 13	Location 12
8	Aisle 1	Location 37
9	Aisle 1	Location 23
10	Aisle 0	Location 9
11	Aisle 7	Location 6
12	Aisle 1	Location 13
13	Aisle 0	Location 43
14	Aisle 7	Location 3
15	Aisle 8	Location 35
16	Aisle 0	Location 7
17	Aisle 13	Location 27
18	Aisle 1	Location 1
19	Aisle 14	Location 36
20	Aisle 1	Location 28
21	Aisle 1	Location 4
Order 8	number of articles 20
0	Aisle 1	Location 16
1	Aisle 17	Location 39
2	Aisle 0	Location 41
3	Aisle 17	Location 6
4	Aisle 1	Location 38
5	Aisle 1	Location 34
6	Aisle 10	Location 8
7	Aisle 18	Location 15
8	Aisle 1	Location 21
9	Aisle 9	Location 20
10	Aisle 11	Location 15
11	Aisle 1	Location 43
12	Aisle 9	Location 9
13	Aisle 16	Location 8
14	Aisle 0	Location 42
15	Aisle 0	Location 40
16	Aisle 19	Location 30
17	Aisle 1	Location 15
18	Aisle 1	Location 12
19	Aisle 10	Location 28
Order 9	number of articles 8
0	Aisle 16	Location 36
1	Aisle 7	Location 9
2	Aisle 0	Location 20
3	Aisle 7	Location 40
4	Aisle 0	Location 14
5	Aisle 14	Location 39
6	Aisle 0	Location 34
7	Aisle 1	Location 37
Order 10	number of articles 5
0	Aisle 1	Location 25
1	Aisle 1	Location 40
2	Aisle 16	Location 3
3	Aisle 0	Location 2
4	Aisle 1	Location 20
Order 11	number of articles 22
0	Aisle 17	Location 10
1	Aisle 9	Location 39
2	Aisle 15	Location 10
3	Aisle 1	Location 8
4	Aisle 7	Location 0
5	Aisle 9	Location 6
