Order 0	number of articles 8
0	Aisle 14	Location 23
1	Aisle 18	Location 27
2	Aisle 14	Location 5
3	Aisle 0	Location 24
4	Aisle 1	Location 27
5	Aisle 8	Location 25
6	Aisle 1	Location 35
7	Aisle 1	Location 38
Order 1	number of articles 12
0	Aisle 0	Location 27
1	Aisle 1	Location 28
2	Aisle 0	Location 15
3	Aisle 15	Location 34
4	Aisle 7	Location 9
5	Aisle 1	Location 19
6	Aisle 1	Location 31
7	Aisle 8	Location 19
8	Aisle 0	Location 44
9	Aisle 15	Location 19
10	Aisle 1	Location 3
11	Aisle 1	Location 35
Order 2	number of articles 22
0	Aisle 1	Location 30
1	Aisle 1	Location 27
2	Aisle 9	Location 9
3	Aisle 1	Location 25
4	Aisle 8	Location 27
5	Aisle 0	Location 36
6	Aisle 8	Location 33
7	Aisle 1	Location 23
8	Aisle 16	Location 20
9	Aisle 9	Location 15
10	Aisle 0	Location 12
11	Aisle 15	Location 44
12	Aisle 11	Location 14
13	Aisle 0	Location 20
14	Aisle 11	Location 12
15	Aisle 11	Location 25
16	Aisle 1	Location 14
17	Aisle 0	Location 27
18	Aisle 0	Location 40
19	Aisle 0	Location 43
20	Aisle 1	Location 0
21	Aisle 0	Location 15
Order 3	number of articles 17
0	Aisle 17	Location 35
1	Aisle 0	Location 28
2	Aisle 1	Location 10
3	Aisle 0	Location 20
4	Aisle 13	Location 39
5	Aisle 16	Location 29
6	Aisle 1	Location 13
7	Aisle 0	Location 19
8	Aisle 17	Location 29
9	Aisle 9	Location 14
10	Aisle 19	Location 14
11	Aisle 0	Location 17
12	Aisle 1	Location 18
13	Aisle 11	Location 37
14	Aisle 1	Location 43
15	Aisle 0	Location 40
16	Aisle 1	Location 25
Order 4	number of articles 12
0	Aisle 18	Location 11
1	Aisle 0	Location 31
2	Aisle 7	Location 6
3	Aisle 1	Location 12
4	Aisle 11	Location 43
5	Aisle 9	Location 8
6	Aisle 1	Location 33
7	Aisle 1	Location 21
8	Aisle 0	Location 35
9	Aisle 1	Location 38
10	Aisle 1	Location 42
11	Aisle 10	Location 27
Order 5	number of articles 8
0	Aisle 1	Location 26
1	Aisle 1	Location 17
2	Aisle 16	Location 26
3	Aisle 12	Location 31
4	Aisle 0	Location 11
5	Aisle 1	Location 9
6	Aisle 0	Location 18
7	Aisle 1	Location 32
Order 6	number of articles 14
0	Aisle 6	Location 14
1	Aisle 0	Location 42
2	Aisle 17	Location 18
3	Aisle 1	Location 14
4	Aisle 1	Location 30
5	Aisle 0	Location 36
6	Aisle 17	Location 38
7	Aisle 13	Location 42
8	Aisle 6	Location 34
9	Aisle 1	Location 3
10	Aisle 0	Location 31
11	Aisle 0	Location 3
12	Aisle 9	Location 31
13	Aisle 13	Location 36
Order 7	number of articles 10
0	Aisle 1	Location 11
1	Aisle 6	Location 32
2	Aisle 16	Location 6
3	Aisle 1	Location 27
4	Aisle 15	Location 11
5	Aisle 0	Location 27
6	Aisle 17	Location 35
7	Aisle 0	Location 28
8	Aisle 17	Location 26
9	Aisle 16	Location 20
Order 8	number of articles 16
0	Aisle 15	Location 35
1	Aisle 1	Location 9
2	Aisle 1	Location 18
3	Aisle 0	Location 13
4	Aisle 6	Location 21
5	Aisle 1	Location 17
6	Aisle 0	Location 41
7	Aisle 1	Location 27
8	Aisle 12	Location 28
9	Aisle 17	Location 16
10	Aisle 15	Location 28
11	Aisle 12	Location 7
12	Aisle 16	Location 5
13	Aisle 1	Location 8
14	Aisle 6	Location 27
15	Aisle 1	Location 7
Order 9	number of articles 15
0	Aisle 13	Location 19
1	Aisle 9	Location 32
2	Aisle 18	Location 19
3	Aisle 0	Location 21
4	Aisle 1	Location 4
5	Aisle 0	Location 8
6	Aisle 1	Location 39
7	Aisle 6	Location 27
8	Aisle 19	Location 5
9	Aisle 10	Location 25
10	Aisle 12	Location 35
11	Aisle 14	Location 39
12	Aisle 0	Location 19
13	Aisle 15	Location 36
14	Aisle 0	Location 26
Order 10	number of articles 9
0	Aisle 0	Location 32
1	Aisle 0	Location 28
2	Aisle 19	Location 7
3	Aisle 0	Location 7
4	Aisle 15	Location 6
5	Aisle 19	Location 3
6	Aisle 1	Location 1
7	Aisle 11	Location 19
8	Aisle 8	Location 30
Order 11	number of articles 21
0	Aisle 14	Location 38
1	Aisle 11	Location 18
2	Aisle 1	Location 18
3	Aisle 13	Location 4
4	Aisle 0	Location 31
5	Aisle 1	Location 12
6	Aisle 11	Location 23
7	Aisle 12	Location 12
8	Aisle 0	Location 1
9	Aisle 15	Location 3
10	Aisle 0	Location 40
11	Aisle 9	Location 26
12	Aisle 0	Location 0
13	Aisle 1	Location 30
14	Aisle 1	Location 7
15	Aisle 7	Location 14
16	Aisle 0	Location 12
17	Aisle 8	Location 21
18	Aisle 8	Location 20
19	Aisle 1	Location 2
20	Aisle 0	Location 15
Order 12	number of articles 9
0	Aisle 1	Location 34
