Order 0	number of articles 16
0	Aisle 7	Location 18
1	Aisle 1	Location 8
2	Aisle 1	Location 2
3	Aisle 8	Location 32
4	Aisle 13	Location 44
5	Aisle 1	Location 23
6	Aisle 14	Location 22
7	Aisle 0	Location 18
8	Aisle 0	Location 39
9	Aisle 15	Location 1
10	Aisle 6	Location 18
11	Aisle 0	Location 27
12	Aisle 1	Location 29
13	Aisle 18	Location 41
14	Aisle 13	Location 43
15	Aisle 0	Location 20
Order 1	number of articles 5
0	Aisle 11	Location 23
1	Aisle 9	Location 2
2	Aisle 17	Location 32
3	Aisle 16	Location 22
4	Aisle 15	Location 24
Order 2	number of articles 7
0	Aisle 16	Location 0
1	Aisle 9	Location 36
2	Aisle 0	Location 4
3	Aisle 1	Location 7
4	Aisle 1	Location 32
5	Aisle 18	Location 4
6	Aisle 0	Location 24
Order 3	number of articles 6
0	Aisle 0	Location 21
1	Aisle 0	Location 32
2	Aisle 0	Location 6
3	Aisle 0	Location 10
4	Aisle 1	Location 17
5	Aisle 0	Location 42
Order 4	number of articles 7
0	Aisle 1	Location 19
1	Aisle 9	Location 21
2	Aisle 0	Location 26
3	Aisle 0	Location 11
4	Aisle 17	Location 14
5	Aisle 7	Location 23
6	Aisle 1	Location 2
Order 5	number of articles 22
0	Aisle 6	Location 35
1	Aisle 12	Location 20
2	Aisle 15	Location 25
3	Aisle 9	Location 10
4	Aisle 1	Location 31
5	Aisle 8	Location 30
6	Aisle 0	Location 25
7	Aisle 1	Location 29
8	Aisle 0	Location 11
9	Aisle 9	Location 43
10	Aisle 12	Location 31
11	Aisle 12	Location 7
12	Aisle 14	Location 0
13	Aisle 17	Location 43
14	Aisle 16	Location 31
15	Aisle 0	Location 7
16	Aisle 1	Location 42
17	Aisle 16	Location 28
18	Aisle 7	Location 11
19	Aisle 16	Location 8
20	Aisle 1	Location 3
21	Aisle 19	Location 31
Order 6	number of articles 18
0	Aisle 0	Location 1
1	Aisle 15	Location 4
2	Aisle 1	Location 17
3	Aisle 1	Location 34
4	Aisle 10	Location 18
5	Aisle 0	Location 28
6	Aisle 17	Location 0
7	Aisle 1	Location 0
8	Aisle 13	Location 29
