Order 0	number of articles 19
0	Aisle 6	Location 17
1	Aisle 14	Location 27
2	Aisle 19	Location 11
3	Aisle 1	Location 6
4	Aisle 14	Location 41
5	Aisle 1	Location 27
6	Aisle 0	Location 15
7	Aisle 0	Location 25
8	Aisle 1	Location 9
9	Aisle 0	Location 19
10	Aisle 11	Location 8
11	Aisle 0	Location 44
12	Aisle 0	Location 3
13	Aisle 15	Location 24
14	Aisle 17	Location 41
15	Aisle 0	Location 9
16	Aisle 1	Location 24
17	Aisle 19	Location 36
18	Aisle 16	Location 7
Order 1	number of articles 23
0	Aisle 0	Location 35
1	Aisle 9	Location 37
2	Aisle 1	Location 11
3	Aisle 1	Location 41
4	Aisle 17	Location 40
5	Aisle 11	Location 9
6	Aisle 1	Location 12
7	Aisle 1	Location 38
8	Aisle 17	Location 19
9	Aisle 0	Location 29
10	Aisle 10	Location 4
11	Aisle 1	Location 0
12	Aisle 15	Location 40
13	Aisle 11	Location 18
14	Aisle 12	Location 35
15	Aisle 0	Location 13
16	Aisle 1	Location 34
17	Aisle 7	Location 11
18	Aisle 12	Location 40
19	Aisle 0	Location 11
20	Aisle 16	Location 21
21	Aisle 1	Location 17
22	Aisle 10	Location 1
Order 2	number of articles 21
0	Aisle 8	Location 11
1	Aisle 1	Location 7
2	Aisle 13	Location 11
3	Aisle 1	Location 21
4	Aisle 19	Location 31
5	Aisle 0	Location 14
6	Aisle 13	Location 33
7	Aisle 19	Location 23
8	Aisle 9	Location 7
9	Aisle 9	Location 19
10	Aisle 16	Location 27
11	Aisle 1	Location 12
12	Aisle 10	Location 35
13	Aisle 1	Location 23
14	Aisle 18	Location 9
15	Aisle 6	Location 0
16	Aisle 0	Location 13
17	Aisle 7	Location 29
18	Aisle 1	Location 26
19	Aisle 13	Location 40
20	Aisle 12	Location 6
Order 3	number of articles 17
0	Aisle 0	Location 22
1	Aisle 0	Location 10
2	Aisle 1	Location 38
3	Aisle 10	Location 17
4	Aisle 0	Location 2
5	Aisle 1	Location 21
6	Aisle 14	Location 34
7	Aisle 11	Location 10
8	Aisle 12	Location 17
9	Aisle 17	Location 0
10	Aisle 1	Location 9
11	Aisle 0	Location 5
12	Aisle 0	Location 36
13	Aisle 0	Location 21
14	Aisle 1	Location 8
15	Aisle 0	Location 6
16	Aisle 8	Location 3
Order 4	number of articles 15
0	Aisle 1	Location 38
1	Aisle 1	Location 10
2	Aisle 0	Location 38
3	Aisle 0	Location 29
4	Aisle 8	Location 35
5	Aisle 8	Location 44
6	Aisle 0	Location 19
7	Aisle 0	Location 21
8	Aisle 0	Location 10
9	Aisle 0	Location 26
10	Aisle 1	Location 28
11	Aisle 1	Location 32
12	Aisle 0	Location 34
13	Aisle 15	Location 5
14	Aisle 17	Location 5
Order 5	number of articles 22
0	Aisle 18	Location 39
1	Aisle 0	Location 12
2	Aisle 14	Location 9
3	Aisle 1	Location 15
4	Aisle 1	Location 33
5	Aisle 0	Location 1
6	Aisle 6	Location 1
7	Aisle 1	Location 22
8	Aisle 13	Location 27
9	Aisle 1	Location 42
10	Aisle 1	Location 40
11	Aisle 13	Location 22
12	Aisle 13	Location 14
13	Aisle 0	Location 7
14	Aisle 6	Location 36
15	Aisle 13	Location 4
16	Aisle 18	Location 9
17	Aisle 16	Location 9
18	Aisle 1	Location 3
19	Aisle 1	Location 27
20	Aisle 14	Location 3
21	Aisle 0	Location 37
Order 6	number of articles 14
0	Aisle 0	Location 5
1	Aisle 0	Location 35
2	Aisle 1	Location 41
3	Aisle 18	Location 27
4	Aisle 6	Location 19
5	Aisle 0	Location 25
6	Aisle 9	Location 5
7	Aisle 1	Location 39
8	Aisle 15	Location 27
9	Aisle 8	Location 1
10	Aisle 11	Location 16
11	Aisle 15	Location 34
12	Aisle 6	Location 16
13	Aisle 12	Location 28
Order 7	number of articles 9
0	Aisle 0	Location 16
1	Aisle 7	Location 21
2	Aisle 1	Location 0
3	Aisle 10	Location 13
4	Aisle 1	Location 44
5	Aisle 7	Location 5
6	Aisle 0	Location 24
7	Aisle 1	Location 9
8	Aisle 9	Location 41
Order 8	number of articles 21
0	Aisle 1	Location 27
1	Aisle 13	Location 0
2	Aisle 18	Location 35
3	Aisle 1	Location 32
4	Aisle 0	Location 39
5	Aisle 8	Location 38
6	Aisle 8	Location 43
7	Aisle 1	Location 41
8	Aisle 16	Location 39
9	Aisle 1	Location 20
10	Aisle 0	Location 2
11	Aisle 17	Location 15
12	Aisle 1	Location 12
13	Aisle 0	Location 7
14	Aisle 1	Location 33
15	Aisle 10	Location 36
16	Aisle 0	Location 16
17	Aisle 17	Location 18
18	Aisle 12	Location 14
19	Aisle 9	Location 31
20	Aisle 1	Location 31
Order 9	number of articles 6
0	Aisle 16	Location 24
1	Aisle 1	Location 25
2	Aisle 10	Location 0
3	Aisle 19	Location 17
4	Aisle 7	Location 8
5	Aisle 1	Location 29
Order 10	number of articles 9
0	Aisle 1	Location 1
1	Aisle 6	Location 43
2	Aisle 7	Location 6
3	Aisle 0	Location 5
4	Aisle 16	Location 42
5	Aisle 1	Location 7
6	Aisle 1	Location 44
7	Aisle 1	Location 19
8	Aisle 11	Location 44
Order 11	number of articles 7
0	Aisle 0	Location 3
1	Aisle 7	Location 10
2	Aisle 13	Location 18
3	Aisle 1	Location 31
4	Aisle 1	Location 29
5	Aisle 11	Location 11
6	Aisle 8	Location 7
Order 12	number of articles 20
0	Aisle 19	Location 5
1	Aisle 1	Location 22
2	Aisle 10	Location 43
3	Aisle 1	Location 5
4	Aisle 15	Location 28
5	Aisle 11	Location 38
6	Aisle 14	Location 22
7	Aisle 18	Location 2
8	Aisle 19	Location 2
9	Aisle 1	Location 24
10	Aisle 1	Location 33
11	Aisle 0	Location 16
12	Aisle 1	Location 0
13	Aisle 6	Location 10
14	Aisle 10	Location 16
15	Aisle 1	Location 3
16	Aisle 9	Location 4
17	Aisle 16	Location 37
18	Aisle 1	Location 14
19	Aisle 1	Location 25
Order 13	number of articles 15
0	Aisle 9	Location 17
1	Aisle 19	Location 13
2	Aisle 1	Location 6
3	Aisle 9	Location 29
4	Aisle 0	Location 40
5	Aisle 10	Location 36
6	Aisle 6	Location 38
7	Aisle 1	Location 38
8	Aisle 1	Location 28
9	Aisle 0	Location 43
10	Aisle 1	Location 16
11	Aisle 0	Location 41
12	Aisle 18	Location 26
13	Aisle 0	Location 20
14	Aisle 9	Location 24
Order 14	number of articles 14
0	Aisle 6	Location 34
1	Aisle 6	Location 8
2	Aisle 0	Location 2
3	Aisle 17	Location 4
4	Aisle 1	Location 42
5	Aisle 1	Location 25
6	Aisle 0	Location 38
7	Aisle 0	Location 29
8	Aisle 0	Location 17
9	Aisle 11	Location 43
10	Aisle 1	Location 6
11	Aisle 11	Location 4
12	Aisle 6	Location 38
