Order 0	number of articles 22
0	Aisle 0	Location 33
1	Aisle 13	Location 7
2	Aisle 1	Location 14
3	Aisle 9	Location 34
4	Aisle 1	Location 1
5	Aisle 7	Location 6
6	Aisle 19	Location 11
7	Aisle 1	Location 23
8	Aisle 1	Location 41
9	Aisle 0	Location 43
10	Aisle 0	Location 2
11	Aisle 1	Location 5
12	Aisle 0	Location 1
13	Aisle 19	Location 39
14	Aisle 6	Location 11
15	Aisle 1	Location 15
16	Aisle 1	Location 17
17	Aisle 16	Location 24
18	Aisle 19	Location 42
19	Aisle 9	Location 10
20	Aisle 1	Location 22
21	Aisle 10	Location 19
Order 1	number of articles 5
0	Aisle 0	Location 5
1	Aisle 10	Location 5
2	Aisle 1	Location 11
3	Aisle 1	Location 39
4	Aisle 7	Location 13
Order 2	number of articles 9
0	Aisle 11	Location 0
1	Aisle 0	Location 27
2	Aisle 1	Location 41
3	Aisle 0	Location 26
4	Aisle 1	Location 4
5	Aisle 12	Location 17
6	Aisle 0	Location 21
7	Aisle 18	Location 24
8	Aisle 0	Location 35
Order 3	number of articles 24
0	Aisle 1	Location 14
1	Aisle 11	Location 12
2	Aisle 0	Location 3
3	Aisle 0	Location 4
4	Aisle 0	Location 34
5	Aisle 7	Location 7
6	Aisle 9	Location 30
7	Aisle 13	Location 43
8	Aisle 0	Location 17
9	Aisle 1	Location 0
10	Aisle 0	Location 31
11	Aisle 1	Location 25
12	Aisle 18	Location 20
13	Aisle 19	Location 19
14	Aisle 1	Location 43
15	Aisle 14	Location 24
16	Aisle 12	Location 8
17	Aisle 15	Location 23
18	Aisle 1	Location 12
19	Aisle 1	Location 20
20	Aisle 0	Location 29
21	Aisle 1	Location 5
22	Aisle 0	Location 20
23	Aisle 0	Location 39
Order 4	number of articles 19
0	Aisle 1	Location 11
1	Aisle 16	Location 33
2	Aisle 19	Location 7
3	Aisle 0	Location 32
4	Aisle 6	Location 23
5	Aisle 0	Location 27
6	Aisle 17	Location 3
7	Aisle 0	Location 31
8	Aisle 10	Location 26
9	Aisle 1	Location 26
10	Aisle 1	Location 29
11	Aisle 10	Location 20
12	Aisle 0	Location 36
13	Aisle 15	Location 39
14	Aisle 14	Location 41
15	Aisle 1	Location 10
16	Aisle 0	Location 30
17	Aisle 0	Location 16
18	Aisle 10	Location 29
Order 5	number of articles 12
0	Aisle 0	Location 9
1	Aisle 0	Location 44
2	Aisle 1	Location 24
3	Aisle 17	Location 0
4	Aisle 1	Location 39
5	Aisle 1	Location 12
6	Aisle 6	Location 2
7	Aisle 0	Location 35
8	Aisle 12	Location 30
9	Aisle 0	Location 10
10	Aisle 0	Location 43
11	Aisle 0	Location 37
Order 6	number of articles 20
0	Aisle 0	Location 11
1	Aisle 1	Location 16
2	Aisle 10	Location 30
3	Aisle 0	Location 4
4	Aisle 14	Location 1
5	Aisle 0	Location 29
6	Aisle 0	Location 42
7	Aisle 11	Location 22
8	Aisle 0	Location 20
9	Aisle 8	Location 39
10	Aisle 13	Location 13
11	Aisle 19	Location 10
12	Aisle 9	Location 41
13	Aisle 14	Location 13
14	Aisle 19	Location 36
15	Aisle 0	Location 19
16	Aisle 19	Location 39
17	Aisle 1	Location 7
18	Aisle 6	Location 11
19	Aisle 1	Location 35
Order 7	number of articles 6
0	Aisle 16	Location 25
1	Aisle 16	Location 15
2	Aisle 1	Location 20
3	Aisle 1	Location 30
4	Aisle 13	Location 15
5	Aisle 9	Location 31
Order 8	number of articles 8
0	Aisle 1	Location 43
1	Aisle 0	Location 25
2	Aisle 1	Location 34
3	Aisle 0	Location 33
4	Aisle 1	Location 8
5	Aisle 1	Location 12
6	Aisle 0	Location 35
7	Aisle 1	Location 9
Order 9	number of articles 21
0	Aisle 7	Location 16
1	Aisle 1	Location 44
2	Aisle 1	Location 35
3	Aisle 13	Location 29
4	Aisle 1	Location 3
5	Aisle 0	Location 28
6	Aisle 0	Location 39
7	Aisle 10	Location 27
8	Aisle 8	Location 15
9	Aisle 14	Location 43
10	Aisle 1	Location 13
11	Aisle 6	Location 42
12	Aisle 14	Location 42
13	Aisle 10	Location 21
14	Aisle 0	Location 38
15	Aisle 0	Location 20
16	Aisle 1	Location 14
17	Aisle 9	Location 19
18	Aisle 19	Location 20
19	Aisle 1	Location 21
20	Aisle 6	Location 15
Order 10	number of articles 5
0	Aisle 18	Location 9
1	Aisle 12	Location 25
2	Aisle 0	Location 27
3	Aisle 1	Location 34
4	Aisle 18	Location 8
Order 11	number of articles 16
0	Aisle 0	Location 16
1	Aisle 0	Location 21
2	Aisle 1	Location 34
3	Aisle 11	Location 5
4	Aisle 1	Location 36
5	Aisle 0	Location 31
6	Aisle 8	Location 41
7	Aisle 6	Location 1
8	Aisle 7	Location 0
9	Aisle 14	Location 4
10	Aisle 1	Location 23
11	Aisle 11	Location 37
12	Aisle 0	Location 22
13	Aisle 13	Location 9
14	Aisle 0	Location 9
15	Aisle 12	Location 43
Order 12	number of articles 14
0	Aisle 1	Location 16
1	Aisle 1	Location 18
2	Aisle 9	Location 44
3	Aisle 1	Location 1
4	Aisle 8	Location 2
5	Aisle 1	Location 35
6	Aisle 8	Location 16
7	Aisle 1	Location 32
8	Aisle 0	Location 24
9	Aisle 0	Location 18
10	Aisle 6	Location 0
11	Aisle 13	Location 1
12	Aisle 10	Location 30
13	Aisle 10	Location 19
Order 13	number of articles 9
0	Aisle 17	Location 40
1	Aisle 16	Location 23
2	Aisle 7	Location 24
3	Aisle 0	Location 43
4	Aisle 1	Location 31
5	Aisle 1	Location 10
6	Aisle 7	Location 11
7	Aisle 19	Location 33
8	Aisle 16	Location 13
Order 14	number of articles 15
0	Aisle 0	Location 19
1	Aisle 9	Location 3
2	Aisle 0	Location 35
3	Aisle 1	Location 22
4	Aisle 1	Location 25
5	Aisle 12	Location 20
6	Aisle 1	Location 35
7	Aisle 17	Location 9
8	Aisle 13	Location 3
9	Aisle 15	Location 41
10	Aisle 1	Location 32
11	Aisle 1	Location 3
12	Aisle 6	Location 20
13	Aisle 16	Location 2
14	Aisle 0	Location 16
Order 15	number of articles 22
0	Aisle 0	Location 27
1	Aisle 1	Location 40
2	Aisle 1	Location 29
3	Aisle 0	Location 24
4	Aisle 0	Location 41
5	Aisle 1	Location 43
6	Aisle 1	Location 34
7	Aisle 1	Location 3
8	Aisle 7	Location 40
9	Aisle 7	Location 26
10	Aisle 6	Location 17
11	Aisle 9	Location 40
12	Aisle 9	Location 36
13	Aisle 16	Location 7
