Order 0	number of articles 16
0	Aisle 12	Location 34
1	Aisle 6	Location 3
2	Aisle 6	Location 20
3	Aisle 18	Location 10
4	Aisle 13	Location 23
5	Aisle 15	Location 44
6	Aisle 7	Location 31
7	Aisle 4	Location 34
8	Aisle 8	Location 42
9	Aisle 4	Location 33
10	Aisle 7	Location 19
11	Aisle 12	Location 25
12	Aisle 16	Location 11
13	Aisle 14	Location 34
14	Aisle 7	Location 6
15	Aisle 18	Location 15
Order 1	number of articles 11
0	Aisle 1	Location 8
1	Aisle 10	Location 8
2	Aisle 8	Location 33
3	Aisle 7	Location 38
4	Aisle 9	Location 30
5	Aisle 12	Location 18
6	Aisle 8	Location 21
7	Aisle 7	Location 42
8	Aisle 1	Location 25
9	Aisle 15	Location 13
10	Aisle 18	Location 36
Order 2	number of articles 6
0	Aisle 19	Location 30
1	Aisle 1	Location 20
2	Aisle 12	Location 43
3	Aisle 1	Location 5
4	Aisle 12	Location 33
5	Aisle 16	Location 32
Order 3	number of articles 14
0	Aisle 6	Location 21
1	Aisle 11	Location 26
2	Aisle 17	Location 1
3	Aisle 9	Location 13
4	Aisle 14	Location 9
5	Aisle 5	Location 4
6	Aisle 13	Location 31
7	Aisle 3	Location 5
8	Aisle 1	Location 15
9	Aisle 17	Location 3
10	Aisle 3	Location 7
11	Aisle 13	Location 33
12	Aisle 6	Location 32
13	Aisle 7	Location 18
Order 4	number of articles 22
0	Aisle 13	Location 37
1	Aisle 17	Location 29
2	Aisle 5	Location 24
3	Aisle 7	Location 12
4	Aisle 16	Location 12
5	Aisle 4	Location 2
6	Aisle 8	Location 10
7	Aisle 2	Location 17
8	Aisle 14	Location 13
9	Aisle 5	Location 30
10	Aisle 10	Location 0
11	Aisle 6	Location 38
12	Aisle 10	Location 6
13	Aisle 13	Location 13
14	Aisle 19	Location 19
15	Aisle 11	Location 44
16	Aisle 1	Location 23
17	Aisle 18	Location 15
18	Aisle 7	Location 3
19	Aisle 8	Location 30
20	Aisle 10	Location 8
21	Aisle 15	Location 15
Order 5	number of articles 14
0	Aisle 4	Location 36
1	Aisle 3	Location 28
2	Aisle 11	Location 34
3	Aisle 5	Location 19
4	Aisle 16	Location 42
5	Aisle 2	Location 42
6	Aisle 12	Location 17
7	Aisle 19	Location 0
8	Aisle 7	Location 35
9	Aisle 16	Location 8
10	Aisle 17	Location 28
11	Aisle 8	Location 44
12	Aisle 5	Location 42
13	Aisle 1	Location 9
Order 6	number of articles 6
0	Aisle 15	Location 4
1	Aisle 10	Location 21
2	Aisle 3	Location 21
3	Aisle 12	Location 3
4	Aisle 7	Location 1
5	Aisle 16	Location 25
Order 7	number of articles 12
