Order 0	number of articles 13
0	Aisle 9	Location 22
1	Aisle 2	Location 33
2	Aisle 12	Location 20
3	Aisle 3	Location 20
4	Aisle 13	Location 15
5	Aisle 7	Location 19
6	Aisle 2	Location 4
7	Aisle 7	Location 40
8	Aisle 5	Location 21
9	Aisle 14	Location 6
10	Aisle 19	Location 19
11	Aisle 19	Location 30
12	Aisle 16	Location 37
Order 1	number of articles 16
0	Aisle 6	Location 6
1	Aisle 16	Location 17
2	Aisle 4	Location 33
3	Aisle 8	Location 18
4	Aisle 6	Location 26
5	Aisle 1	Location 41
6	Aisle 8	Location 43
7	Aisle 14	Location 38
8	Aisle 2	Location 25
9	Aisle 2	Location 3
10	Aisle 11	Location 28
11	Aisle 19	Location 3
12	Aisle 15	Location 1
13	Aisle 8	Location 25
14	Aisle 7	Location 36
15	Aisle 12	Location 18
Order 2	number of articles 16
0	Aisle 17	Location 36
1	Aisle 3	Location 28
2	Aisle 17	Location 11
3	Aisle 1	Location 13
4	Aisle 12	Location 19
5	Aisle 9	Location 34
6	Aisle 2	Location 6
7	Aisle 2	Location 25
8	Aisle 6	Location 2
9	Aisle 15	Location 4
10	Aisle 18	Location 29
11	Aisle 10	Location 40
12	Aisle 4	Location 26
13	Aisle 2	Location 32
14	Aisle 14	Location 12
15	Aisle 11	Location 39
Order 3	number of articles 14
0	Aisle 12	Location 31
1	Aisle 7	Location 21
2	Aisle 10	Location 43
3	Aisle 2	Location 22
4	Aisle 14	Location 12
5	Aisle 17	Location 9
6	Aisle 9	Location 33
7	Aisle 9	Location 43
8	Aisle 0	Location 5
9	Aisle 16	Location 42
10	Aisle 6	Location 35
11	Aisle 14	Location 15
12	Aisle 19	Location 4
13	Aisle 6	Location 42
Order 4	number of articles 19
0	Aisle 0	Location 2
1	Aisle 15	Location 8
2	Aisle 16	Location 0
3	Aisle 19	Location 13
4	Aisle 17	Location 44
5	Aisle 13	Location 36
6	Aisle 18	Location 21
7	Aisle 11	Location 27
8	Aisle 2	Location 36
9	Aisle 2	Location 16
10	Aisle 12	Location 30
11	Aisle 8	Location 4
12	Aisle 3	Location 6
13	Aisle 17	Location 13
14	Aisle 19	Location 43
15	Aisle 11	Location 20
16	Aisle 3	Location 12
17	Aisle 4	Location 41
18	Aisle 10	Location 6
Order 5	number of articles 9
0	Aisle 4	Location 44
1	Aisle 7	Location 11
2	Aisle 1	Location 29
3	Aisle 0	Location 32
4	Aisle 11	Location 3
5	Aisle 18	Location 17
6	Aisle 16	Location 4
7	Aisle 18	Location 18
8	Aisle 3	Location 4
Order 6	number of articles 11
0	Aisle 7	Location 8
1	Aisle 7	Location 35
2	Aisle 16	Location 34
3	Aisle 12	Location 35
4	Aisle 8	Location 22
5	Aisle 13	Location 4
6	Aisle 11	Location 0
7	Aisle 8	Location 10
8	Aisle 0	Location 36
9	Aisle 15	Location 42
10	Aisle 13	Location 3
Order 7	number of articles 11
0	Aisle 4	Location 6
1	Aisle 1	Location 21
2	Aisle 3	Location 27
3	Aisle 19	Location 24
4	Aisle 18	Location 7
5	Aisle 10	Location 37
6	Aisle 9	Location 17
7	Aisle 4	Location 10
8	Aisle 12	Location 24
9	Aisle 14	Location 19
10	Aisle 19	Location 36
Order 8	number of articles 12
0	Aisle 17	Location 44
1	Aisle 9	Location 2
2	Aisle 13	Location 1
3	Aisle 1	Location 7
4	Aisle 6	Location 34
5	Aisle 16	Location 39
6	Aisle 1	Location 33
7	Aisle 8	Location 20
8	Aisle 14	Location 28
9	Aisle 4	Location 22
10	Aisle 14	Location 31
11	Aisle 3	Location 44
Order 9	number of articles 12
0	Aisle 8	Location 33
1	Aisle 10	Location 3
2	Aisle 16	Location 27
3	Aisle 9	Location 0
4	Aisle 8	Location 20
5	Aisle 5	Location 17
6	Aisle 1	Location 18
7	Aisle 12	Location 31
8	Aisle 15	Location 29
9	Aisle 17	Location 28
