no_aisles_: 10
no_cells__: 45
opgrade___: 1
cell_lengt: 1
cell_width: 1.5
aisle_widt: 2
dis_ais_wa: 1
no_aisle_a: 1
no_aisle_b: 3
no_aisle_c: 6
arrangemen: 1
routing___: s
type______: f
no_orders_: 100
a_p_or_mea: 15
a_p_or_var: 10
qntity_exp: 1
prop_cla_a: 52
prop_cla_b: 36
prop_cla_c: 12
no_instanc: 40
m_no_o_p_b: 500000
m_no_a_p_b: 45
m_ca_p_b__: 200000
no_of_work: 1
speed_move: 1
speed_pick: 1
art_capacy: 8808
empty_posi: 29363
chaotical_: 7447
26258,8419,7062,9399,
31513,19025,11903,29087,
27059,19404,23156,5075,
27428,151,15609,25810,
7355,21332,3705,4717,
12248,16247,28136,19416,
12971,1786,4007,17666,
22078,28755,21416,1058,
21942,8355,1746,11666,
25302,26160,21415,16865,
15300,1813,9764,548,
19984,26680,1768,28300,
2802,8317,12697,4926,
20691,19513,27268,5982,
3599,13546,22403,17005,
250,8485,24612,27606,
14625,24783,22791,2243,
15826,27024,32392,19509,
32222,6021,670,3412,
27805,26165,12803,26628,
28723,13767,29846,19384,
1298,28786,11517,27787,
15040,9268,15246,19085,
28123,25799,10352,17242,
25434,2513,14589,25074,
10517,7515,29803,24772,
24456,3716,23468,4620,
20691,31862,22674,8799,
30982,11674,10295,27012,
25500,1800,17564,15750,
581,6210,4496,31751,
24809,3873,20692,15831,
23273,10255,8572,26822,
13736,28279,3736,5046,
17482,24954,28948,28916,
30907,20708,10461,13000,
1523,1630,28997,7754,
30585,3813,21673,16504,
25126,14458,849,31110,
4652,6171,4503,21109,
