no_aisles_: 10
no_cells__: 45
opgrade___: 1
cell_lengt: 1
cell_width: 1.5
aisle_widt: 2
dis_ais_wa: 1
no_aisle_a: 1
no_aisle_b: 3
no_aisle_c: 6
arrangemen: 1
routing___: s
type______: f
no_orders_: 50
a_p_or_mea: 15
a_p_or_var: 10
qntity_exp: 1
prop_cla_a: 52
prop_cla_b: 36
prop_cla_c: 12
no_instanc: 40
m_no_o_p_b: 500000
m_no_a_p_b: 60
m_ca_p_b__: 200000
no_of_work: 1
speed_move: 1
speed_pick: 1
art_capacy: 17252
empty_posi: 28486
chaotical_: 31106
18646,2479,4058,25511,
13312,9125,9945,2629,
11924,21728,27527,352,
3863,8734,30392,18762,
13345,4327,5093,11113,
32273,2672,10367,21562,
4351,26048,9603,20118,
29426,23825,14159,17461,
23123,29305,10164,10096,
16546,1993,9804,10827,
3432,11702,27406,9906,
28013,28214,26399,23555,
10794,5677,30699,9677,
5505,16969,20597,4056,
23980,13098,3307,27493,
23924,11463,9342,18870,
15523,25869,11633,32721,
29883,17865,10095,6018,
3560,1479,16417,20895,
10292,23867,17920,7567,
9466,22881,15720,10765,
1181,4961,19438,29482,
19577,20085,28148,29073,
2330,16717,10875,20239,
16556,3763,14648,17491,
27059,12651,20201,1010,
14845,24413,1001,22190,
25044,10230,2306,19703,
1912,20939,7811,10674,
5836,15231,403,27194,
14671,17383,17349,4004,
2638,32109,16621,3400,
23384,12466,10033,124,
7411,29304,17763,5539,
16269,20670,5006,15975,
8373,23340,10702,7490,
22667,2738,6501,19011,
31605,19565,23564,21775,
9236,13258,19847,10278,
22903,6125,25468,12647,
