no_aisles_: 10
no_cells__: 45
opgrade___: 1
cell_lengt: 1
cell_width: 1.5
aisle_widt: 2
dis_ais_wa: 1
no_aisle_a: 1
no_aisle_b: 3
no_aisle_c: 6
arrangemen: 1
routing___: s
type______: f
no_orders_: 30
a_p_or_mea: 15
a_p_or_var: 10
qntity_exp: 1
prop_cla_a: 52
prop_cla_b: 36
prop_cla_c: 12
no_instanc: 40
m_no_o_p_b: 500000
m_no_a_p_b: 60
m_ca_p_b__: 200000
no_of_work: 1
speed_move: 1
speed_pick: 1
art_capacy: 16978
empty_posi: 28189
chaotical_: 22681
11586,6624,24425,19215,
30731,29507,17732,26037,
23737,23449,11363,9783,
14040,653,32469,9016,
1038,27259,917,23958,
81,25557,31840,14064,
21080,22469,21956,12646,
23631,9747,7546,23712,
1231,6730,13045,5138,
3085,15382,26171,29310,
16722,32497,30964,7866,
11435,5374,13760,21939,
225,26933,4558,21938,
27051,1217,3243,3806,
2595,25510,16983,15619,
16247,31911,25502,20113,
31713,103,2213,15592,
19929,5070,4548,14802,
26505,2478,2707,22097,
14977,24487,17224,1692,
31660,584,5184,10084,
9090,7286,32731,26715,
16000,30226,9869,16375,
8661,9686,16690,19571,
22623,6784,5538,17944,
23509,16179,6534,26298,
28230,16154,14186,27269,
10178,11342,27155,3578,
3159,3578,8722,11572,
15935,6589,10649,26736,
8279,7247,31374,29132,
31955,21864,15070,26703,
1072,19165,21268,25642,
14443,22284,21290,6205,
6257,30331,6558,11485,
8150,6332,28873,14293,
28361,30868,5741,30122,
11848,16220,24973,10276,
1168,30630,31361,15881,
11736,4900,22857,10284,
