Order 0	number of articles 19
0	Aisle 13	Location 25
1	Aisle 0	Location 22
2	Aisle 0	Location 21
3	Aisle 1	Location 5
4	Aisle 8	Location 16
5	Aisle 1	Location 20
6	Aisle 0	Location 30
7	Aisle 17	Location 41
8	Aisle 1	Location 37
9	Aisle 0	Location 25
10	Aisle 0	Location 29
11	Aisle 0	Location 3
12	Aisle 1	Location 43
13	Aisle 0	Location 16
14	Aisle 9	Location 23
15	Aisle 6	Location 27
16	Aisle 6	Location 20
17	Aisle 17	Location 3
18	Aisle 1	Location 27
Order 1	number of articles 9
0	Aisle 14	Location 18
1	Aisle 16	Location 22
2	Aisle 15	Location 2
3	Aisle 1	Location 27
4	Aisle 17	Location 10
5	Aisle 13	Location 38
6	Aisle 1	Location 25
7	Aisle 1	Location 9
8	Aisle 12	Location 10
Order 2	number of articles 17
0	Aisle 8	Location 10
1	Aisle 11	Location 39
2	Aisle 15	Location 9
3	Aisle 17	Location 36
4	Aisle 12	Location 16
5	Aisle 14	Location 13
6	Aisle 0	Location 39
7	Aisle 1	Location 22
8	Aisle 0	Location 17
9	Aisle 1	Location 42
10	Aisle 12	Location 25
11	Aisle 1	Location 15
12	Aisle 1	Location 18
13	Aisle 0	Location 37
14	Aisle 1	Location 16
15	Aisle 1	Location 44
16	Aisle 0	Location 24
Order 3	number of articles 21
0	Aisle 11	Location 33
1	Aisle 1	Location 5
2	Aisle 18	Location 27
3	Aisle 0	Location 12
4	Aisle 0	Location 38
5	Aisle 18	Location 9
6	Aisle 1	Location 2
7	Aisle 0	Location 10
8	Aisle 16	Location 37
9	Aisle 15	Location 30
10	Aisle 14	Location 38
11	Aisle 0	Location 5
12	Aisle 0	Location 20
13	Aisle 18	Location 30
14	Aisle 1	Location 19
15	Aisle 0	Location 27
16	Aisle 12	Location 10
17	Aisle 9	Location 43
18	Aisle 1	Location 28
19	Aisle 10	Location 10
20	Aisle 0	Location 42
Order 4	number of articles 21
0	Aisle 10	Location 23
1	Aisle 12	Location 31
2	Aisle 11	Location 36
3	Aisle 15	Location 6
4	Aisle 0	Location 35
5	Aisle 1	Location 15
6	Aisle 1	Location 4
7	Aisle 14	Location 3
8	Aisle 13	Location 16
9	Aisle 18	Location 9
10	Aisle 18	Location 19
11	Aisle 13	Location 20
12	Aisle 19	Location 40
13	Aisle 8	Location 31
14	Aisle 0	Location 13
15	Aisle 0	Location 28
16	Aisle 0	Location 36
17	Aisle 12	Location 35
18	Aisle 0	Location 37
19	Aisle 0	Location 31
20	Aisle 1	Location 29
Order 5	number of articles 14
0	Aisle 8	Location 31
1	Aisle 17	Location 1
2	Aisle 10	Location 39
3	Aisle 11	Location 38
4	Aisle 1	Location 18
5	Aisle 18	Location 37
6	Aisle 6	Location 8
7	Aisle 0	Location 4
8	Aisle 0	Location 9
9	Aisle 16	Location 30
10	Aisle 1	Location 43
11	Aisle 0	Location 40
12	Aisle 18	Location 18
13	Aisle 19	Location 31
Order 6	number of articles 8
0	Aisle 0	Location 20
1	Aisle 0	Location 37
2	Aisle 13	Location 8
3	Aisle 15	Location 25
4	Aisle 0	Location 3
5	Aisle 9	Location 25
6	Aisle 12	Location 0
7	Aisle 0	Location 17
Order 7	number of articles 12
0	Aisle 0	Location 8
1	Aisle 9	Location 18
2	Aisle 10	Location 27
3	Aisle 17	Location 31
4	Aisle 15	Location 40
5	Aisle 1	Location 37
6	Aisle 19	Location 6
7	Aisle 0	Location 35
