Order 0	number of articles 20
0	Aisle 0	Location 36
1	Aisle 11	Location 22
2	Aisle 17	Location 41
3	Aisle 4	Location 44
4	Aisle 15	Location 24
5	Aisle 5	Location 2
6	Aisle 7	Location 32
7	Aisle 4	Location 16
8	Aisle 2	Location 33
9	Aisle 9	Location 9
10	Aisle 12	Location 20
11	Aisle 10	Location 23
12	Aisle 0	Location 4
13	Aisle 11	Location 12
14	Aisle 17	Location 4
15	Aisle 13	Location 4
16	Aisle 11	Location 18
17	Aisle 7	Location 30
18	Aisle 16	Location 33
19	Aisle 14	Location 18
Order 1	number of articles 22
0	Aisle 1	Location 3
1	Aisle 13	Location 33
2	Aisle 0	Location 6
3	Aisle 8	Location 1
4	Aisle 8	Location 32
5	Aisle 0	Location 18
6	Aisle 11	Location 12
7	Aisle 4	Location 19
8	Aisle 14	Location 23
9	Aisle 12	Location 25
10	Aisle 19	Location 33
11	Aisle 0	Location 32
12	Aisle 19	Location 4
13	Aisle 3	Location 41
14	Aisle 10	Location 38
15	Aisle 11	Location 41
16	Aisle 19	Location 15
17	Aisle 9	Location 16
18	Aisle 18	Location 37
19	Aisle 11	Location 4
20	Aisle 5	Location 11
21	Aisle 14	Location 19
Order 2	number of articles 18
0	Aisle 16	Location 13
1	Aisle 8	Location 41
2	Aisle 2	Location 41
3	Aisle 0	Location 5
4	Aisle 9	Location 25
5	Aisle 5	Location 11
6	Aisle 13	Location 18
7	Aisle 4	Location 30
8	Aisle 0	Location 44
9	Aisle 17	Location 22
10	Aisle 5	Location 13
11	Aisle 18	Location 44
12	Aisle 13	Location 21
13	Aisle 14	Location 19
14	Aisle 11	Location 22
15	Aisle 7	Location 19
16	Aisle 3	Location 11
17	Aisle 17	Location 27
Order 3	number of articles 12
0	Aisle 9	Location 2
1	Aisle 2	Location 26
2	Aisle 8	Location 33
3	Aisle 0	Location 5
4	Aisle 14	Location 16
5	Aisle 4	Location 34
6	Aisle 17	Location 16
7	Aisle 15	Location 44
8	Aisle 3	Location 37
9	Aisle 6	Location 41
10	Aisle 8	Location 13
11	Aisle 10	Location 10
Order 4	number of articles 10
0	Aisle 17	Location 41
1	Aisle 17	Location 13
2	Aisle 10	Location 39
3	Aisle 18	Location 38
4	Aisle 3	Location 40
5	Aisle 19	Location 8
6	Aisle 3	Location 21
7	Aisle 17	Location 33
8	Aisle 4	Location 29
9	Aisle 8	Location 14
Order 5	number of articles 13
0	Aisle 4	Location 1
1	Aisle 9	Location 25
2	Aisle 11	Location 5
3	Aisle 12	Location 24
4	Aisle 12	Location 32
5	Aisle 13	Location 12
6	Aisle 12	Location 42
7	Aisle 19	Location 4
8	Aisle 4	Location 40
9	Aisle 1	Location 7
10	Aisle 11	Location 41
11	Aisle 19	Location 27
12	Aisle 12	Location 18
Order 6	number of articles 24
0	Aisle 10	Location 6
1	Aisle 5	Location 28
2	Aisle 5	Location 30
3	Aisle 17	Location 7
4	Aisle 15	Location 26
5	Aisle 19	Location 24
6	Aisle 10	Location 19
7	Aisle 13	Location 3
8	Aisle 17	Location 28
9	Aisle 12	Location 33
10	Aisle 7	Location 33
11	Aisle 19	Location 9
12	Aisle 4	Location 30
13	Aisle 19	Location 34
14	Aisle 13	Location 18
15	Aisle 1	Location 38
16	Aisle 5	Location 7
17	Aisle 16	Location 29
18	Aisle 16	Location 21
19	Aisle 13	Location 37
20	Aisle 7	Location 25
21	Aisle 9	Location 34
22	Aisle 18	Location 25
23	Aisle 6	Location 35
Order 7	number of articles 18
0	Aisle 8	Location 16
1	Aisle 13	Location 38
2	Aisle 4	Location 2
3	Aisle 11	Location 13
4	Aisle 14	Location 41
5	Aisle 8	Location 1
6	Aisle 14	Location 7
7	Aisle 1	Location 22
8	Aisle 15	Location 34
9	Aisle 5	Location 8
10	Aisle 16	Location 41
11	Aisle 3	Location 29
12	Aisle 4	Location 40
13	Aisle 19	Location 31
14	Aisle 13	Location 36
15	Aisle 4	Location 39
16	Aisle 10	Location 37
17	Aisle 14	Location 28
Order 8	number of articles 10
0	Aisle 11	Location 33
1	Aisle 19	Location 3
2	Aisle 0	Location 27
3	Aisle 7	Location 6
4	Aisle 17	Location 40
5	Aisle 1	Location 31
6	Aisle 14	Location 13
7	Aisle 19	Location 13
8	Aisle 6	Location 9
9	Aisle 11	Location 37
Order 9	number of articles 7
0	Aisle 17	Location 2
1	Aisle 17	Location 30
2	Aisle 19	Location 8
3	Aisle 0	Location 29
4	Aisle 15	Location 26
5	Aisle 19	Location 42
6	Aisle 17	Location 18
Order 10	number of articles 17
0	Aisle 4	Location 30
1	Aisle 0	Location 24
2	Aisle 19	Location 10
3	Aisle 18	Location 38
4	Aisle 17	Location 26
5	Aisle 17	Location 9
6	Aisle 19	Location 43
7	Aisle 4	Location 6
8	Aisle 3	Location 19
9	Aisle 16	Location 14
10	Aisle 4	Location 4
11	Aisle 10	Location 28
12	Aisle 4	Location 3
