Order 0	number of articles 17
0	Aisle 19	Location 24
1	Aisle 11	Location 30
2	Aisle 16	Location 29
3	Aisle 6	Location 21
4	Aisle 1	Location 40
5	Aisle 3	Location 41
6	Aisle 19	Location 8
7	Aisle 13	Location 31
8	Aisle 4	Location 34
9	Aisle 5	Location 22
10	Aisle 11	Location 44
11	Aisle 3	Location 1
12	Aisle 9	Location 26
13	Aisle 0	Location 30
14	Aisle 0	Location 40
15	Aisle 17	Location 23
16	Aisle 12	Location 5
Order 1	number of articles 18
0	Aisle 13	Location 42
1	Aisle 5	Location 0
2	Aisle 15	Location 38
3	Aisle 15	Location 19
4	Aisle 6	Location 10
5	Aisle 18	Location 8
6	Aisle 16	Location 11
7	Aisle 1	Location 26
8	Aisle 18	Location 28
9	Aisle 6	Location 21
10	Aisle 0	Location 26
11	Aisle 5	Location 4
12	Aisle 19	Location 15
13	Aisle 1	Location 43
14	Aisle 16	Location 35
15	Aisle 6	Location 37
16	Aisle 19	Location 36
17	Aisle 12	Location 38
Order 2	number of articles 19
0	Aisle 6	Location 7
1	Aisle 4	Location 33
2	Aisle 19	Location 24
3	Aisle 14	Location 18
4	Aisle 16	Location 23
5	Aisle 15	Location 0
6	Aisle 8	Location 9
7	Aisle 8	Location 10
8	Aisle 19	Location 37
9	Aisle 7	Location 25
10	Aisle 1	Location 9
11	Aisle 17	Location 14
12	Aisle 18	Location 1
13	Aisle 10	Location 15
14	Aisle 16	Location 26
15	Aisle 0	Location 13
16	Aisle 17	Location 26
17	Aisle 2	Location 34
18	Aisle 10	Location 34
Order 3	number of articles 16
0	Aisle 16	Location 2
1	Aisle 11	Location 30
2	Aisle 13	Location 5
3	Aisle 7	Location 19
4	Aisle 15	Location 44
5	Aisle 9	Location 30
6	Aisle 11	Location 31
7	Aisle 3	Location 17
8	Aisle 8	Location 19
9	Aisle 2	Location 28
10	Aisle 15	Location 22
11	Aisle 11	Location 13
12	Aisle 2	Location 13
13	Aisle 9	Location 28
14	Aisle 5	Location 9
15	Aisle 14	Location 12
Order 4	number of articles 7
0	Aisle 14	Location 18
1	Aisle 12	Location 33
2	Aisle 0	Location 7
3	Aisle 5	Location 21
4	Aisle 3	Location 25
5	Aisle 11	Location 33
6	Aisle 17	Location 9
Order 5	number of articles 20
0	Aisle 12	Location 33
1	Aisle 3	Location 20
2	Aisle 5	Location 27
3	Aisle 6	Location 16
4	Aisle 4	Location 32
5	Aisle 19	Location 35
6	Aisle 8	Location 10
7	Aisle 12	Location 11
8	Aisle 6	Location 15
9	Aisle 18	Location 31
10	Aisle 8	Location 36
11	Aisle 8	Location 6
12	Aisle 13	Location 10
13	Aisle 9	Location 14
14	Aisle 11	Location 36
15	Aisle 7	Location 31
16	Aisle 7	Location 9
17	Aisle 0	Location 25
18	Aisle 17	Location 0
19	Aisle 14	Location 33
Order 6	number of articles 5
0	Aisle 11	Location 36
1	Aisle 7	Location 24
2	Aisle 8	Location 9
3	Aisle 6	Location 43
4	Aisle 11	Location 37
Order 7	number of articles 5
0	Aisle 6	Location 29
1	Aisle 12	Location 30
2	Aisle 12	Location 9
3	Aisle 9	Location 20
4	Aisle 10	Location 26
Order 8	number of articles 8
