Order 0	number of articles 8
0	Aisle 2	Location 35
1	Aisle 10	Location 8
2	Aisle 10	Location 32
3	Aisle 0	Location 29
4	Aisle 7	Location 10
5	Aisle 1	Location 16
6	Aisle 12	Location 28
7	Aisle 9	Location 37
Order 1	number of articles 21
0	Aisle 15	Location 32
1	Aisle 4	Location 12
2	Aisle 3	Location 18
3	Aisle 15	Location 9
4	Aisle 12	Location 5
5	Aisle 2	Location 39
6	Aisle 17	Location 26
7	Aisle 16	Location 26
8	Aisle 5	Location 12
9	Aisle 17	Location 34
10	Aisle 15	Location 19
11	Aisle 10	Location 30
12	Aisle 4	Location 25
13	Aisle 14	Location 22
14	Aisle 15	Location 15
15	Aisle 13	Location 26
16	Aisle 0	Location 1
17	Aisle 17	Location 40
18	Aisle 9	Location 14
19	Aisle 15	Location 2
20	Aisle 18	Location 12
Order 2	number of articles 21
0	Aisle 10	Location 37
1	Aisle 6	Location 36
2	Aisle 1	Location 6
3	Aisle 3	Location 23
4	Aisle 9	Location 0
5	Aisle 3	Location 18
6	Aisle 13	Location 35
7	Aisle 15	Location 4
8	Aisle 13	Location 42
9	Aisle 0	Location 8
10	Aisle 14	Location 27
11	Aisle 6	Location 30
12	Aisle 13	Location 25
13	Aisle 0	Location 33
14	Aisle 0	Location 18
15	Aisle 6	Location 14
16	Aisle 11	Location 44
17	Aisle 1	Location 44
18	Aisle 9	Location 19
19	Aisle 3	Location 13
20	Aisle 11	Location 16
Order 3	number of articles 10
0	Aisle 11	Location 26
1	Aisle 6	Location 8
2	Aisle 5	Location 12
3	Aisle 15	Location 24
4	Aisle 6	Location 10
5	Aisle 9	Location 17
6	Aisle 14	Location 34
7	Aisle 9	Location 8
8	Aisle 1	Location 40
9	Aisle 6	Location 6
Order 4	number of articles 7
0	Aisle 18	Location 31
1	Aisle 6	Location 37
2	Aisle 11	Location 22
3	Aisle 17	Location 36
4	Aisle 6	Location 26
5	Aisle 16	Location 2
6	Aisle 9	Location 28
Order 5	number of articles 16
0	Aisle 16	Location 28
1	Aisle 10	Location 16
2	Aisle 14	Location 30
3	Aisle 1	Location 27
4	Aisle 16	Location 35
5	Aisle 7	Location 16
6	Aisle 2	Location 43
7	Aisle 12	Location 32
8	Aisle 2	Location 36
9	Aisle 3	Location 35
10	Aisle 8	Location 8
11	Aisle 1	Location 40
12	Aisle 15	Location 11
13	Aisle 2	Location 23
14	Aisle 13	Location 18
15	Aisle 18	Location 2
Order 6	number of articles 15
0	Aisle 15	Location 22
1	Aisle 10	Location 8
2	Aisle 2	Location 39
3	Aisle 9	Location 25
4	Aisle 10	Location 40
5	Aisle 2	Location 10
6	Aisle 3	Location 6
7	Aisle 10	Location 23
8	Aisle 12	Location 29
9	Aisle 2	Location 19
10	Aisle 17	Location 5
11	Aisle 6	Location 18
12	Aisle 12	Location 42
13	Aisle 12	Location 6
14	Aisle 12	Location 17
Order 7	number of articles 17
0	Aisle 5	Location 38
1	Aisle 14	Location 39
2	Aisle 3	Location 31
3	Aisle 4	Location 25
4	Aisle 11	Location 9
5	Aisle 9	Location 7
6	Aisle 14	Location 1
7	Aisle 14	Location 41
8	Aisle 16	Location 3
9	Aisle 13	Location 15
10	Aisle 16	Location 36
11	Aisle 13	Location 41
12	Aisle 4	Location 11
13	Aisle 9	Location 1
14	Aisle 6	Location 43
15	Aisle 3	Location 32
16	Aisle 13	Location 31
Order 8	number of articles 14
0	Aisle 15	Location 34
1	Aisle 6	Location 14
2	Aisle 4	Location 3
3	Aisle 18	Location 1
4	Aisle 13	Location 2
5	Aisle 12	Location 25
6	Aisle 8	Location 30
7	Aisle 12	Location 38
8	Aisle 11	Location 18
9	Aisle 8	Location 9
10	Aisle 6	Location 28
11	Aisle 3	Location 13
12	Aisle 7	Location 2
13	Aisle 1	Location 35
Order 9	number of articles 23
0	Aisle 10	Location 44
1	Aisle 8	Location 36
2	Aisle 19	Location 15
3	Aisle 0	Location 20
4	Aisle 1	Location 42
5	Aisle 4	Location 31
6	Aisle 1	Location 9
7	Aisle 11	Location 17
8	Aisle 8	Location 19
9	Aisle 16	Location 26
10	Aisle 13	Location 11
11	Aisle 15	Location 30
12	Aisle 9	Location 16
13	Aisle 12	Location 17
14	Aisle 2	Location 11
15	Aisle 6	Location 34
16	Aisle 0	Location 11
17	Aisle 4	Location 20
18	Aisle 10	Location 28
19	Aisle 3	Location 12
20	Aisle 1	Location 22
21	Aisle 5	Location 39
22	Aisle 7	Location 22
Order 10	number of articles 16
0	Aisle 1	Location 41
1	Aisle 3	Location 25
2	Aisle 11	Location 2
3	Aisle 4	Location 39
4	Aisle 0	Location 18
5	Aisle 16	Location 36
6	Aisle 1	Location 40
7	Aisle 11	Location 8
8	Aisle 2	Location 2
9	Aisle 15	Location 18
10	Aisle 18	Location 22
11	Aisle 3	Location 42
12	Aisle 7	Location 19
13	Aisle 12	Location 1
14	Aisle 14	Location 41
15	Aisle 0	Location 5
Order 11	number of articles 17
0	Aisle 3	Location 13
1	Aisle 0	Location 43
2	Aisle 13	Location 6
3	Aisle 16	Location 9
4	Aisle 17	Location 44
5	Aisle 15	Location 19
6	Aisle 10	Location 34
7	Aisle 10	Location 20
8	Aisle 8	Location 0
9	Aisle 6	Location 28
10	Aisle 6	Location 34
11	Aisle 2	Location 22
12	Aisle 3	Location 1
13	Aisle 17	Location 30
14	Aisle 1	Location 35
15	Aisle 15	Location 23
16	Aisle 11	Location 30
Order 12	number of articles 7
0	Aisle 11	Location 11
1	Aisle 18	Location 29
2	Aisle 14	Location 37
3	Aisle 1	Location 18
4	Aisle 18	Location 17
5	Aisle 16	Location 12
6	Aisle 1	Location 28
Order 13	number of articles 11
0	Aisle 1	Location 6
1	Aisle 19	Location 30
2	Aisle 9	Location 44
3	Aisle 0	Location 14
4	Aisle 16	Location 31
5	Aisle 0	Location 26
6	Aisle 2	Location 11
7	Aisle 6	Location 37
8	Aisle 18	Location 4
9	Aisle 18	Location 5
10	Aisle 9	Location 32
Order 14	number of articles 9
0	Aisle 18	Location 4
1	Aisle 6	Location 24
2	Aisle 6	Location 17
3	Aisle 0	Location 5
4	Aisle 1	Location 32
5	Aisle 3	Location 8
6	Aisle 5	Location 42
7	Aisle 19	Location 31
8	Aisle 10	Location 26
Order 15	number of articles 5
0	Aisle 13	Location 32
1	Aisle 8	Location 35
2	Aisle 9	Location 32
3	Aisle 18	Location 8
4	Aisle 12	Location 16
Order 16	number of articles 11
0	Aisle 15	Location 36
1	Aisle 2	Location 13
2	Aisle 15	Location 2
3	Aisle 0	Location 40
4	Aisle 2	Location 39
5	Aisle 16	Location 27
6	Aisle 16	Location 20
7	Aisle 13	Location 0
8	Aisle 0	Location 24
9	Aisle 11	Location 1
10	Aisle 5	Location 19
Order 17	number of articles 6
0	Aisle 17	Location 32
1	Aisle 0	Location 19
2	Aisle 12	Location 11
3	Aisle 18	Location 20
4	Aisle 10	Location 24
5	Aisle 3	Location 20
Order 18	number of articles 12
0	Aisle 3	Location 30
1	Aisle 18	Location 28
2	Aisle 13	Location 5
3	Aisle 12	Location 5
4	Aisle 5	Location 16
5	Aisle 14	Location 2
6	Aisle 12	Location 30
7	Aisle 4	Location 14
8	Aisle 11	Location 42
9	Aisle 11	Location 3
10	Aisle 4	Location 12
11	Aisle 6	Location 41
Order 19	number of articles 16
0	Aisle 6	Location 26
1	Aisle 6	Location 9
2	Aisle 8	Location 5
3	Aisle 16	Location 7
4	Aisle 11	Location 10
5	Aisle 10	Location 34
6	Aisle 12	Location 30
