Order 0	number of articles 5
0	Aisle 5	Location 1
1	Aisle 1	Location 9
2	Aisle 0	Location 40
3	Aisle 5	Location 23
4	Aisle 11	Location 19
Order 1	number of articles 6
0	Aisle 13	Location 2
1	Aisle 19	Location 12
2	Aisle 11	Location 41
3	Aisle 6	Location 24
4	Aisle 15	Location 24
5	Aisle 11	Location 11
Order 2	number of articles 7
0	Aisle 8	Location 21
1	Aisle 6	Location 27
2	Aisle 12	Location 29
3	Aisle 5	Location 40
4	Aisle 15	Location 24
5	Aisle 18	Location 10
6	Aisle 18	Location 11
Order 3	number of articles 12
0	Aisle 1	Location 23
1	Aisle 15	Location 6
2	Aisle 8	Location 17
3	Aisle 2	Location 29
4	Aisle 6	Location 18
5	Aisle 14	Location 9
6	Aisle 13	Location 10
7	Aisle 14	Location 34
8	Aisle 14	Location 39
9	Aisle 8	Location 0
10	Aisle 18	Location 28
11	Aisle 9	Location 10
Order 4	number of articles 24
0	Aisle 6	Location 24
1	Aisle 8	Location 4
2	Aisle 4	Location 33
3	Aisle 16	Location 26
4	Aisle 12	Location 22
5	Aisle 11	Location 15
6	Aisle 10	Location 23
7	Aisle 4	Location 2
8	Aisle 17	Location 6
9	Aisle 17	Location 22
10	Aisle 0	Location 35
11	Aisle 12	Location 0
12	Aisle 15	Location 10
13	Aisle 16	Location 24
14	Aisle 12	Location 37
15	Aisle 4	Location 13
16	Aisle 4	Location 23
17	Aisle 18	Location 19
18	Aisle 7	Location 36
19	Aisle 3	Location 41
20	Aisle 18	Location 13
21	Aisle 2	Location 12
22	Aisle 16	Location 27
23	Aisle 2	Location 2
Order 5	number of articles 6
0	Aisle 14	Location 27
1	Aisle 18	Location 34
2	Aisle 14	Location 3
3	Aisle 0	Location 16
4	Aisle 17	Location 23
5	Aisle 16	Location 30
Order 6	number of articles 19
0	Aisle 3	Location 22
1	Aisle 16	Location 43
2	Aisle 10	Location 17
3	Aisle 6	Location 7
4	Aisle 19	Location 29
5	Aisle 9	Location 3
6	Aisle 7	Location 17
7	Aisle 19	Location 20
8	Aisle 1	Location 15
9	Aisle 6	Location 15
10	Aisle 10	Location 21
11	Aisle 19	Location 36
12	Aisle 6	Location 30
13	Aisle 3	Location 5
14	Aisle 16	Location 13
15	Aisle 4	Location 10
16	Aisle 16	Location 31
17	Aisle 15	Location 28
18	Aisle 13	Location 44
Order 7	number of articles 6
0	Aisle 4	Location 22
1	Aisle 15	Location 17
2	Aisle 13	Location 41
3	Aisle 12	Location 25
4	Aisle 0	Location 16
5	Aisle 0	Location 9
Order 8	number of articles 11
0	Aisle 15	Location 32
1	Aisle 5	Location 27
2	Aisle 3	Location 23
3	Aisle 7	Location 43
4	Aisle 1	Location 2
5	Aisle 13	Location 24
6	Aisle 6	Location 20
7	Aisle 2	Location 44
8	Aisle 8	Location 32
9	Aisle 14	Location 11
10	Aisle 10	Location 22
Order 9	number of articles 7
0	Aisle 3	Location 6
1	Aisle 13	Location 33
2	Aisle 11	Location 29
3	Aisle 10	Location 19
4	Aisle 3	Location 22
5	Aisle 17	Location 25
6	Aisle 0	Location 42
Order 10	number of articles 7
0	Aisle 11	Location 19
1	Aisle 5	Location 36
2	Aisle 4	Location 8
3	Aisle 10	Location 31
4	Aisle 0	Location 33
5	Aisle 8	Location 29
6	Aisle 19	Location 10
Order 11	number of articles 9
0	Aisle 4	Location 30
1	Aisle 1	Location 29
2	Aisle 2	Location 42
3	Aisle 11	Location 28
4	Aisle 7	Location 32
5	Aisle 11	Location 12
6	Aisle 10	Location 19
7	Aisle 2	Location 34
8	Aisle 4	Location 17
Order 12	number of articles 15
0	Aisle 18	Location 17
1	Aisle 19	Location 4
2	Aisle 9	Location 44
3	Aisle 8	Location 20
4	Aisle 19	Location 41
5	Aisle 15	Location 12
6	Aisle 0	Location 9
7	Aisle 3	Location 34
8	Aisle 9	Location 11
9	Aisle 17	Location 34
10	Aisle 4	Location 42
11	Aisle 7	Location 39
12	Aisle 5	Location 24
13	Aisle 6	Location 43
14	Aisle 6	Location 37
Order 13	number of articles 19
0	Aisle 13	Location 38
1	Aisle 2	Location 33
2	Aisle 0	Location 6
3	Aisle 1	Location 11
4	Aisle 19	Location 2
5	Aisle 5	Location 2
6	Aisle 10	Location 15
7	Aisle 4	Location 2
8	Aisle 16	Location 21
9	Aisle 4	Location 10
10	Aisle 4	Location 29
11	Aisle 6	Location 1
12	Aisle 0	Location 24
13	Aisle 3	Location 41
14	Aisle 19	Location 35
15	Aisle 15	Location 22
16	Aisle 19	Location 18
17	Aisle 18	Location 7
18	Aisle 16	Location 13
Order 14	number of articles 16
0	Aisle 6	Location 11
1	Aisle 6	Location 4
2	Aisle 1	Location 31
3	Aisle 12	Location 6
4	Aisle 15	Location 37
5	Aisle 7	Location 16
6	Aisle 18	Location 24
7	Aisle 5	Location 27
8	Aisle 2	Location 2
9	Aisle 3	Location 4
10	Aisle 7	Location 37
11	Aisle 3	Location 12
12	Aisle 2	Location 37
13	Aisle 19	Location 40
14	Aisle 18	Location 0
15	Aisle 4	Location 13
Order 15	number of articles 19
