Order 0	number of articles 10
0	Aisle 18	Location 13
1	Aisle 6	Location 34
2	Aisle 7	Location 9
3	Aisle 0	Location 17
4	Aisle 19	Location 18
5	Aisle 17	Location 37
6	Aisle 13	Location 16
7	Aisle 12	Location 17
8	Aisle 11	Location 25
9	Aisle 7	Location 43
Order 1	number of articles 7
0	Aisle 12	Location 17
1	Aisle 8	Location 3
2	Aisle 10	Location 8
3	Aisle 14	Location 24
4	Aisle 5	Location 22
5	Aisle 3	Location 36
6	Aisle 0	Location 6
Order 2	number of articles 5
0	Aisle 11	Location 22
1	Aisle 10	Location 10
2	Aisle 19	Location 29
3	Aisle 7	Location 24
4	Aisle 9	Location 38
Order 3	number of articles 13
0	Aisle 19	Location 4
1	Aisle 18	Location 0
2	Aisle 4	Location 13
3	Aisle 19	Location 29
4	Aisle 8	Location 10
5	Aisle 18	Location 10
6	Aisle 14	Location 5
7	Aisle 16	Location 44
8	Aisle 10	Location 13
9	Aisle 13	Location 16
10	Aisle 2	Location 11
11	Aisle 16	Location 43
12	Aisle 17	Location 43
Order 4	number of articles 15
0	Aisle 12	Location 7
1	Aisle 15	Location 30
2	Aisle 5	Location 2
3	Aisle 4	Location 30
4	Aisle 8	Location 1
5	Aisle 12	Location 20
6	Aisle 4	Location 4
7	Aisle 3	Location 13
8	Aisle 18	Location 7
9	Aisle 6	Location 4
10	Aisle 2	Location 29
11	Aisle 10	Location 3
12	Aisle 19	Location 24
13	Aisle 8	Location 14
14	Aisle 19	Location 8
Order 5	number of articles 17
0	Aisle 10	Location 21
1	Aisle 18	Location 15
2	Aisle 5	Location 42
3	Aisle 11	Location 8
4	Aisle 7	Location 15
5	Aisle 15	Location 10
6	Aisle 3	Location 17
7	Aisle 19	Location 25
8	Aisle 2	Location 27
9	Aisle 14	Location 5
10	Aisle 0	Location 28
11	Aisle 5	Location 21
12	Aisle 15	Location 22
13	Aisle 6	Location 44
14	Aisle 9	Location 38
15	Aisle 1	Location 33
16	Aisle 18	Location 9
Order 6	number of articles 8
0	Aisle 4	Location 23
1	Aisle 4	Location 9
2	Aisle 17	Location 38
3	Aisle 15	Location 22
4	Aisle 8	Location 6
5	Aisle 12	Location 11
6	Aisle 17	Location 25
7	Aisle 14	Location 43
Order 7	number of articles 18
0	Aisle 18	Location 3
1	Aisle 7	Location 8
2	Aisle 11	Location 4
3	Aisle 11	Location 43
4	Aisle 5	Location 13
5	Aisle 4	Location 23
6	Aisle 2	Location 15
7	Aisle 11	Location 25
8	Aisle 16	Location 34
9	Aisle 1	Location 13
10	Aisle 10	Location 11
11	Aisle 2	Location 18
12	Aisle 0	Location 44
13	Aisle 7	Location 21
14	Aisle 7	Location 11
15	Aisle 19	Location 43
16	Aisle 18	Location 9
17	Aisle 3	Location 19
Order 8	number of articles 14
0	Aisle 7	Location 20
1	Aisle 18	Location 7
2	Aisle 12	Location 33
3	Aisle 3	Location 31
4	Aisle 14	Location 14
5	Aisle 17	Location 5
6	Aisle 3	Location 40
7	Aisle 13	Location 30
8	Aisle 11	Location 5
9	Aisle 13	Location 24
10	Aisle 4	Location 22
11	Aisle 9	Location 26
12	Aisle 6	Location 16
13	Aisle 10	Location 11
Order 9	number of articles 23
0	Aisle 6	Location 28
1	Aisle 16	Location 39
2	Aisle 4	Location 39
3	Aisle 19	Location 0
4	Aisle 16	Location 33
5	Aisle 11	Location 29
6	Aisle 17	Location 35
7	Aisle 13	Location 20
8	Aisle 8	Location 14
9	Aisle 10	Location 27
10	Aisle 12	Location 2
11	Aisle 16	Location 44
12	Aisle 11	Location 4
13	Aisle 2	Location 17
14	Aisle 7	Location 9
15	Aisle 3	Location 2
16	Aisle 18	Location 22
17	Aisle 7	Location 4
18	Aisle 16	Location 8
19	Aisle 14	Location 42
20	Aisle 0	Location 15
21	Aisle 3	Location 28
22	Aisle 7	Location 32
Order 10	number of articles 6
0	Aisle 19	Location 13
1	Aisle 0	Location 26
2	Aisle 18	Location 10
3	Aisle 7	Location 16
4	Aisle 1	Location 43
5	Aisle 0	Location 32
Order 11	number of articles 10
0	Aisle 14	Location 25
1	Aisle 14	Location 17
2	Aisle 19	Location 25
3	Aisle 16	Location 33
4	Aisle 19	Location 33
5	Aisle 0	Location 31
6	Aisle 6	Location 43
7	Aisle 2	Location 25
8	Aisle 1	Location 33
9	Aisle 6	Location 1
Order 12	number of articles 14
0	Aisle 17	Location 17
1	Aisle 0	Location 14
2	Aisle 18	Location 9
3	Aisle 18	Location 36
4	Aisle 16	Location 26
5	Aisle 5	Location 5
6	Aisle 0	Location 16
7	Aisle 12	Location 24
8	Aisle 11	Location 41
9	Aisle 6	Location 24
10	Aisle 6	Location 28
11	Aisle 1	Location 0
12	Aisle 4	Location 41
13	Aisle 5	Location 10
Order 13	number of articles 6
0	Aisle 11	Location 4
1	Aisle 0	Location 5
2	Aisle 19	Location 31
3	Aisle 17	Location 28
4	Aisle 9	Location 11
5	Aisle 10	Location 3
Order 14	number of articles 20
0	Aisle 10	Location 5
1	Aisle 12	Location 15
2	Aisle 6	Location 28
3	Aisle 9	Location 17
4	Aisle 16	Location 41
5	Aisle 3	Location 39
6	Aisle 16	Location 5
7	Aisle 3	Location 18
8	Aisle 3	Location 19
9	Aisle 3	Location 7
10	Aisle 19	Location 18
11	Aisle 0	Location 25
12	Aisle 0	Location 44
13	Aisle 1	Location 36
14	Aisle 15	Location 32
15	Aisle 10	Location 19
16	Aisle 9	Location 26
17	Aisle 9	Location 24
18	Aisle 18	Location 39
19	Aisle 18	Location 23
Order 15	number of articles 23
0	Aisle 7	Location 6
1	Aisle 5	Location 44
2	Aisle 18	Location 4
3	Aisle 14	Location 9
4	Aisle 5	Location 31
5	Aisle 7	Location 42
6	Aisle 5	Location 30
7	Aisle 10	Location 14
8	Aisle 2	Location 25
9	Aisle 5	Location 11
10	Aisle 16	Location 35
11	Aisle 8	Location 32
12	Aisle 2	Location 4
13	Aisle 1	Location 40
14	Aisle 11	Location 23
15	Aisle 8	Location 12
16	Aisle 0	Location 31
17	Aisle 1	Location 9
18	Aisle 1	Location 20
19	Aisle 2	Location 31
20	Aisle 4	Location 1
21	Aisle 7	Location 19
22	Aisle 13	Location 29
Order 16	number of articles 14
0	Aisle 3	Location 14
1	Aisle 15	Location 33
2	Aisle 5	Location 10
3	Aisle 12	Location 28
4	Aisle 0	Location 20
5	Aisle 17	Location 5
6	Aisle 11	Location 12
7	Aisle 4	Location 21
8	Aisle 18	Location 10
9	Aisle 13	Location 17
10	Aisle 9	Location 27
11	Aisle 18	Location 6
12	Aisle 16	Location 34
13	Aisle 11	Location 23
Order 17	number of articles 23
0	Aisle 19	Location 7
1	Aisle 9	Location 26
2	Aisle 7	Location 11
3	Aisle 5	Location 0
4	Aisle 14	Location 24
5	Aisle 2	Location 40
6	Aisle 10	Location 22
7	Aisle 16	Location 16
8	Aisle 17	Location 23
9	Aisle 9	Location 5
10	Aisle 17	Location 20
11	Aisle 6	Location 6
12	Aisle 1	Location 18
13	Aisle 0	Location 15
14	Aisle 11	Location 7
15	Aisle 15	Location 23
16	Aisle 7	Location 27
17	Aisle 10	Location 4
18	Aisle 16	Location 11
19	Aisle 9	Location 11
20	Aisle 10	Location 5
21	Aisle 0	Location 34
22	Aisle 11	Location 14
Order 18	number of articles 12
0	Aisle 14	Location 24
1	Aisle 10	Location 10
2	Aisle 10	Location 28
3	Aisle 5	Location 14
4	Aisle 9	Location 11
5	Aisle 7	Location 26
6	Aisle 11	Location 37
7	Aisle 19	Location 0
8	Aisle 1	Location 8
9	Aisle 2	Location 44
10	Aisle 11	Location 20
11	Aisle 7	Location 22
Order 19	number of articles 13
0	Aisle 6	Location 29
1	Aisle 16	Location 13
2	Aisle 18	Location 13
3	Aisle 15	Location 36
4	Aisle 15	Location 25
5	Aisle 4	Location 29
6	Aisle 8	Location 25
7	Aisle 6	Location 38
8	Aisle 1	Location 33
9	Aisle 12	Location 22
10	Aisle 4	Location 13
11	Aisle 10	Location 13
12	Aisle 1	Location 16
