Order 0	number of articles 17
0	Aisle 4	Location 26
1	Aisle 11	Location 32
2	Aisle 6	Location 31
3	Aisle 7	Location 6
4	Aisle 14	Location 43
5	Aisle 3	Location 12
6	Aisle 12	Location 32
7	Aisle 10	Location 12
8	Aisle 11	Location 16
9	Aisle 1	Location 8
10	Aisle 19	Location 38
11	Aisle 3	Location 42
12	Aisle 12	Location 27
13	Aisle 18	Location 11
14	Aisle 8	Location 42
15	Aisle 16	Location 31
16	Aisle 8	Location 35
Order 1	number of articles 5
0	Aisle 8	Location 10
1	Aisle 17	Location 12
2	Aisle 14	Location 42
3	Aisle 17	Location 21
4	Aisle 9	Location 4
Order 2	number of articles 16
0	Aisle 17	Location 0
1	Aisle 5	Location 13
2	Aisle 18	Location 28
3	Aisle 7	Location 25
4	Aisle 6	Location 25
5	Aisle 19	Location 11
6	Aisle 16	Location 38
7	Aisle 10	Location 44
8	Aisle 16	Location 15
9	Aisle 10	Location 35
10	Aisle 9	Location 41
11	Aisle 12	Location 41
12	Aisle 13	Location 17
13	Aisle 0	Location 22
14	Aisle 1	Location 23
15	Aisle 7	Location 42
Order 3	number of articles 11
0	Aisle 19	Location 28
1	Aisle 13	Location 39
2	Aisle 10	Location 6
3	Aisle 17	Location 8
4	Aisle 3	Location 23
5	Aisle 17	Location 6
6	Aisle 5	Location 21
7	Aisle 11	Location 35
8	Aisle 5	Location 10
9	Aisle 3	Location 2
10	Aisle 1	Location 34
Order 4	number of articles 17
0	Aisle 13	Location 1
1	Aisle 1	Location 37
2	Aisle 9	Location 35
3	Aisle 0	Location 41
4	Aisle 15	Location 38
5	Aisle 2	Location 40
6	Aisle 16	Location 37
7	Aisle 6	Location 6
8	Aisle 3	Location 9
9	Aisle 10	Location 39
10	Aisle 19	Location 10
11	Aisle 12	Location 27
12	Aisle 17	Location 43
13	Aisle 16	Location 11
14	Aisle 4	Location 14
15	Aisle 10	Location 27
16	Aisle 1	Location 35
Order 5	number of articles 14
0	Aisle 4	Location 4
1	Aisle 19	Location 40
2	Aisle 7	Location 17
3	Aisle 11	Location 35
4	Aisle 5	Location 41
5	Aisle 3	Location 36
6	Aisle 15	Location 23
7	Aisle 0	Location 26
8	Aisle 16	Location 31
9	Aisle 2	Location 38
10	Aisle 0	Location 9
11	Aisle 15	Location 38
12	Aisle 12	Location 33
13	Aisle 13	Location 44
Order 6	number of articles 16
0	Aisle 9	Location 11
1	Aisle 17	Location 25
2	Aisle 11	Location 31
3	Aisle 11	Location 13
4	Aisle 13	Location 18
5	Aisle 10	Location 35
6	Aisle 8	Location 30
7	Aisle 12	Location 34
8	Aisle 4	Location 5
9	Aisle 13	Location 6
10	Aisle 16	Location 22
11	Aisle 10	Location 26
12	Aisle 18	Location 22
13	Aisle 18	Location 1
14	Aisle 16	Location 11
15	Aisle 11	Location 27
Order 7	number of articles 16
0	Aisle 18	Location 41
1	Aisle 5	Location 22
2	Aisle 17	Location 6
3	Aisle 17	Location 19
4	Aisle 17	Location 29
5	Aisle 7	Location 17
6	Aisle 7	Location 35
7	Aisle 3	Location 33
8	Aisle 0	Location 14
9	Aisle 6	Location 10
10	Aisle 16	Location 39
11	Aisle 15	Location 20
12	Aisle 11	Location 33
13	Aisle 5	Location 4
14	Aisle 3	Location 12
15	Aisle 15	Location 6
Order 8	number of articles 12
0	Aisle 4	Location 19
1	Aisle 15	Location 7
2	Aisle 19	Location 32
3	Aisle 16	Location 7
4	Aisle 17	Location 7
5	Aisle 10	Location 28
6	Aisle 2	Location 35
7	Aisle 13	Location 34
8	Aisle 17	Location 13
9	Aisle 16	Location 12
10	Aisle 8	Location 23
11	Aisle 9	Location 1
Order 9	number of articles 15
0	Aisle 5	Location 25
1	Aisle 3	Location 43
2	Aisle 2	Location 20
3	Aisle 5	Location 37
4	Aisle 12	Location 43
5	Aisle 10	Location 33
6	Aisle 4	Location 32
7	Aisle 13	Location 16
8	Aisle 16	Location 16
9	Aisle 19	Location 36
10	Aisle 19	Location 43
11	Aisle 2	Location 36
12	Aisle 10	Location 5
13	Aisle 17	Location 11
14	Aisle 17	Location 22
Order 10	number of articles 18
0	Aisle 4	Location 26
1	Aisle 18	Location 8
2	Aisle 3	Location 30
3	Aisle 2	Location 23
4	Aisle 14	Location 20
5	Aisle 12	Location 14
6	Aisle 11	Location 30
7	Aisle 13	Location 19
8	Aisle 7	Location 16
9	Aisle 15	Location 3
10	Aisle 2	Location 30
11	Aisle 18	Location 28
12	Aisle 16	Location 18
13	Aisle 2	Location 15
14	Aisle 0	Location 5
15	Aisle 15	Location 36
16	Aisle 5	Location 10
17	Aisle 16	Location 27
Order 11	number of articles 10
0	Aisle 8	Location 9
1	Aisle 13	Location 0
2	Aisle 13	Location 36
3	Aisle 6	Location 34
4	Aisle 13	Location 15
5	Aisle 3	Location 0
6	Aisle 11	Location 15
7	Aisle 0	Location 18
8	Aisle 13	Location 19
9	Aisle 13	Location 23
Order 12	number of articles 18
0	Aisle 17	Location 30
1	Aisle 14	Location 15
2	Aisle 12	Location 16
3	Aisle 4	Location 43
4	Aisle 0	Location 12
5	Aisle 4	Location 14
6	Aisle 7	Location 43
7	Aisle 10	Location 39
8	Aisle 3	Location 13
9	Aisle 17	Location 42
10	Aisle 16	Location 15
11	Aisle 1	Location 23
12	Aisle 9	Location 9
13	Aisle 19	Location 39
14	Aisle 0	Location 26
15	Aisle 3	Location 21
16	Aisle 10	Location 4
17	Aisle 13	Location 22
Order 13	number of articles 12
0	Aisle 13	Location 17
1	Aisle 15	Location 4
2	Aisle 4	Location 35
3	Aisle 8	Location 17
4	Aisle 13	Location 15
