Order 0	number of articles 24
0	Aisle 4	Location 42
1	Aisle 11	Location 22
2	Aisle 8	Location 42
3	Aisle 19	Location 18
4	Aisle 16	Location 24
5	Aisle 10	Location 32
6	Aisle 18	Location 37
7	Aisle 19	Location 10
8	Aisle 12	Location 30
9	Aisle 6	Location 1
10	Aisle 0	Location 1
11	Aisle 8	Location 39
12	Aisle 7	Location 43
13	Aisle 9	Location 17
14	Aisle 11	Location 34
15	Aisle 15	Location 29
16	Aisle 11	Location 21
17	Aisle 1	Location 13
18	Aisle 19	Location 41
19	Aisle 15	Location 3
20	Aisle 13	Location 22
21	Aisle 10	Location 17
22	Aisle 4	Location 31
23	Aisle 12	Location 3
Order 1	number of articles 17
0	Aisle 13	Location 43
1	Aisle 11	Location 27
2	Aisle 5	Location 8
3	Aisle 18	Location 22
4	Aisle 15	Location 3
5	Aisle 18	Location 19
6	Aisle 12	Location 36
7	Aisle 4	Location 0
8	Aisle 10	Location 25
9	Aisle 3	Location 13
10	Aisle 16	Location 35
11	Aisle 13	Location 22
12	Aisle 10	Location 35
13	Aisle 19	Location 16
14	Aisle 17	Location 28
15	Aisle 11	Location 40
16	Aisle 7	Location 8
Order 2	number of articles 6
0	Aisle 6	Location 27
1	Aisle 6	Location 0
2	Aisle 5	Location 44
3	Aisle 8	Location 18
4	Aisle 2	Location 33
5	Aisle 12	Location 7
Order 3	number of articles 16
0	Aisle 16	Location 31
1	Aisle 8	Location 23
2	Aisle 0	Location 33
3	Aisle 19	Location 19
4	Aisle 8	Location 39
5	Aisle 15	Location 7
6	Aisle 4	Location 8
7	Aisle 19	Location 21
8	Aisle 14	Location 6
9	Aisle 14	Location 22
10	Aisle 9	Location 33
11	Aisle 15	Location 41
12	Aisle 3	Location 20
13	Aisle 15	Location 14
14	Aisle 18	Location 5
15	Aisle 19	Location 29
Order 4	number of articles 7
0	Aisle 16	Location 29
1	Aisle 2	Location 1
2	Aisle 17	Location 16
3	Aisle 16	Location 33
4	Aisle 3	Location 16
5	Aisle 14	Location 17
6	Aisle 7	Location 13
Order 5	number of articles 15
0	Aisle 13	Location 38
1	Aisle 5	Location 2
2	Aisle 3	Location 35
3	Aisle 15	Location 30
4	Aisle 3	Location 34
5	Aisle 15	Location 24
6	Aisle 10	Location 43
7	Aisle 5	Location 5
8	Aisle 6	Location 29
9	Aisle 1	Location 29
10	Aisle 12	Location 4
