Order 0	number of articles 5
0	Aisle 6	Location 22
1	Aisle 19	Location 43
2	Aisle 18	Location 44
3	Aisle 14	Location 30
4	Aisle 6	Location 42
Order 1	number of articles 22
0	Aisle 6	Location 27
1	Aisle 6	Location 40
2	Aisle 5	Location 8
3	Aisle 2	Location 38
4	Aisle 12	Location 21
5	Aisle 10	Location 7
6	Aisle 3	Location 44
7	Aisle 4	Location 36
8	Aisle 19	Location 36
9	Aisle 6	Location 4
10	Aisle 0	Location 33
11	Aisle 0	Location 16
12	Aisle 18	Location 14
13	Aisle 4	Location 41
14	Aisle 6	Location 8
15	Aisle 18	Location 31
16	Aisle 17	Location 15
17	Aisle 16	Location 7
18	Aisle 12	Location 35
19	Aisle 16	Location 42
20	Aisle 3	Location 13
21	Aisle 3	Location 22
Order 2	number of articles 15
0	Aisle 6	Location 30
1	Aisle 17	Location 10
2	Aisle 2	Location 26
3	Aisle 0	Location 5
4	Aisle 6	Location 5
5	Aisle 0	Location 27
6	Aisle 10	Location 8
7	Aisle 2	Location 21
8	Aisle 5	Location 36
9	Aisle 16	Location 2
10	Aisle 7	Location 7
11	Aisle 13	Location 40
12	Aisle 11	Location 44
13	Aisle 18	Location 27
14	Aisle 11	Location 42
Order 3	number of articles 19
0	Aisle 3	Location 40
1	Aisle 7	Location 37
2	Aisle 7	Location 36
3	Aisle 18	Location 36
4	Aisle 19	Location 40
5	Aisle 13	Location 15
6	Aisle 6	Location 14
7	Aisle 13	Location 25
8	Aisle 10	Location 43
9	Aisle 14	Location 18
10	Aisle 15	Location 27
11	Aisle 11	Location 3
12	Aisle 17	Location 15
13	Aisle 16	Location 43
14	Aisle 14	Location 13
15	Aisle 6	Location 6
16	Aisle 3	Location 36
17	Aisle 8	Location 9
18	Aisle 12	Location 38
Order 4	number of articles 5
0	Aisle 8	Location 1
1	Aisle 10	Location 22
2	Aisle 9	Location 31
3	Aisle 1	Location 3
4	Aisle 5	Location 4
Order 5	number of articles 6
0	Aisle 19	Location 26
1	Aisle 18	Location 4
2	Aisle 6	Location 41
3	Aisle 12	Location 10
4	Aisle 7	Location 25
5	Aisle 5	Location 27
Order 6	number of articles 14
0	Aisle 19	Location 11
1	Aisle 0	Location 2
2	Aisle 3	Location 5
3	Aisle 12	Location 41
4	Aisle 11	Location 5
5	Aisle 2	Location 18
6	Aisle 8	Location 32
7	Aisle 3	Location 10
8	Aisle 14	Location 29
9	Aisle 14	Location 38
10	Aisle 15	Location 38
11	Aisle 2	Location 17
12	Aisle 3	Location 1
13	Aisle 19	Location 17
Order 7	number of articles 9
0	Aisle 18	Location 24
1	Aisle 6	Location 27
2	Aisle 9	Location 5
3	Aisle 6	Location 35
4	Aisle 11	Location 33
5	Aisle 1	Location 2
6	Aisle 13	Location 33
7	Aisle 16	Location 28
8	Aisle 13	Location 38
Order 8	number of articles 21
0	Aisle 11	Location 22
1	Aisle 13	Location 12
2	Aisle 0	Location 23
3	Aisle 12	Location 2
4	Aisle 17	Location 15
5	Aisle 3	Location 1
6	Aisle 18	Location 17
7	Aisle 14	Location 1
8	Aisle 19	Location 29
9	Aisle 14	Location 9
10	Aisle 13	Location 42
11	Aisle 2	Location 6
12	Aisle 6	Location 10
13	Aisle 19	Location 22
14	Aisle 11	Location 4
15	Aisle 16	Location 40
16	Aisle 4	Location 34
17	Aisle 1	Location 25
18	Aisle 16	Location 42
19	Aisle 9	Location 25
20	Aisle 5	Location 15
Order 9	number of articles 12
0	Aisle 18	Location 10
1	Aisle 1	Location 36
2	Aisle 3	Location 42
3	Aisle 5	Location 39
4	Aisle 1	Location 12
5	Aisle 11	Location 16
6	Aisle 19	Location 34
7	Aisle 9	Location 33
8	Aisle 16	Location 19
9	Aisle 0	Location 37
10	Aisle 5	Location 22
11	Aisle 18	Location 20
Order 10	number of articles 12
0	Aisle 11	Location 6
1	Aisle 18	Location 42
2	Aisle 5	Location 38
3	Aisle 15	Location 13
4	Aisle 4	Location 6
5	Aisle 18	Location 6
